
Naive Bayes Classifier

                 Class
Attribute           cp     im     pp    imU     om    omL    imL    imS
  POTD_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  POTF_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  PPA_ECOLI         1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  PPB_ECOLI         1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  PROX_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  PSTS_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  PTR_ECOLI         1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  RBSB_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  SPEA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  SUBI_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  TBPA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  TESA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  TOLB_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  TORA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  TREA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  UGPB_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  USHA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  XYLF_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  YTFQ_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  [total]         411.0  413.0  388.0  371.0  356.0  341.0  338.0  338.0

mcg
  0                 2.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.04              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.06              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.07              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.1               1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.11              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.12              1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.16              2.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.17              3.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.18              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.2               1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.21              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.22              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.23              2.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.24              5.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.25              4.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.26              4.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.27              3.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.28              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.29              4.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.3               4.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.31              2.0    4.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.32              2.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.33              2.0    4.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.34              7.0    4.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.35              4.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.36              3.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.37              3.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.38              5.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.39              2.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.4               5.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.41              5.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.42              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.43              2.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.44              6.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.45              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.46              1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.47              2.0    3.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.48              2.0    4.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.49              2.0    2.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.5               3.0    4.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.51              3.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.52              2.0    3.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.53              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.54              1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.55              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.56              1.0    1.0    2.0    1.0    2.0    1.0    1.0    1.0
  0.57              2.0    1.0    2.0    2.0    1.0    1.0    1.0    1.0
  0.58              1.0    3.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.59              1.0    2.0    2.0    2.0    1.0    1.0    1.0    1.0
  0.6               1.0    4.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.61              2.0    4.0    2.0    1.0    2.0    1.0    1.0    1.0
  0.62              1.0    1.0    3.0    2.0    1.0    1.0    1.0    1.0
  0.63              1.0    6.0    8.0    3.0    3.0    1.0    1.0    2.0
  0.64              2.0    2.0    6.0    3.0    2.0    1.0    1.0    1.0
  0.65              2.0    1.0    2.0    1.0    2.0    1.0    1.0    1.0
  0.66              1.0    2.0    4.0    2.0    1.0    2.0    1.0    1.0
  0.67              1.0    1.0    5.0    2.0    3.0    2.0    1.0    1.0
  0.68              1.0    2.0    4.0    1.0    3.0    2.0    1.0    1.0
  0.69              1.0    2.0    6.0    2.0    2.0    1.0    1.0    1.0
  0.7               1.0    3.0    4.0    2.0    1.0    1.0    2.0    1.0
  0.71              1.0    3.0    4.0    1.0    2.0    2.0    1.0    1.0
  0.72              1.0    2.0    2.0    2.0    1.0    1.0    1.0    1.0
  0.73              1.0    2.0    2.0    2.0    2.0    1.0    1.0    1.0
  0.74              1.0    3.0    6.0    1.0    3.0    1.0    1.0    1.0
  0.75              1.0    1.0    2.0    2.0    2.0    1.0    2.0    1.0
  0.76              1.0    1.0    2.0    3.0    1.0    1.0    1.0    1.0
  0.77              1.0    1.0    1.0    2.0    2.0    2.0    1.0    1.0
  0.78              1.0    1.0    1.0    3.0    2.0    1.0    1.0    1.0
  0.79              1.0    1.0    1.0    4.0    1.0    1.0    1.0    1.0
  0.81              1.0    1.0    1.0    4.0    1.0    1.0    1.0    1.0
  0.83              1.0    2.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.84              1.0    2.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.85              1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  0.86              1.0    1.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.87              1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.88              1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.89              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  [total]         153.0  155.0  130.0  113.0   98.0   83.0   80.0   80.0

gvh
  0.16              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.23              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.24              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.26              4.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.27              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.28              5.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.29              1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.3               4.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.31              3.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.32              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.33              3.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.34              5.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.35              3.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.36              2.0    3.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.37              4.0    4.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.38              2.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.39              2.0    3.0    3.0    2.0    1.0    1.0    2.0    1.0
  0.4               3.0    6.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.41              4.0    3.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.42              8.0    2.0    1.0    5.0    1.0    1.0    1.0    1.0
  0.43              6.0    2.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.44              5.0    4.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.45              2.0    4.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.46              5.0    5.0    1.0    3.0    1.0    2.0    1.0    1.0
  0.47              4.0    7.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.48              3.0    2.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.49              4.0    5.0    2.0    3.0    2.0    3.0    1.0    2.0
  0.5               3.0    6.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.51              6.0    8.0    1.0    2.0    2.0    1.0    1.0    1.0
  0.52              2.0    4.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.53              1.0    2.0    1.0    3.0    1.0    1.0    1.0    2.0
  0.54              2.0    3.0    2.0    3.0    1.0    1.0    1.0    1.0
  0.55              3.0    4.0    1.0    3.0    1.0    2.0    2.0    1.0
  0.56              2.0    3.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.57              2.0    3.0    4.0    1.0    3.0    2.0    1.0    1.0
  0.58              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.59              1.0    3.0    4.0    1.0    2.0    1.0    1.0    1.0
  0.6               1.0    1.0    2.0    2.0    1.0    1.0    1.0    1.0
  0.61              1.0    4.0    4.0    2.0    1.0    1.0    1.0    1.0
  0.63              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.64              1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.65              1.0    2.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.66              1.0    3.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.67              1.0    3.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.68              1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0
  0.69              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.7               1.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.71              1.0    1.0    5.0    2.0    2.0    1.0    1.0    1.0
  0.72              1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.73              1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.74              1.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.75              1.0    2.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.76              2.0    1.0    1.0    1.0    4.0    1.0    1.0    1.0
  0.78              1.0    1.0    5.0    1.0    2.0    1.0    1.0    1.0
  0.8               1.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.81              1.0    1.0    4.0    1.0    2.0    1.0    1.0    1.0
  0.82              1.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.83              1.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.84              1.0    1.0    3.0    1.0    3.0    1.0    1.0    1.0
  0.86              1.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  0.88              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.9               1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  1                 1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  [total]         138.0  140.0  115.0   98.0   83.0   68.0   65.0   65.0

lip
  0.48             76.0   77.0   53.0   35.0   20.0    1.0    1.0    3.0
  1                 1.0    2.0    1.0    2.0    2.0    6.0    3.0    1.0
  [total]          77.0   79.0   54.0   37.0   22.0    7.0    4.0    4.0

chg
  0.5              76.0   78.0   53.0   36.0   21.0    6.0    2.0    3.0
  1                 1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  [total]          77.0   79.0   54.0   37.0   22.0    7.0    4.0    4.0

aac
  0                 1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.06              1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.16              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.17              1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.22              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.25              1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.27              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.28              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.29              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.3               2.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.31              1.0    2.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.33              2.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.34              3.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.35              1.0    2.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.36              3.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.37              7.0    1.0    3.0    1.0    1.0    2.0    1.0    1.0
  0.38              3.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.39              3.0    2.0    4.0    1.0    1.0    1.0    1.0    1.0
  0.4               1.0    2.0    4.0    1.0    1.0    1.0    2.0    1.0
  0.41              5.0    2.0    4.0    1.0    1.0    1.0    1.0    1.0
  0.42              7.0    2.0    4.0    2.0    1.0    1.0    1.0    1.0
  0.43              8.0    2.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.44              4.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.45              5.0    3.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.46              2.0    3.0    6.0    2.0    1.0    1.0    1.0    1.0
  0.47              2.0    1.0    5.0    1.0    1.0    1.0    1.0    1.0
  0.48              3.0    4.0    2.0    3.0    1.0    1.0    1.0    1.0
  0.49              7.0    2.0    5.0    1.0    1.0    1.0    1.0    1.0
  0.5               3.0    2.0    3.0    4.0    1.0    1.0    1.0    1.0
  0.51              3.0    7.0    2.0    2.0    2.0    1.0    2.0    1.0
  0.52              3.0    5.0    3.0    2.0    1.0    2.0    1.0    1.0
  0.53              5.0    4.0    2.0    1.0    1.0    1.0    1.0    2.0
  0.54              3.0    4.0    2.0    3.0    1.0    2.0    1.0    2.0
  0.55              2.0    3.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.56              3.0    5.0    2.0    2.0    1.0    1.0    1.0    1.0
  0.57              1.0    7.0    1.0    5.0    2.0    1.0    1.0    1.0
  0.58              4.0    6.0    2.0    2.0    1.0    1.0    1.0    1.0
  0.59              1.0    4.0    1.0    4.0    1.0    1.0    1.0    1.0
  0.6               2.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.61              1.0    4.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.62              1.0    2.0    1.0    2.0    1.0    2.0    1.0    1.0
  0.63              3.0    2.0    2.0    2.0    1.0    1.0    1.0    1.0
  0.64              1.0    3.0    1.0    4.0    1.0    1.0    1.0    1.0
  0.65              1.0    4.0    1.0    3.0    2.0    1.0    1.0    1.0
  0.66              1.0    4.0    1.0    2.0    2.0    2.0    1.0    1.0
  0.67              1.0    2.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.68              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.7               1.0    1.0    1.0    2.0    2.0    1.0    1.0    1.0
  0.71              2.0    5.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.72              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.73              1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0
  0.74              1.0    2.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.75              1.0    1.0    1.0    2.0    2.0    1.0    1.0    1.0
  0.77              1.0    1.0    1.0    1.0    4.0    1.0    1.0    1.0
  0.79              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.83              1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0
  0.84              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.86              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.88              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  [total]         134.0  136.0  111.0   94.0   79.0   64.0   61.0   61.0

alm1
  0.03              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.05              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.06              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.11              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.14              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.15              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.16              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.17              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.18              3.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.19              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.2               4.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.21              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.22              4.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.23              4.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.24              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.25              5.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.26              6.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.27              4.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.28              5.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.29              5.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.3               5.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.31              4.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.32              4.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.33              1.0    1.0    1.0    1.0    3.0    1.0    1.0    1.0
  0.34              5.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.35              6.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.36              3.0    1.0    3.0    1.0    2.0    1.0    1.0    1.0
  0.37              4.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.38              4.0    1.0    2.0    1.0    2.0    1.0    1.0    1.0
  0.39              2.0    2.0    7.0    1.0    2.0    1.0    1.0    1.0
  0.4               2.0    1.0    4.0    1.0    3.0    1.0    1.0    1.0
  0.41              1.0    1.0    2.0    1.0    2.0    1.0    1.0    1.0
  0.42              3.0    1.0    4.0    1.0    1.0    1.0    1.0    1.0
  0.43              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.44              2.0    1.0    4.0    1.0    1.0    1.0    1.0    1.0
  0.45              3.0    1.0    3.0    1.0    3.0    1.0    1.0    1.0
  0.46              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.47              1.0    2.0    4.0    1.0    1.0    1.0    2.0    1.0
  0.48              2.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.49              3.0    1.0    5.0    2.0    1.0    1.0    1.0    1.0
  0.5               1.0    1.0    3.0    1.0    2.0    1.0    1.0    1.0
  0.51              1.0    1.0    4.0    1.0    1.0    1.0    1.0    1.0
  0.52              2.0    1.0    3.0    1.0    1.0    1.0    1.0    2.0
  0.53              1.0    1.0    2.0    1.0    3.0    1.0    1.0    1.0
  0.54              1.0    1.0    4.0    1.0    4.0    2.0    1.0    1.0
  0.55              1.0    1.0    2.0    1.0    1.0    2.0    1.0    1.0
  0.56              1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  0.57              1.0    1.0    3.0    1.0    2.0    1.0    1.0    1.0
  0.58              1.0    2.0    1.0    1.0    2.0    2.0    1.0    1.0
  0.59              1.0    1.0    1.0    2.0    2.0    2.0    1.0    1.0
  0.61              1.0    3.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.62              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.64              1.0    2.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.65              1.0    4.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.66              1.0    3.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.67              1.0    6.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.68              1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.69              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.7               1.0    4.0    2.0    3.0    1.0    1.0    1.0    1.0
  0.71              1.0    6.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.72              1.0    4.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.73              1.0    2.0    1.0    5.0    1.0    1.0    1.0    1.0
  0.74              1.0    2.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.75              1.0    4.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.76              1.0    7.0    1.0    3.0    1.0    1.0    1.0    2.0
  0.77              1.0    4.0    1.0    4.0    1.0    1.0    1.0    1.0
  0.78              1.0    7.0    1.0    4.0    1.0    1.0    1.0    1.0
  0.79              1.0    5.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.8               1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.81              1.0    3.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.82              1.0    3.0    1.0    2.0    1.0    1.0    2.0    1.0
  0.84              1.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.85              1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.86              1.0    3.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.87              1.0    4.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.88              1.0    4.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.89              1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.9               1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.91              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.92              1.0    3.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.94              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  1                 1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  [total]         157.0  159.0  134.0  117.0  102.0   87.0   84.0   84.0

alm2
  0                 1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.01              1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  0.14              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.15              1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.16              1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  0.17              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.19              1.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.2               3.0    1.0    3.0    1.0    2.0    1.0    1.0    1.0
  0.21              1.0    2.0    2.0    1.0    2.0    1.0    1.0    1.0
  0.23              1.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.24              1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.25              3.0    1.0    3.0    1.0    2.0    1.0    1.0    1.0
  0.26              2.0    1.0    2.0    1.0    2.0    1.0    1.0    1.0
  0.27              3.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.28              3.0    1.0    1.0    1.0    3.0    2.0    1.0    1.0
  0.29              2.0    1.0    2.0    1.0    4.0    1.0    1.0    1.0
  0.3               2.0    1.0    3.0    1.0    3.0    2.0    2.0    1.0
  0.31              3.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.32              2.0    2.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.33              5.0    1.0    4.0    2.0    3.0    1.0    1.0    1.0
  0.34              4.0    2.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.35              4.0    1.0    3.0    1.0    1.0    1.0    1.0    2.0
  0.36              4.0    1.0    3.0    1.0    2.0    2.0    1.0    1.0
  0.37              5.0    2.0    2.0    1.0    2.0    1.0    1.0    1.0
  0.38              3.0    1.0    5.0    1.0    2.0    1.0    1.0    1.0
  0.39              8.0    1.0    4.0    1.0    1.0    1.0    1.0    1.0
  0.4               4.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.41              6.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.42              3.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.43              6.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.44              5.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.45              2.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  0.46              4.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.47              2.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.48              2.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.49              1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.5               3.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.51              2.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.52              2.0    2.0    3.0    1.0    2.0    1.0    1.0    1.0
  0.53              3.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.54              1.0    2.0    2.0    1.0    1.0    1.0    1.0    1.0
  0.55              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.56              3.0    1.0    3.0    1.0    1.0    1.0    1.0    1.0
  0.57              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.58              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.59              2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.61              1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.62              1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.63              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.66              1.0    4.0    1.0    2.0    1.0    1.0    1.0    1.0
  0.67              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.68              1.0    2.0    1.0    5.0    1.0    1.0    1.0    1.0
  0.69              1.0    5.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.7               1.0    2.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.71              1.0    4.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.72              1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.73              1.0    4.0    1.0    1.0    1.0    1.0    1.0    1.0
  0.74              1.0    7.0    1.0    6.0    1.0    1.0    1.0    1.0
  0.75              1.0    3.0    1.0    3.0    1.0    1.0    1.0    1.0
  0.76              1.0    2.0    1.0    4.0    1.0    1.0    1.0    1.0
  0.77              1.0    2.0    1.0    4.0    1.0    1.0    1.0    1.0
