

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Buying,Maint,Doors,Persons,Lug_boot,Safety)
   135     3:good      2:acc   +   0.704 (low,med,4,more,small,high)
   136     3:good      2:acc   +   0.508 (low,low,4,more,small,high)
   137     3:good      2:acc   +   0.826 (low,med,4,4,med,med)
   138     3:good    4:vgood   +   0.639 (low,low,2,4,med,high)
     1    1:unacc    1:unacc       1 (high,med,2,2,med,low)
     2    1:unacc    1:unacc       1 (high,vhigh,5more,2,big,med)
     3    1:unacc    1:unacc       0.519 (high,med,4,4,small,med)
     4    1:unacc    1:unacc       1 (high,low,2,more,small,low)
     5    1:unacc    1:unacc       1 (med,med,2,2,small,high)
     6    1:unacc    1:unacc       1 (high,med,2,2,small,high)
     7    1:unacc    1:unacc       1 (med,low,3,4,small,low)
     8    1:unacc    1:unacc       1 (vhigh,low,3,more,big,low)
     9    1:unacc    1:unacc       1 (high,low,3,2,big,med)
    10    1:unacc    1:unacc       1 (med,med,2,2,med,med)
    11    1:unacc    1:unacc       0.999 (low,vhigh,4,4,med,low)
    12    1:unacc    1:unacc       1 (high,vhigh,2,2,small,low)
    13    1:unacc    1:unacc       0.996 (low,high,5more,2,med,high)
    14    1:unacc    1:unacc       0.999 (med,vhigh,5more,4,big,low)
    15    1:unacc    1:unacc       1 (med,low,3,2,med,low)
    16    1:unacc    1:unacc       0.999 (low,vhigh,3,more,med,low)
    17    1:unacc    1:unacc       1 (low,high,4,2,med,low)
    18    1:unacc    1:unacc       0.998 (low,low,2,more,med,low)
    19    1:unacc    1:unacc       0.673 (med,high,4,4,small,med)
    20    1:unacc    1:unacc       1 (low,high,2,2,big,low)
    21    1:unacc      2:acc   +   0.872 (high,low,3,4,med,med)
    22    1:unacc    1:unacc       1 (high,vhigh,2,2,small,high)
    23    1:unacc    1:unacc       1 (high,med,4,2,med,med)
    24    1:unacc    1:unacc       1 (high,high,5more,more,med,low)
    25    1:unacc    1:unacc       1 (vhigh,low,4,2,big,med)
    26    1:unacc    1:unacc       1 (high,med,5more,more,small,low)
    27    1:unacc    1:unacc       1 (low,low,2,2,med,low)
    28    1:unacc    1:unacc       1 (low,vhigh,5more,2,small,med)
    29    1:unacc    1:unacc       0.666 (high,vhigh,2,more,big,high)
    30    1:unacc    1:unacc       1 (low,vhigh,4,2,small,med)
    31    1:unacc    1:unacc       0.999 (low,low,2,2,med,high)
    32    1:unacc    1:unacc       1 (low,med,3,2,med,low)
    33    1:unacc    1:unacc       1 (high,low,4,2,med,high)
    34    1:unacc    1:unacc       1 (low,vhigh,5more,more,small,low)
    35    1:unacc    1:unacc       1 (low,vhigh,3,4,small,low)
    36    1:unacc    1:unacc       0.999 (low,vhigh,5more,more,med,low)
    37    1:unacc    1:unacc       1 (high,high,2,2,big,high)
    38    1:unacc    1:unacc       1 (med,vhigh,4,more,small,low)
    39    1:unacc    1:unacc       0.997 (low,low,3,more,med,low)
    40    1:unacc    1:unacc       0.999 (med,med,2,4,med,low)
    41    1:unacc    1:unacc       1 (med,low,4,2,big,med)
    42    1:unacc      2:acc   +   0.608 (high,low,2,4,med,med)
    43    1:unacc    1:unacc       0.992 (low,med,5more,2,med,high)
    44    1:unacc    1:unacc       1 (high,low,5more,more,small,low)
    45    1:unacc    1:unacc       1 (med,low,2,2,big,med)
    46    1:unacc    1:unacc       1 (med,high,2,4,med,low)
    47    1:unacc    1:unacc       1 (high,vhigh,5more,2,small,med)
    48    1:unacc    1:unacc       1 (high,low,4,2,small,med)
    49    1:unacc    1:unacc       1 (high,vhigh,3,2,big,low)
    50    1:unacc    1:unacc       1 (high,high,2,more,small,low)
    51    1:unacc    1:unacc       0.999 (high,vhigh,3,more,big,low)
    52    1:unacc    1:unacc       1 (med,vhigh,4,2,big,high)
    53    1:unacc    1:unacc       1 (high,med,3,2,big,high)
    54    1:unacc    1:unacc       1 (vhigh,low,5more,more,med,low)
    55    1:unacc      2:acc   +   0.577 (high,vhigh,4,more,big,med)
    56    1:unacc    1:unacc       0.865 (high,low,3,4,small,med)
    57    1:unacc    1:unacc       0.996 (low,med,3,more,big,low)
    58    1:unacc    1:unacc       1 (vhigh,low,5more,2,med,low)
    59    1:unacc    1:unacc       1 (high,low,3,2,med,med)
    60    1:unacc    1:unacc       1 (high,vhigh,5more,2,med,med)
    61    1:unacc      2:acc   +   0.825 (high,vhigh,4,more,med,med)
    62    1:unacc    1:unacc       0.999 (high,vhigh,4,4,big,low)
    63    1:unacc    1:unacc       0.988 (low,med,4,4,med,low)
    64    1:unacc    1:unacc       1 (high,vhigh,3,more,med,low)
    65    1:unacc    1:unacc       1 (high,med,4,4,small,low)
    66    1:unacc    1:unacc       0.912 (high,vhigh,2,more,big,med)
    67    1:unacc    1:unacc       0.998 (med,low,5more,2,big,high)
    68    1:unacc    1:unacc       1 (high,vhigh,3,2,small,med)
    69    1:unacc    1:unacc       0.999 (med,high,4,4,big,low)
    70    1:unacc    1:unacc       1 (high,high,3,more,big,low)
    71    1:unacc    1:unacc       1 (vhigh,low,4,2,small,low)
    72    1:unacc    1:unacc       1 (med,vhigh,4,4,small,low)
    73    1:unacc      2:acc   +   0.601 (high,vhigh,4,4,med,med)
    74    1:unacc      2:acc   +   0.857 (high,vhigh,4,4,med,high)
    75    1:unacc    1:unacc       1 (med,low,5more,2,small,low)
    76    1:unacc    1:unacc       0.918 (med,low,2,more,small,med)
    77    1:unacc    1:unacc       1 (low,vhigh,5more,2,med,high)
    78    1:unacc    1:unacc       0.726 (low,vhigh,3,4,small,med)
    79    1:unacc    1:unacc       0.99 (low,med,4,more,med,low)
    80    1:unacc    1:unacc       1 (med,low,2,more,med,low)
    81    1:unacc    1:unacc       0.999 (high,high,5more,2,big,high)
    82    1:unacc    1:unacc       1 (high,low,2,more,big,low)
    83    1:unacc    1:unacc       1 (vhigh,low,5more,2,big,med)
    84    1:unacc    1:unacc       0.991 (low,med,5more,2,big,med)
    85    1:unacc    1:unacc       0.972 (low,med,4,more,big,low)
    86    1:unacc      2:acc   +   0.713 (vhigh,low,5more,more,small,med)
    87    1:unacc    1:unacc       0.998 (med,med,3,2,med,high)
    88    1:unacc    1:unacc       1 (high,low,3,2,small,med)
    89    1:unacc    1:unacc       0.999 (med,low,5more,4,med,low)
    90    1:unacc    1:unacc       1 (low,vhigh,4,2,big,low)
    91    1:unacc    1:unacc       1 (high,med,3,2,small,low)
    92    4:vgood     3:good   +   0.487 (low,low,3,more,med,high)
    93    4:vgood    4:vgood       0.742 (med,low,3,more,big,high)
    94    4:vgood    4:vgood       0.984 (low,med,5more,more,big,high)
    95    4:vgood    4:vgood       0.998 (med,med,5more,more,med,high)
    96    4:vgood    4:vgood       0.525 (med,low,3,4,big,high)
    97    4:vgood    4:vgood       0.954 (low,low,5more,4,med,high)
    98      2:acc    1:unacc   +   0.606 (high,low,5more,more,small,high)
    99      2:acc      2:acc       0.807 (med,vhigh,2,4,big,med)
   100      2:acc      2:acc       0.924 (med,med,3,more,med,med)
   101      2:acc      2:acc       0.537 (low,low,5more,more,small,med)
   102      2:acc     3:good   +   0.663 (low,med,2,more,med,med)
   103      2:acc      2:acc       0.783 (high,low,2,4,big,med)
   104      2:acc      2:acc       0.731 (low,high,2,4,small,med)
   105      2:acc      2:acc       0.655 (high,med,2,4,med,high)
   106      2:acc    1:unacc   +   0.698 (high,med,2,more,big,med)
   107      2:acc    1:unacc   +   0.533 (low,vhigh,2,4,small,high)
   108      2:acc      2:acc       0.807 (med,high,3,more,big,med)
   109      2:acc      2:acc       0.976 (med,high,3,4,big,med)
   110      2:acc      2:acc       0.651 (high,med,3,more,big,med)
   111      2:acc      2:acc       0.958 (high,high,5more,4,small,high)
   112      2:acc    1:unacc   +   0.62 (low,high,5more,more,small,med)
   113      2:acc      2:acc       0.956 (high,med,4,more,med,med)
   114      2:acc    1:unacc   +   0.501 (med,vhigh,3,4,small,high)
   115      2:acc      2:acc       0.979 (high,high,4,4,big,high)
   116      2:acc      2:acc       0.641 (high,med,3,more,small,high)
   117      2:acc      2:acc       0.501 (vhigh,low,4,4,big,high)
   118      2:acc      2:acc       0.94 (med,med,4,more,med,med)
   119      2:acc      2:acc       0.959 (med,med,2,4,big,med)
   120      2:acc      2:acc       0.86 (high,high,3,4,small,high)
   121      2:acc      2:acc       0.709 (med,vhigh,5more,4,med,med)
   122      2:acc      2:acc       0.963 (med,vhigh,5more,more,big,high)
   123      2:acc      2:acc       0.784 (low,med,3,more,small,med)
   124      2:acc    1:unacc   +   0.609 (low,vhigh,5more,more,big,med)
   125      2:acc      2:acc       0.918 (med,med,3,4,big,med)
   126      2:acc      2:acc       0.816 (high,low,5more,4,med,med)
   127      2:acc      2:acc       0.833 (vhigh,low,3,more,small,high)
   128      2:acc      2:acc       0.883 (high,high,3,more,big,high)
   129      2:acc      2:acc       0.93 (high,low,4,4,med,med)
   130      2:acc      2:acc       0.929 (med,vhigh,5more,4,med,high)
   131      2:acc      2:acc       0.906 (med,med,5more,4,small,med)
   132     3:good     3:good       0.871 (med,low,5more,4,small,high)
   133     3:good      2:acc   +   0.78 (med,low,5more,4,big,med)
   134     3:good      2:acc   +   0.65 (low,med,2,4,small,high)
   135     3:good      2:acc   +   0.946 (med,low,4,more,med,med)
   136     3:good    4:vgood   +   0.445 (low,med,2,4,med,high)
   137     3:good     3:good       0.987 (low,low,4,4,med,med)
   138     3:good     3:good       0.767 (low,med,5more,more,med,med)
     1    1:unacc    1:unacc       0.998 (med,high,5more,2,small,high)
     2    1:unacc    1:unacc       0.998 (med,vhigh,3,2,small,high)
     3    1:unacc    1:unacc       0.86 (high,vhigh,2,4,med,med)
     4    1:unacc      2:acc   +   0.686 (high,high,2,4,med,med)
     5    1:unacc    1:unacc       0.997 (low,vhigh,5more,4,med,low)
     6    1:unacc    1:unacc       0.999 (high,med,4,2,big,low)
     7    1:unacc    1:unacc       0.99 (low,med,2,2,big,med)
     8    1:unacc    1:unacc       0.997 (low,vhigh,5more,more,big,low)
     9    1:unacc    1:unacc       0.997 (low,high,5more,2,med,med)
    10    1:unacc     3:good   +   0.883 (med,low,2,more,small,high)
    11    1:unacc    1:unacc       0.988 (med,high,5more,2,big,high)
    12    1:unacc    1:unacc       0.924 (high,vhigh,4,4,small,med)
    13    1:unacc    1:unacc       0.999 (med,med,2,2,small,low)
    14    1:unacc    1:unacc       0.998 (high,vhigh,5more,2,small,low)
    15    1:unacc    1:unacc       0.822 (high,vhigh,2,4,small,high)
    16    1:unacc    1:unacc       0.994 (low,med,4,2,med,med)
    17    1:unacc    1:unacc       0.999 (vhigh,low,3,2,small,high)
    18    1:unacc    1:unacc       0.998 (high,vhigh,4,more,big,low)
    19    1:unacc    1:unacc       1 (high,low,3,2,small,low)
    20    1:unacc    1:unacc       0.881 (med,vhigh,2,more,small,med)
    21    1:unacc    1:unacc       0.998 (low,low,2,2,small,low)
    22    1:unacc    1:unacc       1 (high,low,4,4,med,low)
    23    1:unacc    1:unacc       1 (high,low,5more,4,big,low)
    24    1:unacc    1:unacc       1 (med,high,3,more,med,low)
    25    1:unacc    1:unacc       0.999 (high,vhigh,5more,4,big,low)
    26    1:unacc    1:unacc       0.997 (high,med,4,2,small,high)
    27    1:unacc    1:unacc       1 (vhigh,low,5more,4,small,low)
    28    1:unacc    1:unacc       0.972 (low,low,2,2,big,high)
    29    1:unacc    1:unacc       0.996 (low,vhigh,5more,2,small,high)
    30    1:unacc    1:unacc       1 (med,high,4,2,big,low)
    31    1:unacc    1:unacc       0.998 (low,vhigh,3,4,big,low)
    32    1:unacc    1:unacc       0.999 (high,high,4,2,small,low)
    33    1:unacc      2:acc   +   0.71 (high,vhigh,3,more,big,med)
    34    1:unacc    1:unacc       0.998 (high,vhigh,5more,more,med,low)
    35    1:unacc    1:unacc       0.995 (vhigh,low,5more,2,small,high)
    36    1:unacc    1:unacc       0.997 (high,low,5more,2,med,high)
    37    1:unacc    1:unacc       0.997 (high,low,2,2,med,high)
    38    1:unacc    1:unacc       0.998 (med,med,5more,4,big,low)
    39    1:unacc    1:unacc       0.999 (med,high,2,2,med,low)
    40    1:unacc    1:unacc       0.859 (high,vhigh,3,more,small,med)
    41    1:unacc    1:unacc       0.895 (high,high,2,more,small,med)
    42    1:unacc    1:unacc       0.997 (low,high,2,2,small,high)
    43    1:unacc    1:unacc       0.998 (med,vhigh,2,more,small,low)
    44    1:unacc    1:unacc       0.998 (high,med,2,2,big,low)
    45    1:unacc    1:unacc       0.583 (high,vhigh,5more,more,big,high)
    46    1:unacc    1:unacc       0.998 (high,high,4,2,big,med)
    47    1:unacc    1:unacc       0.997 (med,vhigh,4,2,small,high)
    48    1:unacc    1:unacc       0.999 (med,high,4,more,big,low)
    49    1:unacc    1:unacc       0.999 (high,vhigh,4,4,med,low)
    50    1:unacc    1:unacc       0.982 (med,low,5more,2,big,med)
    51    1:unacc    1:unacc       1 (vhigh,low,4,4,small,low)
    52    1:unacc    1:unacc       0.997 (high,high,5more,2,small,high)
    53    1:unacc    1:unacc       0.993 (low,med,3,2,med,med)
    54    1:unacc    1:unacc       0.749 (med,high,5more,4,small,med)
    55    1:unacc    1:unacc       0.999 (high,vhigh,5more,4,med,low)
    56    1:unacc    1:unacc       0.998 (high,high,4,2,small,med)
    57    1:unacc    1:unacc       0.999 (med,vhigh,4,2,med,low)
    58    1:unacc    1:unacc       0.999 (high,low,5more,2,med,med)
    59    1:unacc    1:unacc       0.998 (low,med,4,2,big,low)
    60    1:unacc    1:unacc       0.997 (low,vhigh,3,2,small,med)
    61    1:unacc    1:unacc       0.997 (high,high,2,2,big,med)
    62    1:unacc    1:unacc       0.999 (med,med,4,4,big,low)
    63    1:unacc    1:unacc       0.998 (high,high,2,2,big,low)
    64    1:unacc    1:unacc       0.998 (high,high,3,2,small,high)
    65    1:unacc    1:unacc       1 (med,low,5more,more,small,low)
    66    1:unacc    1:unacc       0.999 (high,vhigh,5more,4,small,low)
    67    1:unacc    1:unacc       0.999 (high,med,5more,more,med,low)
    68    1:unacc    1:unacc       0.999 (low,high,3,more,small,low)
    69    1:unacc    1:unacc       0.999 (low,high,5more,4,small,low)
    70    1:unacc    1:unacc       0.999 (med,vhigh,4,2,big,low)
    71    1:unacc    1:unacc       0.999 (med,med,3,more,med,low)
    72    1:unacc      2:acc   +   0.601 (high,high,2,more,med,med)
    73    1:unacc    1:unacc       1 (high,high,3,4,med,low)
    74    1:unacc    1:unacc       0.999 (high,high,2,4,small,low)
    75    1:unacc    1:unacc       0.997 (low,high,3,2,big,med)
    76    1:unacc    1:unacc       0.997 (high,low,2,2,big,high)
    77    1:unacc    1:unacc       0.998 (high,vhigh,2,4,big,low)
    78    1:unacc    1:unacc       0.997 (high,vhigh,2,2,med,med)
    79    1:unacc    1:unacc       0.985 (low,low,3,2,small,high)
    80    1:unacc    1:unacc       0.999 (high,vhigh,5more,more,big,low)
    81    1:unacc    1:unacc       0.998 (low,med,3,2,small,med)
    82    1:unacc    1:unacc       0.988 (low,low,4,more,med,low)
    83    1:unacc    1:unacc       0.999 (high,med,3,2,small,med)
    84    1:unacc    1:unacc       0.995 (low,med,3,more,med,low)
    85    1:unacc    1:unacc       0.997 (high,med,2,2,big,high)
    86    1:unacc    1:unacc       1 (high,med,3,2,med,low)
    87    1:unacc    1:unacc       0.997 (high,med,2,2,big,med)
    88    1:unacc    1:unacc       0.998 (med,vhigh,2,2,big,low)
    89    1:unacc    1:unacc       0.997 (high,vhigh,2,2,med,high)
    90    1:unacc    1:unacc       0.997 (high,vhigh,4,2,big,med)
    91    4:vgood    4:vgood       0.582 (low,med,5more,4,med,high)
    92    4:vgood    4:vgood       1 (low,med,4,4,big,high)
    93    4:vgood    4:vgood       0.971 (med,med,4,4,big,high)
    94    4:vgood      2:acc   +   0.522 (med,med,4,4,med,high)
    95    4:vgood    4:vgood       1 (low,low,5more,4,big,high)
    96    4:vgood    4:vgood       0.574 (med,med,5more,4,med,high)
    97    4:vgood    4:vgood       0.982 (low,med,5more,more,med,high)
    98      2:acc      2:acc       0.928 (vhigh,low,4,more,big,med)
    99      2:acc      2:acc       0.911 (low,high,2,more,big,med)
   100      2:acc     3:good   +   0.577 (low,med,3,4,med,med)
   101      2:acc      2:acc       0.523 (high,high,2,more,med,high)
   102      2:acc     3:good   +   0.561 (med,med,4,more,small,high)
   103      2:acc     3:good   +   0.715 (med,med,5more,more,big,med)
   104      2:acc    1:unacc   +   0.543 (low,high,3,4,small,med)
   105      2:acc      2:acc       0.912 (high,high,4,more,big,med)
   106      2:acc      2:acc       0.946 (high,low,3,4,big,high)
   107      2:acc      2:acc       0.907 (vhigh,low,2,more,big,high)
   108      2:acc      2:acc       0.731 (high,med,4,4,med,med)
   109      2:acc      2:acc       0.852 (vhigh,low,4,4,med,med)
   110      2:acc     3:good   +   0.787 (med,med,4,4,small,high)
   111      2:acc      2:acc       0.955 (high,low,3,more,med,high)
   112      2:acc      2:acc       0.951 (high,low,3,4,small,high)
   113      2:acc      2:acc       0.925 (vhigh,low,3,more,big,med)
   114      2:acc    1:unacc   +   0.63 (high,high,2,4,small,high)
   115      2:acc    1:unacc   +   0.781 (med,low,4,more,small,med)
   116      2:acc      2:acc       0.851 (high,high,5more,more,med,high)
   117      2:acc      2:acc       0.832 (high,med,4,4,med,high)
   118      2:acc      2:acc       0.986 (med,high,3,4,med,high)
   119      2:acc      2:acc       0.975 (med,med,4,4,big,med)
   120      2:acc      2:acc       0.948 (high,low,4,more,big,high)
   121      2:acc      2:acc       0.967 (high,low,5more,4,med,high)
   122      2:acc      2:acc       0.977 (med,vhigh,5more,4,big,med)
   123      2:acc      2:acc       0.861 (high,med,5more,more,med,high)
   124      2:acc      2:acc       0.81 (low,high,4,4,small,high)
   125      2:acc      2:acc       0.989 (low,high,5more,4,big,med)
   126      2:acc      2:acc       0.959 (med,vhigh,3,4,big,med)
   127      2:acc      2:acc       0.534 (med,med,4,more,small,med)
   128      2:acc      2:acc       0.977 (med,high,3,more,med,high)
   129      2:acc      2:acc       0.801 (high,high,5more,more,big,med)
   130      2:acc      2:acc       0.593 (high,low,5more,more,med,med)
   131      2:acc      2:acc       0.834 (med,med,5more,more,small,high)
   132     3:good     3:good       0.985 (low,med,3,more,big,med)
   133     3:good    4:vgood   +   0.873 (low,med,3,4,med,high)
   134     3:good     3:good       0.997 (low,low,2,more,big,med)
   135     3:good     3:good       0.64 (med,low,3,4,small,high)
   136     3:good     3:good       0.87 (med,low,2,4,med,high)
   137     3:good      2:acc   +   0.581 (low,med,3,more,small,high)
   138     3:good     3:good       0.982 (low,low,3,more,med,med)
     1    1:unacc      2:acc   +   0.731 (high,high,3,more,small,med)
     2    1:unacc    1:unacc       0.999 (high,low,3,4,med,low)
     3    1:unacc      2:acc   +   0.899 (med,high,4,more,small,med)
     4    1:unacc    1:unacc       0.994 (med,low,4,2,med,med)
     5    1:unacc    1:unacc       0.999 (high,vhigh,4,2,med,high)
     6    1:unacc    1:unacc       0.998 (med,vhigh,5more,2,med,high)
     7    1:unacc    1:unacc       0.999 (low,med,3,2,small,low)
     8    1:unacc    1:unacc       0.998 (low,med,5more,more,small,low)
     9    1:unacc    1:unacc       0.999 (low,high,5more,2,big,low)
    10    1:unacc    1:unacc       0.998 (vhigh,low,4,more,big,low)
    11    1:unacc    1:unacc       0.997 (med,vhigh,3,more,small,low)
    12    1:unacc    1:unacc       0.995 (low,high,5more,4,med,low)
    13    1:unacc    1:unacc       0.581 (high,med,2,4,med,med)
    14    1:unacc    1:unacc       0.998 (med,high,5more,2,big,low)
    15    1:unacc    1:unacc       0.998 (med,med,2,2,big,low)
    16    1:unacc    1:unacc       0.99 (low,med,3,4,med,low)
    17    1:unacc    1:unacc       0.992 (med,low,4,4,med,low)
    18    1:unacc    1:unacc       0.994 (low,high,2,more,big,low)
    19    1:unacc    1:unacc       0.998 (med,med,3,2,med,low)
    20    1:unacc    1:unacc       0.767 (med,med,4,2,med,high)
    21    1:unacc    1:unacc       0.999 (low,vhigh,3,2,big,low)
    22    1:unacc    1:unacc       0.999 (low,vhigh,3,2,small,high)
    23    1:unacc    1:unacc       0.928 (high,vhigh,5more,more,small,med)
    24    1:unacc    1:unacc       0.999 (vhigh,low,4,4,big,low)
    25    1:unacc    1:unacc       0.998 (med,vhigh,2,2,big,med)
    26    1:unacc    1:unacc       0.838 (high,med,3,more,small,med)
    27    1:unacc    1:unacc       0.999 (high,high,3,2,big,low)
    28    1:unacc    1:unacc       0.975 (low,high,2,2,big,high)
    29    1:unacc    1:unacc       0.998 (med,vhigh,3,2,med,high)
    30    1:unacc    1:unacc       0.752 (high,vhigh,5more,more,med,med)
    31    1:unacc    1:unacc       0.999 (med,high,4,2,small,high)
    32    1:unacc    1:unacc       0.529 (high,med,3,4,med,med)
    33    1:unacc    1:unacc       0.999 (low,low,2,2,big,low)
    34    1:unacc    1:unacc       0.995 (med,high,2,more,big,low)
    35    1:unacc    1:unacc       0.999 (high,low,5more,2,small,low)
    36    1:unacc    1:unacc       0.999 (low,vhigh,5more,2,small,low)
    37    1:unacc    1:unacc       0.996 (high,high,2,more,med,low)
    38    1:unacc    1:unacc       0.999 (high,med,5more,2,big,high)
    39    1:unacc    1:unacc       0.999 (med,vhigh,5more,2,small,low)
    40    1:unacc    1:unacc       0.999 (med,low,3,2,big,low)
    41    1:unacc    1:unacc       0.998 (low,vhigh,2,2,med,high)
    42    1:unacc    1:unacc       0.999 (high,high,4,4,big,low)
    43    1:unacc    1:unacc       0.999 (high,low,3,4,small,low)
    44    1:unacc    1:unacc       0.994 (low,high,5more,more,med,low)
    45    1:unacc    1:unacc       0.998 (high,med,3,more,big,low)
    46    1:unacc    1:unacc       0.998 (high,high,5more,more,small,low)
    47    1:unacc    1:unacc       0.993 (med,low,4,4,big,low)
    48    1:unacc    1:unacc       0.989 (low,low,5more,4,med,low)
    49    1:unacc    1:unacc       0.999 (low,vhigh,5more,2,big,med)
    50    1:unacc    1:unacc       0.998 (low,high,3,2,med,low)
    51    1:unacc    1:unacc       0.999 (low,high,3,2,small,med)
    52    1:unacc    1:unacc       0.951 (high,low,5more,4,small,med)
    53    1:unacc    1:unacc       0.998 (low,low,3,4,small,low)
    54    1:unacc    1:unacc       0.999 (high,med,3,4,small,low)
    55    1:unacc    1:unacc       0.995 (vhigh,low,5more,more,big,low)
    56    1:unacc    1:unacc       0.821 (low,vhigh,4,4,small,med)
    57    1:unacc    1:unacc       0.998 (med,high,3,2,big,med)
    58    1:unacc    1:unacc       0.822 (low,vhigh,3,more,small,med)
    59    1:unacc    1:unacc       0.999 (med,vhigh,3,2,big,low)
    60    1:unacc    1:unacc       0.999 (low,vhigh,5more,2,big,high)
    61    1:unacc    1:unacc       0.999 (high,med,2,4,small,low)
    62    1:unacc    1:unacc       0.99 (low,med,2,more,big,low)
    63    1:unacc    1:unacc       0.999 (high,high,2,2,small,med)
    64    1:unacc    1:unacc       0.997 (high,high,2,4,big,low)
    65    1:unacc    1:unacc       0.999 (low,med,3,2,big,med)
    66    1:unacc    1:unacc       0.999 (low,high,5more,2,big,med)
    67    1:unacc    1:unacc       0.999 (high,vhigh,3,4,small,low)
    68    1:unacc    1:unacc       0.998 (low,med,5more,2,med,med)
    69    1:unacc    1:unacc       0.999 (med,med,3,2,small,high)
    70    1:unacc    1:unacc       0.998 (med,vhigh,3,2,med,low)
    71    1:unacc    1:unacc       0.998 (high,med,3,4,med,low)
    72    1:unacc    1:unacc       0.983 (low,med,2,2,med,high)
    73    1:unacc    1:unacc       0.989 (low,high,3,4,big,low)
    74    1:unacc      2:acc   +   0.746 (high,vhigh,3,4,med,high)
    75    1:unacc    1:unacc       0.997 (med,med,2,2,med,low)
    76    1:unacc    1:unacc       0.998 (high,high,2,2,med,med)
    77    1:unacc    1:unacc       0.998 (low,high,2,2,big,med)
    78    1:unacc    1:unacc       0.999 (high,vhigh,4,2,med,med)
    79    1:unacc    1:unacc       0.997 (med,vhigh,4,4,med,low)
    80    1:unacc    1:unacc       0.997 (low,high,5more,more,small,low)
    81    1:unacc    1:unacc       0.944 (med,low,4,more,big,low)
    82    1:unacc    1:unacc       0.985 (low,low,5more,2,med,high)
    83    1:unacc    1:unacc       0.998 (med,med,4,4,small,low)
    84    1:unacc    1:unacc       0.999 (high,high,3,2,big,high)
    85    1:unacc    1:unacc       0.999 (vhigh,low,3,2,big,low)
    86    1:unacc    1:unacc       0.994 (med,med,2,more,med,low)
    87    1:unacc    1:unacc       0.999 (low,high,4,2,small,low)
    88    1:unacc    1:unacc       0.999 (vhigh,low,3,2,med,high)
    89    1:unacc    1:unacc       0.999 (low,vhigh,4,4,small,low)
    90    1:unacc    1:unacc       0.999 (low,med,3,2,small,high)
    91    4:vgood    4:vgood       1 (med,med,4,more,med,high)
    92    4:vgood     3:good   +   0.585 (med,low,4,4,med,high)
    93    4:vgood    4:vgood       1 (low,high,4,more,med,high)
    94    4:vgood    4:vgood       0.524 (low,high,4,4,big,high)
    95    4:vgood      2:acc   +   0.915 (low,high,3,more,med,high)
    96    4:vgood    4:vgood       0.971 (med,low,4,4,big,high)
    97    4:vgood      2:acc   +   0.899 (low,high,2,more,big,high)
    98      2:acc    1:unacc   +   0.87 (med,vhigh,2,more,med,high)
    99      2:acc      2:acc       0.974 (low,vhigh,5more,more,big,high)
   100      2:acc      2:acc       0.557 (low,med,2,4,med,med)
   101      2:acc    1:unacc   +   0.904 (high,low,4,4,small,high)
   102      2:acc      2:acc       0.964 (vhigh,low,2,more,med,high)
   103      2:acc      2:acc       0.986 (high,high,5more,4,big,high)
   104      2:acc      2:acc       0.981 (high,high,4,more,big,high)
   105      2:acc      2:acc       0.576 (high,med,5more,4,med,med)
   106      2:acc     3:good   +   0.596 (low,med,3,4,small,med)
   107      2:acc      2:acc       0.889 (med,med,2,more,big,med)
   108      2:acc      2:acc       0.966 (high,low,2,4,big,high)
   109      2:acc      2:acc       0.462 (low,low,5more,4,small,med)
   110      2:acc      2:acc       0.715 (vhigh,low,5more,more,med,med)
   111      2:acc      2:acc       0.958 (high,high,5more,more,small,high)
   112      2:acc      2:acc       0.666 (low,high,5more,more,med,med)
   113      2:acc    1:unacc   +   0.796 (med,vhigh,2,more,big,med)
   114      2:acc      2:acc       0.972 (high,high,3,more,med,high)
   115      2:acc      2:acc       0.954 (low,vhigh,4,more,med,high)
   116      2:acc    1:unacc   +   0.729 (low,vhigh,2,more,big,med)
   117      2:acc      2:acc       0.906 (med,med,5more,4,med,med)
   118      2:acc      2:acc       0.911 (low,high,4,4,med,med)
   119      2:acc      2:acc       0.89 (med,vhigh,4,more,big,med)
   120      2:acc      2:acc       0.961 (med,high,3,4,small,high)
   121      2:acc      2:acc       0.964 (low,vhigh,3,4,big,high)
   122      2:acc      2:acc       0.89 (high,high,4,more,small,high)
   123      2:acc    1:unacc   +   0.709 (low,vhigh,2,4,big,med)
   124      2:acc      2:acc       0.954 (low,vhigh,3,more,med,high)
   125      2:acc      2:acc       0.974 (high,low,5more,more,big,high)
   126      2:acc      2:acc       0.954 (vhigh,low,3,more,med,high)
   127      2:acc      2:acc       0.921 (high,high,3,4,big,med)
   128      2:acc    4:vgood   +   0.959 (med,high,5more,4,big,high)
   129      2:acc      2:acc       0.645 (high,med,5more,more,med,med)
   130      2:acc    1:unacc   +   0.556 (low,vhigh,3,more,med,med)
   131      2:acc      2:acc       0.957 (high,med,5more,4,big,high)
   132     3:good    4:vgood   +   0.815 (low,med,2,more,med,high)
   133     3:good     3:good       0.977 (low,low,4,more,big,med)
   134     3:good      2:acc   +   0.62 (low,low,3,more,small,high)
   135     3:good      2:acc   +   0.587 (low,med,5more,more,big,med)
   136     3:good      2:acc   +   0.888 (med,low,4,more,small,high)
   137     3:good     3:good       0.666 (low,low,4,4,big,med)
