

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
    60 1:positive 1:positive       0.731 (o,x,o,o,b,b,x,x,x)
    61 1:positive 1:positive       0.925 (o,o,x,b,x,x,o,b,x)
    62 1:positive 1:positive       0.649 (x,b,o,b,o,o,x,x,x)
    63 1:positive 1:positive       0.655 (o,x,b,x,x,x,o,o,b)
    64 1:positive 2:negative   +   0.522 (b,o,o,x,x,x,o,x,b)
    65 1:positive 1:positive       0.903 (b,o,x,x,x,x,b,o,o)
    66 1:positive 1:positive       0.796 (x,o,b,o,x,x,o,b,x)
    67 1:positive 2:negative   +   0.544 (b,b,x,x,o,x,o,o,x)
    68 1:positive 1:positive       0.524 (o,b,x,x,o,x,b,o,x)
    69 1:positive 2:negative   +   0.738 (x,o,b,x,b,b,x,b,o)
    70 1:positive 2:negative   +   0.826 (o,x,o,b,o,b,x,x,x)
    71 1:positive 1:positive       0.876 (b,x,x,b,x,o,x,o,o)
    72 1:positive 2:negative   +   0.623 (o,x,b,x,x,b,o,x,o)
    73 1:positive 1:positive       0.924 (b,b,x,b,x,b,x,o,o)
    74 1:positive 1:positive       0.65 (x,b,x,x,b,o,x,o,o)
    75 1:positive 1:positive       0.89 (o,o,b,x,x,x,x,o,b)
    76 1:positive 2:negative   +   0.538 (x,b,o,x,x,x,o,b,o)
    77 1:positive 1:positive       0.797 (o,x,b,o,x,b,b,x,b)
     1 2:negative 1:positive   +   0.697 (o,o,o,b,b,x,b,x,x)
     2 2:negative 2:negative       0.681 (x,o,b,x,o,b,b,o,x)
     3 2:negative 2:negative       0.776 (x,b,x,o,o,o,x,b,b)
     4 2:negative 2:negative       0.909 (o,x,x,x,o,o,x,b,o)
     5 2:negative 1:positive   +   0.605 (o,o,o,x,b,x,b,b,x)
     6 2:negative 1:positive   +   0.805 (b,o,b,x,o,x,b,o,x)
     7 2:negative 1:positive   +   0.674 (b,x,x,o,o,o,b,b,x)
     8 2:negative 2:negative       0.948 (o,x,x,o,o,x,b,x,o)
     9 2:negative 2:negative       0.512 (b,x,x,o,o,o,o,x,x)
    10 2:negative 1:positive   +   0.789 (b,x,o,b,x,o,x,b,o)
    11 2:negative 2:negative       0.841 (o,o,o,x,b,x,o,x,x)
    12 2:negative 2:negative       0.555 (x,x,o,o,x,o,x,b,o)
    13 2:negative 2:negative       0.577 (x,o,b,x,o,x,o,o,x)
    14 2:negative 1:positive   +   0.547 (x,o,x,o,o,o,b,x,x)
    15 2:negative 2:negative       0.734 (b,o,x,b,o,x,x,o,b)
    16 2:negative 1:positive   +   0.535 (o,o,o,x,x,b,b,x,b)
    17 2:negative 2:negative       0.672 (x,o,x,x,o,x,o,o,b)
    18 2:negative 1:positive   +   0.652 (o,x,x,o,b,b,o,x,b)
    19 2:negative 1:positive   +   0.728 (b,o,x,b,o,b,x,o,x)
    20 2:negative 1:positive   +   0.652 (x,o,x,x,o,o,b,o,x)
    21 2:negative 2:negative       0.946 (x,b,x,o,o,o,x,x,o)
    22 2:negative 1:positive   +   0.796 (o,o,o,b,b,x,x,b,x)
    23 2:negative 1:positive   +   0.874 (o,b,x,o,x,b,o,b,x)
    24 2:negative 2:negative       0.678 (b,x,x,x,b,b,o,o,o)
    25 2:negative 2:negative       0.561 (x,x,o,x,x,o,b,o,o)
    26 2:negative 2:negative       0.814 (x,o,x,b,o,x,b,o,b)
    27 2:negative 2:negative       0.698 (x,b,o,x,b,o,b,x,o)
    28 2:negative 2:negative       0.554 (b,x,b,x,x,b,o,o,o)
    29 2:negative 1:positive   +   0.57 (x,o,x,o,o,o,x,b,x)
    30 2:negative 2:negative       0.609 (x,o,o,x,o,x,b,o,x)
    31 2:negative 1:positive   +   0.681 (o,x,o,o,x,x,x,o,x)
    32 2:negative 2:negative       0.956 (x,o,x,o,o,x,x,x,o)
    33 2:negative 1:positive   +   0.825 (b,x,b,o,o,o,x,x,b)
    34 1:positive 1:positive       0.915 (b,x,b,o,x,o,b,x,b)
    35 1:positive 1:positive       0.851 (b,x,x,o,x,o,b,x,o)
    36 1:positive 1:positive       0.861 (o,x,x,o,x,o,b,x,b)
    37 1:positive 1:positive       0.909 (o,x,b,o,x,o,x,x,b)
    38 1:positive 1:positive       0.898 (b,b,b,x,x,x,o,b,o)
    39 1:positive 1:positive       0.911 (x,b,b,o,x,o,b,b,x)
    40 1:positive 2:negative   +   0.776 (o,b,o,x,o,b,x,x,x)
    41 1:positive 2:negative   +   0.767 (x,b,x,x,o,b,x,o,o)
    42 1:positive 1:positive       0.893 (b,b,x,x,x,o,x,o,o)
    43 1:positive 1:positive       0.898 (o,o,x,b,x,x,b,o,x)
    44 1:positive 2:negative   +   0.74 (o,b,o,b,o,x,x,x,x)
    45 1:positive 1:positive       0.825 (x,o,b,o,x,b,o,x,x)
    46 1:positive 1:positive       0.922 (b,o,o,b,b,b,x,x,x)
    47 1:positive 1:positive       0.594 (o,b,x,o,x,x,x,b,o)
    48 1:positive 1:positive       0.871 (x,b,o,x,x,x,b,o,o)
    49 1:positive 1:positive       0.927 (o,b,b,x,x,x,o,o,x)
    50 1:positive 1:positive       0.556 (o,o,b,x,o,b,x,x,x)
    51 1:positive 2:negative   +   0.626 (b,o,x,b,o,x,o,x,x)
    52 1:positive 1:positive       0.555 (x,b,x,x,o,o,x,o,b)
    53 1:positive 1:positive       0.91 (b,o,x,b,x,x,o,o,x)
    54 1:positive 1:positive       0.904 (o,b,o,x,x,x,x,o,b)
    55 1:positive 1:positive       0.825 (o,o,x,x,x,x,o,b,b)
    56 1:positive 2:negative   +   0.733 (b,x,o,b,x,x,o,x,o)
    57 1:positive 1:positive       0.86 (b,o,o,x,x,x,b,b,b)
    58 1:positive 1:positive       0.778 (b,o,x,o,b,x,o,x,x)
    59 1:positive 1:positive       0.931 (b,o,b,o,b,b,x,x,x)
    60 1:positive 1:positive       0.791 (x,b,o,o,x,b,b,b,x)
    61 1:positive 1:positive       0.619 (o,o,x,x,o,x,b,b,x)
    62 1:positive 1:positive       0.801 (o,b,b,b,o,b,x,x,x)
    63 1:positive 2:negative   +   0.508 (x,o,b,x,o,o,x,b,x)
    64 1:positive 2:negative   +   0.786 (o,x,x,o,o,x,x,o,x)
    65 1:positive 1:positive       0.729 (o,o,x,x,x,x,x,o,o)
    66 1:positive 1:positive       0.539 (o,o,b,x,x,x,o,x,b)
    67 1:positive 1:positive       0.719 (b,o,x,b,o,x,b,b,x)
    68 1:positive 1:positive       0.856 (o,b,o,x,x,x,o,b,x)
    69 1:positive 1:positive       0.825 (b,x,x,o,x,b,o,x,o)
    70 1:positive 1:positive       0.888 (b,x,o,o,b,o,x,x,x)
    71 1:positive 2:negative   +   0.769 (x,b,o,x,o,x,x,b,o)
    72 1:positive 1:positive       0.8 (x,b,o,o,x,x,o,b,x)
    73 1:positive 1:positive       0.895 (b,b,x,o,x,o,x,b,b)
    74 1:positive 1:positive       0.526 (o,x,b,o,x,x,b,x,o)
    75 1:positive 2:negative   +   0.546 (o,o,x,b,o,x,x,b,x)
    76 1:positive 1:positive       0.897 (b,x,o,o,x,b,x,x,o)
    77 1:positive 1:positive       0.891 (b,b,b,o,o,b,x,x,x)
     1 2:negative 2:negative       0.796 (x,o,x,x,o,o,o,x,x)
     2 2:negative 1:positive   +   0.808 (b,x,o,x,x,o,x,o,o)
     3 2:negative 2:negative       0.903 (x,o,o,x,o,x,o,x,b)
     4 2:negative 2:negative       0.526 (o,x,x,b,o,b,x,b,o)
     5 2:negative 2:negative       0.729 (x,b,o,x,o,x,o,b,b)
     6 2:negative 2:negative       0.716 (o,o,o,x,o,x,x,x,b)
     7 2:negative 2:negative       0.767 (o,x,b,x,o,b,x,b,o)
     8 2:negative 2:negative       0.765 (o,x,x,b,o,x,o,x,o)
     9 2:negative 2:negative       0.635 (o,x,x,b,x,x,o,o,o)
    10 2:negative 1:positive   +   0.651 (b,o,b,x,o,b,x,o,x)
    11 2:negative 1:positive   +   0.803 (o,o,o,b,b,x,x,x,b)
    12 2:negative 1:positive   +   0.579 (o,o,o,x,b,b,x,x,b)
    13 2:negative 2:negative       0.769 (o,b,x,x,o,b,b,x,o)
    14 2:negative 2:negative       0.866 (x,x,b,o,o,o,x,b,b)
    15 2:negative 1:positive   +   0.861 (o,o,o,b,x,x,x,b,b)
    16 2:negative 2:negative       0.668 (o,o,b,x,o,x,x,x,o)
    17 2:negative 1:positive   +   0.857 (o,x,x,o,x,o,o,b,x)
    18 2:negative 1:positive   +   0.538 (x,x,o,x,x,o,o,b,o)
    19 2:negative 2:negative       0.939 (x,x,o,x,o,o,b,x,o)
    20 2:negative 2:negative       0.905 (x,x,o,x,o,x,o,o,b)
    21 2:negative 1:positive   +   0.863 (o,o,o,o,x,x,b,x,x)
    22 2:negative 2:negative       0.815 (o,x,b,x,o,x,x,o,o)
    23 2:negative 2:negative       0.607 (o,x,b,o,o,x,x,x,o)
    24 2:negative 2:negative       0.844 (x,b,x,x,o,x,o,o,o)
    25 2:negative 2:negative       0.791 (x,x,b,o,o,o,b,b,x)
    26 2:negative 2:negative       0.738 (x,b,x,b,b,x,o,o,o)
    27 2:negative 1:positive   +   0.788 (o,x,x,o,x,b,o,b,b)
    28 2:negative 2:negative       0.662 (b,x,b,o,o,o,b,x,x)
    29 2:negative 1:positive   +   0.526 (x,o,x,x,x,o,o,x,o)
    30 2:negative 2:negative       0.859 (o,x,b,x,o,o,x,x,o)
    31 2:negative 2:negative       0.874 (o,x,x,b,o,o,x,x,o)
    32 2:negative 2:negative       0.813 (x,o,x,b,o,x,x,o,o)
    33 2:negative 2:negative       0.565 (o,x,b,o,b,x,o,b,x)
    34 1:positive 1:positive       0.935 (x,o,b,x,b,o,x,o,x)
    35 1:positive 1:positive       0.89 (b,o,x,o,b,x,b,b,x)
    36 1:positive 1:positive       0.815 (x,b,b,x,o,b,x,b,o)
    37 1:positive 1:positive       0.883 (b,o,b,x,x,x,x,o,o)
    38 1:positive 1:positive       0.681 (x,o,b,x,x,b,o,o,x)
    39 1:positive 2:negative   +   0.829 (x,b,o,o,o,b,x,x,x)
    40 1:positive 2:negative   +   0.56 (o,b,o,x,x,x,o,x,b)
    41 1:positive 1:positive       0.838 (b,o,o,x,x,x,x,o,b)
    42 1:positive 1:positive       0.782 (b,x,b,x,x,o,o,x,o)
    43 1:positive 1:positive       0.76 (o,x,o,o,x,b,x,x,b)
    44 1:positive 1:positive       0.851 (b,x,x,o,x,b,x,o,o)
    45 1:positive 1:positive       0.62 (x,b,o,o,x,b,o,x,x)
    46 1:positive 1:positive       0.89 (o,b,x,b,x,b,x,o,b)
    47 1:positive 1:positive       0.909 (b,b,x,o,x,b,x,o,b)
    48 1:positive 1:positive       0.737 (o,o,x,b,b,x,o,x,x)
    49 1:positive 1:positive       0.888 (b,o,x,o,x,x,b,o,x)
    50 1:positive 1:positive       0.719 (o,x,o,b,x,b,b,x,b)
    51 1:positive 2:negative   +   0.862 (o,x,o,x,x,x,o,o,x)
    52 1:positive 1:positive       0.801 (b,o,b,x,o,o,x,x,x)
    53 1:positive 1:positive       0.551 (b,b,x,b,b,x,o,o,x)
    54 1:positive 1:positive       0.764 (b,o,o,x,b,o,x,x,x)
    55 1:positive 1:positive       0.829 (o,x,b,o,x,o,b,x,x)
    56 1:positive 1:positive       0.868 (b,o,x,o,o,b,x,x,x)
    57 1:positive 1:positive       0.769 (o,b,o,x,b,o,x,x,x)
    58 1:positive 1:positive       0.695 (b,x,b,b,x,b,o,x,o)
    59 1:positive 1:positive       0.948 (x,b,b,b,x,o,b,o,x)
    60 1:positive 1:positive       0.71 (o,b,o,x,x,x,b,o,x)
    61 1:positive 1:positive       0.921 (b,b,x,o,x,o,x,o,x)
    62 1:positive 1:positive       0.892 (b,b,x,o,x,x,x,o,o)
    63 1:positive 2:negative   +   0.717 (o,o,x,x,x,x,o,o,x)
    64 1:positive 2:negative   +   0.618 (x,b,x,o,x,o,x,b,o)
    65 1:positive 1:positive       0.796 (x,b,o,x,x,b,o,o,x)
    66 1:positive 1:positive       0.856 (b,x,b,b,x,o,o,x,b)
    67 1:positive 1:positive       0.945 (x,b,b,x,x,o,o,o,x)
    68 1:positive 1:positive       0.847 (o,x,x,o,x,b,x,b,o)
    69 1:positive 1:positive       0.894 (o,o,x,o,b,x,x,b,x)
    70 1:positive 1:positive       0.885 (o,b,b,x,x,x,b,o,b)
    71 1:positive 1:positive       0.929 (x,b,b,o,x,b,b,o,x)
    72 1:positive 1:positive       0.931 (o,b,x,x,x,o,x,o,b)
    73 1:positive 1:positive       0.741 (b,b,o,b,b,o,x,x,x)
    74 1:positive 1:positive       0.604 (o,b,x,b,x,x,o,o,x)
    75 1:positive 2:negative   +   0.839 (x,b,x,o,o,x,o,b,x)
    76 1:positive 1:positive       0.682 (o,x,o,o,x,x,x,x,o)
     1 2:negative 1:positive   +   0.713 (b,o,x,x,o,b,b,o,x)
     2 2:negative 2:negative       0.844 (o,x,b,b,o,x,b,x,o)
     3 2:negative 2:negative       0.503 (o,x,x,o,b,o,o,x,x)
     4 2:negative 2:negative       0.951 (o,x,x,x,o,o,b,x,o)
     5 2:negative 1:positive   +   0.743 (x,b,o,x,x,o,o,x,o)
     6 2:negative 2:negative       0.949 (x,x,o,x,o,x,o,b,o)
     7 2:negative 1:positive   +   0.572 (x,b,b,o,o,o,x,x,b)
     8 2:negative 2:negative       0.912 (b,x,o,x,o,x,o,b,b)
     9 2:negative 2:negative       0.571 (x,o,b,b,o,x,x,o,b)
    10 2:negative 2:negative       0.901 (o,x,o,b,o,x,x,x,o)
    11 2:negative 2:negative       0.929 (x,x,o,o,o,x,o,x,b)
    12 2:negative 1:positive   +   0.892 (x,b,b,x,x,b,o,o,o)
    13 2:negative 2:negative       0.661 (x,o,x,b,o,o,x,o,x)
    14 2:negative 2:negative       0.961 (o,x,x,x,o,b,o,x,o)
    15 2:negative 2:negative       0.904 (x,x,b,b,b,x,o,o,o)
    16 2:negative 1:positive   +   0.619 (x,b,b,x,b,x,o,o,o)
    17 2:negative 2:negative       0.887 (x,x,o,x,o,o,o,b,x)
    18 2:negative 2:negative       0.807 (b,x,o,b,o,b,o,x,x)
    19 2:negative 1:positive   +   0.928 (o,x,o,x,x,o,x,o,x)
    20 2:negative 2:negative       0.853 (o,o,o,x,b,b,b,x,x)
    21 2:negative 2:negative       0.914 (x,x,o,o,o,b,o,x,x)
    22 2:negative 1:positive   +   0.573 (b,o,b,x,o,x,x,o,b)
    23 2:negative 2:negative       0.867 (o,o,o,x,b,x,b,x,b)
    24 2:negative 2:negative       0.866 (x,x,o,x,b,o,o,x,o)
    25 2:negative 2:negative       0.904 (o,x,x,o,o,o,x,x,b)
    26 2:negative 2:negative       0.939 (x,o,x,x,o,x,o,x,o)
    27 2:negative 1:positive   +   0.91 (o,o,x,o,x,x,o,x,b)
    28 2:negative 2:negative       0.864 (o,x,b,b,o,b,x,x,o)
    29 2:negative 2:negative       0.873 (x,x,b,o,x,x,o,o,o)
    30 2:negative 2:negative       0.834 (x,b,o,b,o,x,o,b,x)
    31 2:negative 2:negative       0.533 (x,o,b,b,o,x,b,o,x)
    32 2:negative 2:negative       0.893 (x,x,o,b,o,b,o,b,x)
    33 2:negative 2:negative       0.707 (b,x,x,b,x,b,o,o,o)
    34 1:positive 1:positive       0.732 (x,o,b,b,x,o,o,x,x)
    35 1:positive 2:negative   +   0.849 (x,o,b,x,o,b,x,x,o)
    36 1:positive 1:positive       0.716 (x,o,b,x,x,o,o,b,x)
    37 1:positive 2:negative   +   0.574 (o,b,x,b,o,x,o,x,x)
    38 1:positive 1:positive       0.838 (b,o,x,x,x,x,o,o,b)
    39 1:positive 1:positive       0.673 (o,b,x,o,o,b,x,x,x)
    40 1:positive 1:positive       0.721 (o,o,x,x,x,o,x,x,o)
    41 1:positive 1:positive       0.809 (o,b,b,x,x,x,o,x,o)
    42 1:positive 1:positive       0.81 (x,b,o,b,x,b,o,b,x)
    43 1:positive 1:positive       0.95 (b,o,x,o,x,b,x,o,x)
    44 1:positive 1:positive       0.728 (o,x,o,o,x,b,b,x,x)
    45 1:positive 1:positive       0.781 (x,o,b,x,b,o,x,b,b)
    46 1:positive 1:positive       0.806 (b,b,o,x,x,x,o,o,x)
    47 1:positive 1:positive       0.84 (x,b,o,x,x,o,o,b,x)
    48 1:positive 1:positive       0.801 (o,b,x,x,b,x,o,o,x)
    49 1:positive 1:positive       0.754 (b,b,x,o,x,o,x,x,o)
    50 1:positive 1:positive       0.787 (x,b,o,b,x,o,o,x,x)
    51 1:positive 1:positive       0.899 (o,o,x,b,b,o,x,x,x)
    52 1:positive 1:positive       0.933 (o,o,x,b,x,b,x,o,x)
    53 1:positive 1:positive       0.912 (b,o,x,b,x,o,x,x,o)
    54 1:positive 1:positive       0.859 (o,b,x,x,x,b,x,o,o)
    55 1:positive 1:positive       0.932 (x,b,o,b,x,o,b,b,x)
    56 1:positive 1:positive       0.813 (x,o,b,x,x,b,x,o,o)
    57 1:positive 1:positive       0.848 (b,b,x,o,o,x,b,b,x)
    58 1:positive 1:positive       0.938 (o,o,x,o,x,o,x,x,x)
    59 1:positive 1:positive       0.934 (x,b,b,x,x,o,x,o,o)
    60 1:positive 1:positive       0.839 (o,b,x,x,x,o,x,b,o)
    61 1:positive 1:positive       0.797 (o,o,b,x,b,o,x,x,x)
    62 1:positive 1:positive       0.908 (b,o,b,x,x,x,b,o,b)
    63 1:positive 1:positive       0.795 (o,b,x,b,x,x,x,o,o)
    64 1:positive 1:positive       0.907 (o,o,b,b,b,b,x,x,x)
    65 1:positive 2:negative   +   0.835 (o,x,x,o,x,x,x,o,o)
    66 1:positive 1:positive       0.94 (b,o,x,b,b,x,b,o,x)
    67 1:positive 1:positive       0.645 (b,o,x,x,o,x,o,b,x)
    68 1:positive 1:positive       0.834 (o,x,o,o,x,o,x,x,x)
    69 1:positive 1:positive       0.942 (b,o,x,o,b,x,x,o,x)
    70 1:positive 2:negative   +   0.529 (b,o,o,x,x,x,b,x,o)
    71 1:positive 2:negative   +   0.716 (b,x,o,x,x,b,o,x,o)
    72 1:positive 1:positive       0.888 (o,o,x,x,x,b,x,o,b)
    73 1:positive 1:positive       0.678 (b,b,o,x,x,x,o,b,b)
    74 1:positive 1:positive       0.818 (x,b,o,o,b,o,x,x,x)
    75 1:positive 1:positive       0.676 (o,b,x,b,o,x,x,o,x)
    76 1:positive 1:positive       0.747 (b,x,x,o,b,x,o,o,x)
     1 2:negative 2:negative       0.84 (o,x,x,b,o,x,x,o,o)
     2 2:negative 1:positive   +   0.817 (o,o,o,x,x,b,x,b,b)
     3 2:negative 2:negative       0.823 (x,x,o,b,b,o,b,x,o)
     4 2:negative 1:positive   +   0.828 (o,o,o,x,b,x,x,o,x)
     5 2:negative 2:negative       0.88 (o,x,b,x,o,x,b,b,o)
     6 2:negative 1:positive   +   0.605 (x,o,b,x,o,x,b,o,b)
     7 2:negative 1:positive   +   0.755 (o,o,o,x,b,x,x,b,b)
     8 2:negative 1:positive   +   0.796 (o,o,b,o,x,x,o,x,x)
     9 2:negative 2:negative       0.76 (o,x,b,b,o,x,x,b,o)
    10 2:negative 2:negative       0.764 (b,x,o,b,o,x,o,b,x)
    11 2:negative 2:negative       0.768 (x,b,o,x,o,b,o,x,b)
    12 2:negative 2:negative       0.893 (x,x,o,b,o,o,o,x,x)
    13 2:negative 2:negative       0.898 (b,x,o,x,o,x,o,x,o)
    14 2:negative 2:negative       0.582 (x,x,b,x,x,o,o,o,o)
    15 2:negative 2:negative       0.669 (x,x,o,o,x,x,x,o,o)
    16 2:negative 1:positive   +   0.875 (o,b,b,o,x,x,o,x,b)
    17 2:negative 2:negative       0.715 (o,b,x,b,o,b,x,x,o)
    18 2:negative 2:negative       0.917 (x,x,o,o,o,o,x,x,b)
    19 2:negative 1:positive   +   0.53 (x,b,x,b,x,b,o,o,o)
    20 2:negative 2:negative       0.743 (b,x,b,o,o,o,x,b,x)
    21 2:negative 1:positive   +   0.687 (b,b,o,b,o,x,o,x,x)
    22 2:negative 2:negative       0.518 (x,b,o,b,o,b,o,x,x)
    23 2:negative 1:positive   +   0.824 (o,o,o,b,x,x,b,b,x)
    24 2:negative 2:negative       0.558 (b,x,b,b,x,x,o,o,o)
    25 2:negative 2:negative       0.513 (x,o,x,x,o,b,b,o,b)
    26 2:negative 2:negative       0.821 (x,b,o,x,o,b,o,b,x)
    27 2:negative 2:negative       0.684 (b,b,o,x,o,x,o,x,b)
    28 2:negative 1:positive   +   0.637 (x,o,x,o,o,b,x,o,x)
    29 2:negative 2:negative       0.532 (o,b,x,x,o,o,x,x,o)
    30 2:negative 1:positive   +   0.795 (o,b,x,o,x,x,o,b,b)
    31 2:negative 1:positive   +   0.771 (b,b,o,x,x,o,x,b,o)
    32 2:negative 2:negative       0.885 (o,x,o,x,o,x,o,b,x)
    33 2:negative 2:negative       0.884 (x,x,o,o,o,x,o,b,x)
    34 1:positive 1:positive       0.762 (o,b,b,x,x,x,o,b,b)
    35 1:positive 1:positive       0.548 (b,o,x,o,o,x,b,x,x)
    36 1:positive 1:positive       0.65 (x,b,b,x,o,o,x,o,x)
    37 1:positive 1:positive       0.748 (o,x,o,b,x,o,b,x,x)
    38 1:positive 1:positive       0.902 (o,b,b,o,x,o,x,x,x)
    39 1:positive 1:positive       0.778 (o,o,x,o,x,x,x,x,o)
    40 1:positive 2:negative   +   0.733 (b,x,x,o,o,x,o,b,x)
    41 1:positive 1:positive       0.865 (x,o,b,x,b,b,x,o,b)
    42 1:positive 1:positive       0.772 (o,o,x,b,x,b,x,x,o)
    43 1:positive 2:negative   +   0.6 (x,b,x,b,o,x,o,o,x)
    44 1:positive 1:positive       0.69 (o,x,o,b,x,o,x,x,b)
    45 1:positive 1:positive       0.885 (b,x,o,o,x,b,b,x,b)
    46 1:positive 2:negative   +   0.862 (b,x,o,b,o,o,x,x,x)
    47 1:positive 1:positive       0.896 (b,o,x,o,x,x,o,b,x)
    48 1:positive 2:negative   +   0.501 (x,b,x,x,o,o,x,b,o)
    49 1:positive 1:positive       0.907 (b,o,x,x,x,b,x,o,o)
    50 1:positive 1:positive       0.606 (o,b,x,b,o,o,x,x,x)
    51 1:positive 2:negative   +   0.723 (x,b,b,x,o,o,x,x,o)
    52 1:positive 1:positive       0.689 (b,b,x,b,o,x,o,b,x)
    53 1:positive 1:positive       0.874 (x,b,b,x,b,o,x,o,b)
    54 1:positive 1:positive       0.908 (o,b,x,o,x,b,x,b,b)
    55 1:positive 1:positive       0.886 (o,b,x,b,x,b,x,b,o)
    56 1:positive 1:positive       0.86 (o,x,b,b,x,o,b,x,b)
    57 1:positive 2:negative   +   0.598 (b,x,o,o,o,b,x,x,x)
    58 1:positive 1:positive       0.774 (o,x,b,b,x,b,b,x,o)
    59 1:positive 1:positive       0.813 (b,x,o,b,x,o,o,x,x)
    60 1:positive 1:positive       0.823 (b,b,o,x,x,x,b,b,o)
    61 1:positive 1:positive       0.737 (x,b,x,o,x,o,o,b,x)
    62 1:positive 2:negative   +   0.778 (b,b,o,x,o,o,x,x,x)
    63 1:positive 1:positive       0.729 (o,b,x,x,x,x,b,o,o)
    64 1:positive 1:positive       0.588 (o,x,x,b,x,b,x,o,o)
    65 1:positive 1:positive       0.729 (o,x,x,b,x,o,o,x,b)
    66 1:positive 1:positive       0.763 (b,x,o,o,x,o,b,x,x)
    67 1:positive 1:positive       0.506 (b,o,x,b,o,o,x,x,x)
    68 1:positive 1:positive       0.749 (o,o,x,o,b,x,b,x,x)
    69 1:positive 1:positive       0.873 (x,b,b,o,x,o,o,x,x)
    70 1:positive 1:positive       0.728 (x,b,o,o,x,b,x,o,x)
    71 1:positive 1:positive       0.831 (x,b,b,b,x,o,o,b,x)
    72 1:positive 2:negative   +   0.586 (o,x,o,b,b,o,x,x,x)
    73 1:positive 1:positive       0.811 (b,x,x,o,x,o,o,x,b)
    74 1:positive 1:positive       0.837 (b,b,o,o,x,o,x,x,x)
    75 1:positive 1:positive       0.899 (b,x,b,o,x,b,o,x,b)
    76 1:positive 2:negative   +   0.897 (x,b,o,x,o,o,x,b,x)
     1 2:negative 1:positive   +   0.73 (x,b,b,o,o,o,x,b,x)
     2 2:negative 2:negative       0.812 (x,x,o,o,o,o,b,x,x)
     3 2:negative 1:positive   +   0.707 (x,b,o,x,x,o,b,b,o)
     4 2:negative 2:negative       0.794 (o,o,o,x,b,b,x,b,x)
     5 2:negative 2:negative       0.957 (x,x,o,b,o,x,o,b,b)
     6 2:negative 2:negative       0.922 (o,x,o,x,o,b,o,x,x)
     7 2:negative 2:negative       0.692 (o,o,x,b,o,x,x,x,o)
     8 2:negative 1:positive   +   0.834 (b,o,o,x,x,o,x,x,o)
     9 2:negative 1:positive   +   0.589 (b,x,o,x,x,o,b,b,o)
    10 2:negative 2:negative       0.629 (o,o,o,o,x,x,x,x,b)
    11 2:negative 2:negative       0.879 (o,b,o,x,o,x,x,x,o)
    12 2:negative 1:positive   +   0.802 (o,b,b,o,x,b,o,x,x)
    13 2:negative 1:positive   +   0.807 (x,b,o,b,x,o,b,x,o)
    14 2:negative 2:negative       0.807 (o,x,x,x,b,x,o,o,o)
    15 2:negative 2:negative       0.783 (o,b,b,x,o,x,b,x,o)
    16 2:negative 2:negative       0.864 (x,x,b,o,o,o,b,x,b)
    17 2:negative 2:negative       0.831 (b,x,o,x,b,o,b,x,o)
    18 2:negative 2:negative       0.921 (o,x,x,o,o,x,x,b,o)
    19 2:negative 2:negative       0.824 (x,x,b,b,x,b,o,o,o)
    20 2:negative 2:negative       0.763 (b,o,o,x,o,x,o,x,x)
    21 2:negative 2:negative       0.936 (b,x,o,x,o,o,o,x,x)
    22 2:negative 1:positive   +   0.817 (b,b,o,x,x,o,b,x,o)
    23 2:negative 1:positive   +   0.536 (b,x,b,x,b,x,o,o,o)
    24 2:negative 2:negative       0.615 (x,b,x,o,o,o,b,b,x)
    25 2:negative 1:positive   +   0.712 (o,b,x,o,x,x,o,x,o)
    26 2:negative 2:negative       0.834 (o,o,o,x,o,x,x,b,x)
    27 2:negative 1:positive   +   0.759 (x,b,o,b,b,o,x,x,o)
    28 2:negative 1:positive   +   0.804 (b,x,o,b,b,o,x,x,o)
    29 2:negative 1:positive   +   0.723 (o,b,x,o,b,b,o,x,x)
    30 2:negative 2:negative       0.69 (o,o,o,b,x,x,b,x,b)
    31 2:negative 1:positive   +   0.5 (b,o,x,x,o,o,x,o,x)
    32 2:negative 2:negative       0.935 (o,x,o,x,o,x,x,b,o)
    33 2:negative 2:negative       0.928 (o,x,x,x,o,o,o,x,x)
    34 1:positive 2:negative   +   0.711 (x,b,o,x,o,b,x,o,x)
    35 1:positive 1:positive       0.808 (x,b,x,o,b,x,o,o,x)
    36 1:positive 1:positive       0.841 (o,o,x,b,x,x,x,b,o)
    37 1:positive 1:positive       0.827 (b,x,b,o,x,b,b,x,o)
    38 1:positive 1:positive       0.736 (x,b,o,x,x,o,x,o,b)
    39 1:positive 1:positive       0.9 (o,o,x,x,x,x,b,o,b)
    40 1:positive 1:positive       0.909 (x,b,o,o,x,x,b,o,x)
    41 1:positive 1:positive       0.73 (x,b,x,b,x,o,o,o,x)
    42 1:positive 1:positive       0.932 (b,b,x,o,x,x,o,o,x)
    43 1:positive 1:positive       0.541 (o,b,o,o,b,x,x,x,x)
    44 1:positive 2:negative   +   0.756 (x,b,b,x,o,b,x,o,b)
    45 1:positive 1:positive       0.844 (b,x,o,x,x,x,b,o,o)
    46 1:positive 1:positive       0.707 (o,x,b,b,x,b,o,x,b)
    47 1:positive 1:positive       0.869 (x,o,b,b,x,x,o,o,x)
