

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
    61 1:positive 1:positive       0.764 (o,o,x,b,x,x,o,b,x)
    62 1:positive 1:positive       0.57 (x,b,o,b,o,o,x,x,x)
    63 1:positive 1:positive       0.613 (o,x,b,x,x,x,o,o,b)
    64 1:positive 1:positive       0.601 (b,o,o,x,x,x,o,x,b)
    65 1:positive 1:positive       0.764 (b,o,x,x,x,x,b,o,o)
    66 1:positive 1:positive       0.654 (x,o,b,o,x,x,o,b,x)
    67 1:positive 1:positive       0.61 (b,b,x,x,o,x,o,o,x)
    68 1:positive 1:positive       0.614 (o,b,x,x,o,x,b,o,x)
    69 1:positive 1:positive       0.53 (x,o,b,x,b,b,x,b,o)
    70 1:positive 2:negative   +   0.678 (o,x,o,b,o,b,x,x,x)
    71 1:positive 1:positive       0.875 (b,x,x,b,x,o,x,o,o)
    72 1:positive 2:negative   +   0.656 (o,x,b,x,x,b,o,x,o)
    73 1:positive 1:positive       0.951 (b,b,x,b,x,b,x,o,o)
    74 1:positive 1:positive       0.759 (x,b,x,x,b,o,x,o,o)
    75 1:positive 1:positive       0.895 (o,o,b,x,x,x,x,o,b)
    76 1:positive 2:negative   +   0.639 (x,b,o,x,x,x,o,b,o)
    77 1:positive 1:positive       0.698 (o,x,b,o,x,b,b,x,b)
     1 2:negative 1:positive   +   0.594 (o,o,o,b,b,x,b,x,x)
     2 2:negative 2:negative       0.606 (x,o,b,x,o,b,b,o,x)
     3 2:negative 2:negative       0.553 (x,b,x,o,o,o,x,b,b)
     4 2:negative 2:negative       0.826 (o,x,x,x,o,o,x,b,o)
     5 2:negative 1:positive   +   0.594 (o,o,o,x,b,x,b,b,x)
     6 2:negative 1:positive   +   0.663 (b,o,b,x,o,x,b,o,x)
     7 2:negative 1:positive   +   0.511 (b,x,x,o,o,o,b,b,x)
     8 2:negative 2:negative       0.944 (o,x,x,o,o,x,b,x,o)
     9 2:negative 2:negative       0.737 (b,x,x,o,o,o,o,x,x)
    10 2:negative 1:positive   +   0.775 (b,x,o,b,x,o,x,b,o)
    11 2:negative 2:negative       0.667 (o,o,o,x,b,x,o,x,x)
    12 2:negative 2:negative       0.624 (x,x,o,o,x,o,x,b,o)
    13 2:negative 2:negative       0.818 (x,o,b,x,o,x,o,o,x)
    14 2:negative 2:negative       0.744 (x,o,x,o,o,o,b,x,x)
    15 2:negative 1:positive   +   0.652 (b,o,x,b,o,x,x,o,b)
    16 2:negative 1:positive   +   0.639 (o,o,o,x,x,b,b,x,b)
    17 2:negative 2:negative       0.899 (x,o,x,x,o,x,o,o,b)
    18 2:negative 2:negative       0.74 (o,x,x,o,b,b,o,x,b)
    19 2:negative 1:positive   +   0.787 (b,o,x,b,o,b,x,o,x)
    20 2:negative 2:negative       0.606 (x,o,x,x,o,o,b,o,x)
    21 2:negative 2:negative       0.784 (x,b,x,o,o,o,x,x,o)
    22 2:negative 1:positive   +   0.733 (o,o,o,b,b,x,x,b,x)
    23 2:negative 1:positive   +   0.804 (o,b,x,o,x,b,o,b,x)
    24 2:negative 2:negative       0.593 (b,x,x,x,b,b,o,o,o)
    25 2:negative 2:negative       0.623 (x,x,o,x,x,o,b,o,o)
    26 2:negative 2:negative       0.753 (x,o,x,b,o,x,b,o,b)
    27 2:negative 2:negative       0.616 (x,b,o,x,b,o,b,x,o)
    28 2:negative 1:positive   +   0.621 (b,x,b,x,x,b,o,o,o)
    29 2:negative 2:negative       0.607 (x,o,x,o,o,o,x,b,x)
    30 2:negative 2:negative       0.801 (x,o,o,x,o,x,b,o,x)
    31 2:negative 1:positive   +   0.777 (o,x,o,o,x,x,x,o,x)
    32 2:negative 2:negative       0.9 (x,o,x,o,o,x,x,x,o)
    33 2:negative 2:negative       0.502 (b,x,b,o,o,o,x,x,b)
    34 1:positive 1:positive       0.882 (b,x,b,o,x,o,b,x,b)
    35 1:positive 1:positive       0.718 (b,x,x,o,x,o,b,x,o)
    36 1:positive 1:positive       0.71 (o,x,x,o,x,o,b,x,b)
    37 1:positive 1:positive       0.822 (o,x,b,o,x,o,x,x,b)
    38 1:positive 1:positive       0.802 (b,b,b,x,x,x,o,b,o)
    39 1:positive 1:positive       0.923 (x,b,b,o,x,o,b,b,x)
    40 1:positive 1:positive       0.535 (o,b,o,x,o,b,x,x,x)
    41 1:positive 2:negative   +   0.658 (x,b,x,x,o,b,x,o,o)
    42 1:positive 1:positive       0.957 (b,b,x,x,x,o,x,o,o)
    43 1:positive 1:positive       0.901 (o,o,x,b,x,x,b,o,x)
    44 1:positive 1:positive       0.535 (o,b,o,b,o,x,x,x,x)
    45 1:positive 1:positive       0.624 (x,o,b,o,x,b,o,x,x)
    46 1:positive 1:positive       0.893 (b,o,o,b,b,b,x,x,x)
    47 1:positive 1:positive       0.795 (o,b,x,o,x,x,x,b,o)
    48 1:positive 1:positive       0.599 (x,b,o,x,x,x,b,o,o)
    49 1:positive 1:positive       0.885 (o,b,b,x,x,x,o,o,x)
    50 1:positive 1:positive       0.549 (o,o,b,x,o,b,x,x,x)
    51 1:positive 2:negative   +   0.598 (b,o,x,b,o,x,o,x,x)
    52 1:positive 1:positive       0.603 (x,b,x,x,o,o,x,o,b)
    53 1:positive 1:positive       0.905 (b,o,x,b,x,x,o,o,x)
    54 1:positive 1:positive       0.891 (o,b,o,x,x,x,x,o,b)
    55 1:positive 1:positive       0.612 (o,o,x,x,x,x,o,b,b)
    56 1:positive 2:negative   +   0.615 (b,x,o,b,x,x,o,x,o)
    57 1:positive 1:positive       0.843 (b,o,o,x,x,x,b,b,b)
    58 1:positive 1:positive       0.678 (b,o,x,o,b,x,o,x,x)
    59 1:positive 1:positive       0.92 (b,o,b,o,b,b,x,x,x)
    60 1:positive 1:positive       0.821 (x,b,o,o,x,b,b,b,x)
    61 1:positive 2:negative   +   0.606 (o,o,x,x,o,x,b,b,x)
    62 1:positive 1:positive       0.751 (o,b,b,b,o,b,x,x,x)
    63 1:positive 1:positive       0.549 (x,o,b,x,o,o,x,b,x)
    64 1:positive 2:negative   +   0.607 (o,x,x,o,o,x,x,o,x)
    65 1:positive 1:positive       0.748 (o,o,x,x,x,x,x,o,o)
    66 1:positive 1:positive       0.612 (o,o,b,x,x,x,o,x,b)
    67 1:positive 1:positive       0.663 (b,o,x,b,o,x,b,b,x)
    68 1:positive 1:positive       0.747 (o,b,o,x,x,x,o,b,x)
    69 1:positive 2:negative   +   0.535 (b,x,x,o,x,b,o,x,o)
    70 1:positive 1:positive       0.816 (b,x,o,o,b,o,x,x,x)
    71 1:positive 2:negative   +   0.834 (x,b,o,x,o,x,x,b,o)
    72 1:positive 1:positive       0.61 (x,b,o,o,x,x,o,b,x)
    73 1:positive 1:positive       0.972 (b,b,x,o,x,o,x,b,b)
    74 1:positive 2:negative   +   0.544 (o,x,b,o,x,x,b,x,o)
    75 1:positive 1:positive       0.549 (o,o,x,b,o,x,x,b,x)
    76 1:positive 1:positive       0.646 (b,x,o,o,x,b,x,x,o)
    77 1:positive 1:positive       0.829 (b,b,b,o,o,b,x,x,x)
     1 2:negative 2:negative       0.802 (x,o,x,x,o,o,o,x,x)
     2 2:negative 1:positive   +   0.746 (b,x,o,x,x,o,x,o,o)
     3 2:negative 2:negative       0.952 (x,o,o,x,o,x,o,x,b)
     4 2:negative 2:negative       0.799 (o,x,x,b,o,b,x,b,o)
     5 2:negative 2:negative       0.882 (x,b,o,x,o,x,o,b,b)
     6 2:negative 2:negative       0.793 (o,o,o,x,o,x,x,x,b)
     7 2:negative 2:negative       0.799 (o,x,b,x,o,b,x,b,o)
     8 2:negative 2:negative       0.954 (o,x,x,b,o,x,o,x,o)
     9 2:negative 2:negative       0.626 (o,x,x,b,x,x,o,o,o)
    10 2:negative 1:positive   +   0.758 (b,o,b,x,o,b,x,o,x)
    11 2:negative 1:positive   +   0.57 (o,o,o,b,b,x,x,x,b)
    12 2:negative 1:positive   +   0.57 (o,o,o,x,b,b,x,x,b)
    13 2:negative 2:negative       0.734 (o,b,x,x,o,b,b,x,o)
    14 2:negative 2:negative       0.742 (x,x,b,o,o,o,x,b,b)
    15 2:negative 1:positive   +   0.764 (o,o,o,b,x,x,x,b,b)
    16 2:negative 2:negative       0.799 (o,o,b,x,o,x,x,x,o)
    17 2:negative 1:positive   +   0.612 (o,x,x,o,x,o,o,b,x)
    18 2:negative 2:negative       0.812 (x,x,o,x,x,o,o,b,o)
    19 2:negative 2:negative       0.95 (x,x,o,x,o,o,b,x,o)
    20 2:negative 2:negative       0.952 (x,x,o,x,o,x,o,o,b)
    21 2:negative 1:positive   +   0.632 (o,o,o,o,x,x,b,x,x)
    22 2:negative 2:negative       0.799 (o,x,b,x,o,x,x,o,o)
    23 2:negative 2:negative       0.885 (o,x,b,o,o,x,x,x,o)
    24 2:negative 2:negative       0.885 (x,b,x,x,o,x,o,o,o)
    25 2:negative 2:negative       0.737 (x,x,b,o,o,o,b,b,x)
    26 2:negative 2:negative       0.603 (x,b,x,b,b,x,o,o,o)
    27 2:negative 2:negative       0.548 (o,x,x,o,x,b,o,b,b)
    28 2:negative 2:negative       0.536 (b,x,b,o,o,o,b,x,x)
    29 2:negative 2:negative       0.626 (x,o,x,x,x,o,o,x,o)
    30 2:negative 2:negative       0.799 (o,x,b,x,o,o,x,x,o)
    31 2:negative 2:negative       0.799 (o,x,x,b,o,o,x,x,o)
    32 2:negative 2:negative       0.799 (x,o,x,b,o,x,x,o,o)
    33 2:negative 2:negative       0.607 (o,x,b,o,b,x,o,b,x)
    34 1:positive 1:positive       0.868 (x,o,b,x,b,o,x,o,x)
    35 1:positive 1:positive       0.815 (b,o,x,o,b,x,b,b,x)
    36 1:positive 2:negative   +   0.597 (x,b,b,x,o,b,x,b,o)
    37 1:positive 1:positive       0.883 (b,o,b,x,x,x,x,o,o)
    38 1:positive 1:positive       0.754 (x,o,b,x,x,b,o,o,x)
    39 1:positive 2:negative   +   0.592 (x,b,o,o,o,b,x,x,x)
    40 1:positive 1:positive       0.624 (o,b,o,x,x,x,o,x,b)
    41 1:positive 1:positive       0.887 (b,o,o,x,x,x,x,o,b)
    42 1:positive 1:positive       0.592 (b,x,b,x,x,o,o,x,o)
    43 1:positive 1:positive       0.625 (o,x,o,o,x,b,x,x,b)
    44 1:positive 1:positive       0.796 (b,x,x,o,x,b,x,o,o)
    45 1:positive 1:positive       0.621 (x,b,o,o,x,b,o,x,x)
    46 1:positive 1:positive       0.957 (o,b,x,b,x,b,x,o,b)
    47 1:positive 1:positive       0.965 (b,b,x,o,x,b,x,o,b)
    48 1:positive 1:positive       0.557 (o,o,x,b,b,x,o,x,x)
    49 1:positive 1:positive       0.915 (b,o,x,o,x,x,b,o,x)
    50 1:positive 1:positive       0.635 (o,x,o,b,x,b,b,x,b)
    51 1:positive 1:positive       0.542 (o,x,o,x,x,x,o,o,x)
    52 1:positive 1:positive       0.758 (b,o,b,x,o,o,x,x,x)
    53 1:positive 1:positive       0.891 (b,b,x,b,b,x,o,o,x)
    54 1:positive 1:positive       0.86 (b,o,o,x,b,o,x,x,x)
    55 1:positive 1:positive       0.816 (o,x,b,o,x,o,b,x,x)
    56 1:positive 1:positive       0.617 (b,o,x,o,o,b,x,x,x)
    57 1:positive 1:positive       0.872 (o,b,o,x,b,o,x,x,x)
    58 1:positive 1:positive       0.592 (b,x,b,b,x,b,o,x,o)
    59 1:positive 1:positive       0.958 (x,b,b,b,x,o,b,o,x)
    60 1:positive 1:positive       0.899 (o,b,o,x,x,x,b,o,x)
    61 1:positive 1:positive       0.982 (b,b,x,o,x,o,x,o,x)
    62 1:positive 1:positive       0.913 (b,b,x,o,x,x,x,o,o)
    63 1:positive 1:positive       0.754 (o,o,x,x,x,x,o,o,x)
    64 1:positive 1:positive       0.812 (x,b,x,o,x,o,x,b,o)
    65 1:positive 1:positive       0.761 (x,b,o,x,x,b,o,o,x)
    66 1:positive 1:positive       0.795 (b,x,b,b,x,o,o,x,b)
    67 1:positive 1:positive       0.891 (x,b,b,x,x,o,o,o,x)
    68 1:positive 1:positive       0.617 (o,x,x,o,x,b,x,b,o)
    69 1:positive 1:positive       0.771 (o,o,x,o,b,x,x,b,x)
    70 1:positive 1:positive       0.923 (o,b,b,x,x,x,b,o,b)
    71 1:positive 1:positive       0.922 (x,b,b,o,x,b,b,o,x)
    72 1:positive 1:positive       0.957 (o,b,x,x,x,o,x,o,b)
    73 1:positive 1:positive       0.943 (b,b,o,b,b,o,x,x,x)
    74 1:positive 1:positive       0.891 (o,b,x,b,x,x,o,o,x)
    75 1:positive 2:negative   +   0.746 (x,b,x,o,o,x,o,b,x)
    76 1:positive 2:negative   +   0.616 (o,x,o,o,x,x,x,x,o)
     1 2:negative 1:positive   +   0.618 (b,o,x,x,o,b,b,o,x)
     2 2:negative 2:negative       0.891 (o,x,b,b,o,x,b,x,o)
     3 2:negative 2:negative       0.594 (o,x,x,o,b,o,o,x,x)
     4 2:negative 2:negative       0.891 (o,x,x,x,o,o,b,x,o)
     5 2:negative 2:negative       0.612 (x,b,o,x,x,o,o,x,o)
     6 2:negative 2:negative       0.982 (x,x,o,x,o,x,o,b,o)
     7 2:negative 2:negative       0.521 (x,b,b,o,o,o,x,x,b)
     8 2:negative 2:negative       0.885 (b,x,o,x,o,x,o,b,b)
     9 2:negative 2:negative       0.614 (x,o,b,b,o,x,x,o,b)
    10 2:negative 2:negative       0.918 (o,x,o,b,o,x,x,x,o)
    11 2:negative 2:negative       0.973 (x,x,o,o,o,x,o,x,b)
    12 2:negative 1:positive   +   0.615 (x,b,b,x,x,b,o,o,o)
    13 2:negative 1:positive   +   0.544 (x,o,x,b,o,o,x,o,x)
    14 2:negative 2:negative       0.955 (o,x,x,x,o,b,o,x,o)
    15 2:negative 2:negative       0.805 (x,x,b,b,b,x,o,o,o)
    16 2:negative 2:negative       0.6 (x,b,b,x,b,x,o,o,o)
    17 2:negative 2:negative       0.91 (x,x,o,x,o,o,o,b,x)
    18 2:negative 2:negative       0.802 (b,x,o,b,o,b,o,x,x)
    19 2:negative 1:positive   +   0.854 (o,x,o,x,x,o,x,o,x)
    20 2:negative 1:positive   +   0.572 (o,o,o,x,b,b,b,x,x)
    21 2:negative 2:negative       0.95 (x,x,o,o,o,b,o,x,x)
    22 2:negative 1:positive   +   0.61 (b,o,b,x,o,x,x,o,b)
    23 2:negative 2:negative       0.587 (o,o,o,x,b,x,b,x,b)
    24 2:negative 2:negative       0.912 (x,x,o,x,b,o,o,x,o)
    25 2:negative 2:negative       0.75 (o,x,x,o,o,o,x,x,b)
    26 2:negative 2:negative       0.955 (x,o,x,x,o,x,o,x,o)
    27 2:negative 2:negative       0.537 (o,o,x,o,x,x,o,x,b)
    28 2:negative 2:negative       0.817 (o,x,b,b,o,b,x,x,o)
    29 2:negative 2:negative       0.765 (x,x,b,o,x,x,o,o,o)
    30 2:negative 2:negative       0.785 (x,b,o,b,o,x,o,b,x)
    31 2:negative 2:negative       0.606 (x,o,b,b,o,x,b,o,x)
    32 2:negative 2:negative       0.91 (x,x,o,b,o,b,o,b,x)
    33 2:negative 1:positive   +   0.59 (b,x,x,b,x,b,o,o,o)
    34 1:positive 1:positive       0.755 (x,o,b,b,x,o,o,x,x)
    35 1:positive 2:negative   +   0.817 (x,o,b,x,o,b,x,x,o)
    36 1:positive 1:positive       0.755 (x,o,b,x,x,o,o,b,x)
    37 1:positive 2:negative   +   0.592 (o,b,x,b,o,x,o,x,x)
    38 1:positive 1:positive       0.802 (b,o,x,x,x,x,o,o,b)
    39 1:positive 1:positive       0.636 (o,b,x,o,o,b,x,x,x)
    40 1:positive 1:positive       0.735 (o,o,x,x,x,o,x,x,o)
    41 1:positive 1:positive       0.615 (o,b,b,x,x,x,o,x,o)
    42 1:positive 1:positive       0.772 (x,b,o,b,x,b,o,b,x)
    43 1:positive 1:positive       0.951 (b,o,x,o,x,b,x,o,x)
    44 1:positive 1:positive       0.629 (o,x,o,o,x,b,b,x,x)
    45 1:positive 1:positive       0.764 (x,o,b,x,b,o,x,b,b)
    46 1:positive 1:positive       0.894 (b,b,o,x,x,x,o,o,x)
    47 1:positive 1:positive       0.772 (x,b,o,x,x,o,o,b,x)
    48 1:positive 1:positive       0.78 (o,b,x,x,b,x,o,o,x)
    49 1:positive 1:positive       0.91 (b,b,x,o,x,o,x,x,o)
    50 1:positive 1:positive       0.772 (x,b,o,b,x,o,o,x,x)
    51 1:positive 1:positive       0.86 (o,o,x,b,b,o,x,x,x)
    52 1:positive 1:positive       0.937 (o,o,x,b,x,b,x,o,x)
    53 1:positive 1:positive       0.873 (b,o,x,b,x,o,x,x,o)
    54 1:positive 1:positive       0.884 (o,b,x,x,x,b,x,o,o)
    55 1:positive 1:positive       0.898 (x,b,o,b,x,o,b,b,x)
    56 1:positive 1:positive       0.735 (x,o,b,x,x,b,x,o,o)
    57 1:positive 1:positive       0.703 (b,b,x,o,o,x,b,b,x)
    58 1:positive 1:positive       0.887 (o,o,x,o,x,o,x,x,x)
    59 1:positive 1:positive       0.884 (x,b,b,x,x,o,x,o,o)
    60 1:positive 1:positive       0.884 (o,b,x,x,x,o,x,b,o)
    61 1:positive 1:positive       0.86 (o,o,b,x,b,o,x,x,x)
    62 1:positive 1:positive       0.913 (b,o,b,x,x,x,b,o,b)
    63 1:positive 1:positive       0.884 (o,b,x,b,x,x,x,o,o)
    64 1:positive 1:positive       0.86 (o,o,b,b,b,b,x,x,x)
    65 1:positive 1:positive       0.595 (o,x,x,o,x,x,x,o,o)
    66 1:positive 1:positive       0.893 (b,o,x,b,b,x,b,o,x)
    67 1:positive 2:negative   +   0.617 (b,o,x,x,o,x,o,b,x)
    68 1:positive 1:positive       0.757 (o,x,o,o,x,o,x,x,x)
    69 1:positive 1:positive       0.89 (b,o,x,o,b,x,x,o,x)
    70 1:positive 1:positive       0.599 (b,o,o,x,x,x,b,x,o)
    71 1:positive 2:negative   +   0.636 (b,x,o,x,x,b,o,x,o)
    72 1:positive 1:positive       0.886 (o,o,x,x,x,b,x,o,b)
    73 1:positive 1:positive       0.816 (b,b,o,x,x,x,o,b,b)
    74 1:positive 1:positive       0.782 (x,b,o,o,b,o,x,x,x)
    75 1:positive 1:positive       0.767 (o,b,x,b,o,x,x,o,x)
    76 1:positive 1:positive       0.629 (b,x,x,o,b,x,o,o,x)
     1 2:negative 2:negative       0.828 (o,x,x,b,o,x,x,o,o)
     2 2:negative 1:positive   +   0.785 (o,o,o,x,x,b,x,b,b)
     3 2:negative 2:negative       0.888 (x,x,o,b,b,o,b,x,o)
     4 2:negative 1:positive   +   0.731 (o,o,o,x,b,x,x,o,x)
     5 2:negative 2:negative       0.901 (o,x,b,x,o,x,b,b,o)
     6 2:negative 2:negative       0.764 (x,o,b,x,o,x,b,o,b)
     7 2:negative 1:positive   +   0.584 (o,o,o,x,b,x,x,b,b)
     8 2:negative 1:positive   +   0.772 (o,o,b,o,x,x,o,x,x)
     9 2:negative 2:negative       0.828 (o,x,b,b,o,x,x,b,o)
    10 2:negative 2:negative       0.818 (b,x,o,b,o,x,o,b,x)
    11 2:negative 2:negative       0.873 (x,b,o,x,o,b,o,x,b)
    12 2:negative 2:negative       0.957 (x,x,o,b,o,o,o,x,x)
    13 2:negative 2:negative       0.961 (b,x,o,x,o,x,o,x,o)
    14 2:negative 2:negative       0.77 (x,x,b,x,x,o,o,o,o)
    15 2:negative 1:positive   +   0.565 (x,x,o,o,x,x,x,o,o)
    16 2:negative 1:positive   +   0.84 (o,b,b,o,x,x,o,x,b)
    17 2:negative 2:negative       0.616 (o,b,x,b,o,b,x,x,o)
    18 2:negative 2:negative       0.895 (x,x,o,o,o,o,x,x,b)
    19 2:negative 1:positive   +   0.65 (x,b,x,b,x,b,o,o,o)
    20 2:negative 1:positive   +   0.565 (b,x,b,o,o,o,x,b,x)
    21 2:negative 2:negative       0.601 (b,b,o,b,o,x,o,x,x)
    22 2:negative 2:negative       0.781 (x,b,o,b,o,b,o,x,x)
    23 2:negative 1:positive   +   0.788 (o,o,o,b,x,x,b,b,x)
    24 2:negative 1:positive   +   0.595 (b,x,b,b,x,x,o,o,o)
    25 2:negative 2:negative       0.764 (x,o,x,x,o,b,b,o,b)
    26 2:negative 2:negative       0.781 (x,b,o,x,o,b,o,b,x)
    27 2:negative 2:negative       0.744 (b,b,o,x,o,x,o,x,b)
    28 2:negative 1:positive   +   0.532 (x,o,x,o,o,b,x,o,x)
    29 2:negative 2:negative       0.769 (o,b,x,x,o,o,x,x,o)
    30 2:negative 1:positive   +   0.84 (o,b,x,o,x,x,o,b,b)
    31 2:negative 1:positive   +   0.816 (b,b,o,x,x,o,x,b,o)
    32 2:negative 2:negative       0.914 (o,x,o,x,o,x,o,b,x)
    33 2:negative 2:negative       0.914 (x,x,o,o,o,x,o,b,x)
    34 1:positive 1:positive       0.84 (o,b,b,x,x,x,o,b,b)
    35 1:positive 1:positive       0.586 (b,o,x,o,o,x,b,x,x)
    36 1:positive 1:positive       0.621 (x,b,b,x,o,o,x,o,x)
    37 1:positive 1:positive       0.642 (o,x,o,b,x,o,b,x,x)
    38 1:positive 1:positive       0.961 (o,b,b,o,x,o,x,x,x)
    39 1:positive 1:positive       0.757 (o,o,x,o,x,x,x,x,o)
    40 1:positive 2:negative   +   0.652 (b,x,x,o,o,x,o,b,x)
    41 1:positive 1:positive       0.772 (x,o,b,x,b,b,x,o,b)
    42 1:positive 1:positive       0.757 (o,o,x,b,x,b,x,x,o)
    43 1:positive 2:negative   +   0.597 (x,b,x,b,o,x,o,o,x)
    44 1:positive 1:positive       0.638 (o,x,o,b,x,o,x,x,b)
    45 1:positive 1:positive       0.82 (b,x,o,o,x,b,b,x,b)
    46 1:positive 2:negative   +   0.65 (b,x,o,b,o,o,x,x,x)
    47 1:positive 1:positive       0.889 (b,o,x,o,x,x,o,b,x)
    48 1:positive 2:negative   +   0.769 (x,b,x,x,o,o,x,b,o)
    49 1:positive 1:positive       0.881 (b,o,x,x,x,b,x,o,o)
    50 1:positive 1:positive       0.621 (o,b,x,b,o,o,x,x,x)
    51 1:positive 2:negative   +   0.769 (x,b,b,x,o,o,x,x,o)
    52 1:positive 1:positive       0.615 (b,b,x,b,o,x,o,b,x)
    53 1:positive 1:positive       0.83 (x,b,b,x,b,o,x,o,b)
    54 1:positive 1:positive       0.963 (o,b,x,o,x,b,x,b,b)
    55 1:positive 1:positive       0.903 (o,b,x,b,x,b,x,b,o)
    56 1:positive 1:positive       0.691 (o,x,b,b,x,o,b,x,b)
    57 1:positive 1:positive       0.528 (b,x,o,o,o,b,x,x,x)
    58 1:positive 1:positive       0.622 (o,x,b,b,x,b,b,x,o)
    59 1:positive 1:positive       0.616 (b,x,o,b,x,o,o,x,x)
    60 1:positive 1:positive       0.829 (b,b,o,x,x,x,b,b,o)
    61 1:positive 1:positive       0.83 (x,b,x,o,x,o,o,b,x)
    62 1:positive 1:positive       0.618 (b,b,o,x,o,o,x,x,x)
    63 1:positive 1:positive       0.831 (o,b,x,x,x,x,b,o,o)
    64 1:positive 1:positive       0.757 (o,x,x,b,x,b,x,o,o)
    65 1:positive 2:negative   +   0.543 (o,x,x,b,x,o,o,x,b)
    66 1:positive 1:positive       0.81 (b,x,o,o,x,o,b,x,x)
    67 1:positive 1:positive       0.565 (b,o,x,b,o,o,x,x,x)
    68 1:positive 1:positive       0.775 (o,o,x,o,b,x,b,x,x)
    69 1:positive 1:positive       0.83 (x,b,b,o,x,o,o,x,x)
    70 1:positive 1:positive       0.955 (x,b,o,o,x,b,x,o,x)
    71 1:positive 1:positive       0.83 (x,b,b,b,x,o,o,b,x)
    72 1:positive 1:positive       0.567 (o,x,o,b,b,o,x,x,x)
    73 1:positive 1:positive       0.666 (b,x,x,o,x,o,o,x,b)
    74 1:positive 1:positive       0.96 (b,b,o,o,x,o,x,x,x)
    75 1:positive 1:positive       0.805 (b,x,b,o,x,b,o,x,b)
    76 1:positive 2:negative   +   0.595 (x,b,o,x,o,o,x,b,x)
     1 2:negative 1:positive   +   0.641 (x,b,b,o,o,o,x,b,x)
     2 2:negative 2:negative       0.891 (x,x,o,o,o,o,b,x,x)
     3 2:negative 1:positive   +   0.666 (x,b,o,x,x,o,b,b,o)
     4 2:negative 1:positive   +   0.711 (o,o,o,x,b,b,x,b,x)
     5 2:negative 2:negative       0.963 (x,x,o,b,o,x,o,b,b)
     6 2:negative 2:negative       0.926 (o,x,o,x,o,b,o,x,x)
     7 2:negative 2:negative       0.83 (o,o,x,b,o,x,x,x,o)
     8 2:negative 1:positive   +   0.749 (b,o,o,x,x,o,x,x,o)
     9 2:negative 1:positive   +   0.623 (b,x,o,x,x,o,b,b,o)
    10 2:negative 1:positive   +   0.602 (o,o,o,o,x,x,x,x,b)
    11 2:negative 2:negative       0.798 (o,b,o,x,o,x,x,x,o)
    12 2:negative 1:positive   +   0.827 (o,b,b,o,x,b,o,x,x)
    13 2:negative 1:positive   +   0.666 (x,b,o,b,x,o,b,x,o)
    14 2:negative 2:negative       0.818 (o,x,x,x,b,x,o,o,o)
    15 2:negative 2:negative       0.737 (o,b,b,x,o,x,b,x,o)
    16 2:negative 2:negative       0.87 (x,x,b,o,o,o,b,x,b)
    17 2:negative 2:negative       0.6 (b,x,o,x,b,o,b,x,o)
    18 2:negative 2:negative       0.904 (o,x,x,o,o,x,x,b,o)
    19 2:negative 2:negative       0.645 (x,x,b,b,x,b,o,o,o)
    20 2:negative 2:negative       0.827 (b,o,o,x,o,x,o,x,x)
    21 2:negative 2:negative       0.827 (b,x,o,x,o,o,o,x,x)
    22 2:negative 1:positive   +   0.839 (b,b,o,x,x,o,b,x,o)
    23 2:negative 2:negative       0.634 (b,x,b,x,b,x,o,o,o)
    24 2:negative 2:negative       0.504 (x,b,x,o,o,o,b,b,x)
    25 2:negative 2:negative       0.526 (o,b,x,o,x,x,o,x,o)
    26 2:negative 2:negative       0.701 (o,o,o,x,o,x,x,b,x)
    27 2:negative 1:positive   +   0.593 (x,b,o,b,b,o,x,x,o)
    28 2:negative 1:positive   +   0.547 (b,x,o,b,b,o,x,x,o)
    29 2:negative 1:positive   +   0.658 (o,b,x,o,b,b,o,x,x)
    30 2:negative 1:positive   +   0.617 (o,o,o,b,x,x,b,x,b)
    31 2:negative 1:positive   +   0.739 (b,o,x,x,o,o,x,o,x)
    32 2:negative 2:negative       0.926 (o,x,o,x,o,x,x,b,o)
    33 2:negative 2:negative       0.83 (o,x,x,x,o,o,o,x,x)
    34 1:positive 1:positive       0.573 (x,b,o,x,o,b,x,o,x)
    35 1:positive 1:positive       0.658 (x,b,x,o,b,x,o,o,x)
    36 1:positive 1:positive       0.745 (o,o,x,b,x,x,x,b,o)
    37 1:positive 1:positive       0.686 (b,x,b,o,x,b,b,x,o)
    38 1:positive 1:positive       0.902 (x,b,o,x,x,o,x,o,b)
    39 1:positive 1:positive       0.804 (o,o,x,x,x,x,b,o,b)
    40 1:positive 1:positive       0.846 (x,b,o,o,x,x,b,o,x)
    41 1:positive 1:positive       0.902 (x,b,x,b,x,o,o,o,x)
    42 1:positive 1:positive       0.926 (b,b,x,o,x,x,o,o,x)
    43 1:positive 1:positive       0.801 (o,b,o,o,b,x,x,x,x)
    44 1:positive 1:positive       0.621 (x,b,b,x,o,b,x,o,b)
    45 1:positive 1:positive       0.623 (b,x,o,x,x,x,b,o,o)
    46 1:positive 1:positive       0.582 (o,x,b,b,x,b,o,x,b)
    47 1:positive 1:positive       0.744 (x,o,b,b,x,x,o,o,x)
    48 1:positive 1:positive       0.54 (o,x,x,b,b,x,o,o,x)
    49 1:positive 2:negative   +   0.641 (b,x,o,x,x,x,o,b,o)
