

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,alm,mit,erl,pox,vac,nuc)
   107      4:ME3      4:ME3       0.883 (SC62_YEAST,0.54,0.44,0.35,0.19,0.5,0,0.51,0.27)
   108      4:ME3      1:CYT   +   0.826 (YJ43_YEAST,0.4,0.51,0.42,0.13,0.5,0,0.45,0.25)
   109      4:ME3      4:ME3       0.994 (YBY2_YEAST,0.22,0.53,0.36,0.22,0.5,0,0.54,0.31)
   110      4:ME3      4:ME3       0.547 (YHK8_YEAST,0.49,0.56,0.37,0.2,0.5,0,0.53,0.22)
   111      9:POX      1:CYT   +   0.822 (CAO_YEAST,0.46,0.37,0.48,0.36,0.5,0,0.48,0.22)
   112      9:POX      1:CYT   +   0.581 (ACEA_YEAST,0.52,0.5,0.53,0.1,0.5,0,0.48,0.22)
   113      5:ME2      2:NUC   +   0.659 (YCK1_YEAST,0.71,0.51,0.49,0.23,0.5,0,0.3,0.32)
   114      5:ME2      3:MIT   +   0.913 (KRE2_YEAST,0.89,0.82,0.6,0.49,0.5,0,0.55,0.22)
   115      5:ME2      2:NUC   +   0.817 (YUR1_YEAST,0.81,0.62,0.43,0.17,0.5,0,0.53,0.22)
   116      5:ME2      6:ME1   +   1 (YINO_YEAST,0.76,0.67,0.37,0.22,0.5,0,0.54,0.22)
   117      8:VAC      6:ME1   +   1 (VM11_YEAST,0.68,0.68,0.35,0.16,0.5,0,0.62,0.22)
   118      8:VAC      1:CYT   +   0.938 (VATC_YEAST,0.64,0.61,0.56,0.15,0.5,0,0.54,0.22)
   119      8:VAC      3:MIT   +   0.977 (PRTB_YEAST,0.75,0.69,0.48,0.13,0.5,0,0.57,0.4)
     1      2:NUC      2:NUC       0.566 (NHPA_YEAST,0.39,0.34,0.68,0.3,0.5,0,0.5,0.29)
     2      2:NUC      2:NUC       0.55 (SUG1_YEAST,0.58,0.37,0.58,0.16,0.5,0,0.51,0.22)
     3      2:NUC      2:NUC       0.553 (RAP1_YEAST,0.54,0.53,0.53,0.17,0.5,0,0.51,0.39)
     4      2:NUC      2:NUC       0.866 (RPC9_YEAST,0.31,0.6,0.65,0.18,0.5,0,0.46,0.22)
     5      2:NUC      4:ME3   +   0.613 (RA14_YEAST,0.39,0.16,0.59,0.08,0.5,0,0.51,0.27)
     6      2:NUC      1:CYT   +   0.611 (DPOD_YEAST,0.25,0.39,0.5,0.23,0.5,0,0.5,0.28)
     7      2:NUC      1:CYT   +   0.501 (RCC_YEAST,0.31,0.5,0.54,0.32,0.5,0,0.53,0.31)
     8      2:NUC      2:NUC       0.999 (TF3B_YEAST,0.49,0.51,0.52,0.13,0.5,0,0.51,0.33)
     9      2:NUC      2:NUC       0.948 (HEX2_YEAST,0.44,0.42,0.62,0.14,0.5,0,0.55,0.37)
    10      2:NUC      1:CYT   +   0.892 (RA23_YEAST,0.43,0.48,0.53,0.18,0.5,0,0.46,0.22)
    11      2:NUC      3:MIT   +   0.96 (GCN4_YEAST,0.56,0.54,0.59,0.14,0.5,0,0.52,0.27)
    12      2:NUC      3:MIT   +   0.992 (RN12_YEAST,0.56,0.51,0.32,0.49,0.5,0,0.48,0.22)
    13      2:NUC      2:NUC       0.557 (SIR2_YEAST,0.42,0.28,0.49,0.22,0.5,0,0.55,0.34)
    14      2:NUC      3:MIT   +   0.895 (MAT1_YEAST,0.37,0.22,0.64,0.35,0.5,0,0.47,0.22)
    15      2:NUC      3:MIT   +   0.708 (PES4_YEAST,0.67,0.46,0.58,0.3,0.5,0,0.57,0.27)
    16      2:NUC      3:MIT   +   0.493 (SRS2_YEAST,0.51,0.61,0.5,0.23,0.5,0,0.52,0.61)
    17      2:NUC      2:NUC       0.649 (SPK1_YEAST,0.44,0.43,0.46,0.28,0.5,0,0.45,0.29)
    18      2:NUC      2:NUC       0.578 (YCW2_YEAST,0.54,0.54,0.56,0.18,0.5,0,0.46,0.29)
    19      2:NUC      5:ME2   +   1 (HAP4_YEAST,0.56,0.57,0.63,0.39,1,0,0.59,0.4)
    20      2:NUC      2:NUC       0.833 (NHPB_YEAST,0.11,0.41,0.67,0.13,0.5,0,0.45,0.29)
    21      2:NUC      2:NUC       0.96 (DPOA_YEAST,0.36,0.39,0.54,0.16,0.5,0,0.5,0.28)
    22      2:NUC      1:CYT   +   0.823 (UGA3_YEAST,0.49,0.36,0.47,0.28,0.5,0,0.56,0.54)
    23      2:NUC      2:NUC       0.983 (MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0,0.5,0.28)
    24      2:NUC      1:CYT   +   0.624 (HIR2_YEAST,0.61,0.57,0.45,0.21,0.5,0,0.5,0.42)
    25      2:NUC      2:NUC       0.803 (SON1_YEAST,0.4,0.39,0.6,0.23,0.5,0,0.52,0.31)
    26      2:NUC      2:NUC       0.525 (MBP1_YEAST,0.5,0.49,0.52,0.2,0.5,0,0.43,0.52)
    27      2:NUC      2:NUC       0.964 (YAB9_YEAST,0.4,0.45,0.45,0.15,0.5,0,0.53,0.48)
    28      2:NUC      1:CYT   +   0.694 (XRS2_YEAST,0.64,0.56,0.52,0.17,0.5,0,0.54,0.47)
    29      2:NUC      3:MIT   +   1 (NDC1_YEAST,0.47,0.59,0.37,0.31,0.5,0,0.51,0.36)
    30      2:NUC      2:NUC       0.902 (RPA2_YEAST,0.35,0.41,0.53,0.27,0.5,0,0.47,0.29)
    31      2:NUC      3:MIT   +   0.968 (N100_YEAST,0.9,0.54,0.59,0.2,0.5,0,0.48,0.22)
    32      2:NUC      1:CYT   +   0.575 (SP11_YEAST,0.46,0.5,0.5,0.28,0.5,0,0.5,0.37)
    33      2:NUC      1:CYT   +   0.479 (SIN4_YEAST,0.45,0.65,0.51,0.17,0.5,0,0.49,0.22)
    34      2:NUC      2:NUC       0.637 (NI96_YEAST,0.4,0.53,0.44,0.18,0.5,0,0.54,0.31)
    35      2:NUC      2:NUC       0.981 (RAD5_YEAST,0.36,0.48,0.5,0.13,0.5,0,0.49,0.6)
    36      2:NUC      2:NUC       0.9 (MSN2_YEAST,0.53,0.4,0.57,0.12,0.5,0,0.53,0.32)
    37      3:MIT      1:CYT   +   0.688 (YMC1_YEAST,0.39,0.58,0.47,0.18,0.5,0,0.48,0.22)
    38      3:MIT      3:MIT       0.968 (DHSB_YEAST,0.53,0.51,0.55,0.57,0.5,0,0.46,0.22)
    39      3:MIT      3:MIT       1 (IDHP_YEAST,0.51,0.52,0.48,0.5,0.5,0,0.51,0.22)
    40      3:MIT      1:CYT   +   0.469 (RT17_YEAST,0.41,0.54,0.58,0.2,0.5,0,0.52,0.22)
    41      3:MIT      4:ME3   +   0.949 (SMF2_YEAST,0.23,0.37,0.32,0.13,0.5,0,0.53,0.22)
    42      3:MIT      6:ME1   +   1 (OM70_YEAST,0.81,0.65,0.52,0.41,0.5,0,0.57,0.26)
    43      3:MIT      1:CYT   +   0.459 (MRS3_YEAST,0.54,0.64,0.5,0.13,0.5,0,0.49,0.22)
    44      3:MIT      1:CYT   +   0.602 (STF2_YEAST,0.28,0.18,0.72,0.26,0.5,0,0.49,0.25)
    45      3:MIT      3:MIT       0.578 (GPDM_YEAST,0.69,0.5,0.49,0.42,0.5,0,0.49,0.22)
    46      3:MIT      1:CYT   +   0.975 (YMC2_YEAST,0.38,0.47,0.47,0.18,0.5,0,0.44,0.26)
    47      3:MIT      2:NUC   +   0.982 (PT11_YEAST,0.5,0.32,0.49,0.49,0.5,0,0.48,0.32)
    48      3:MIT      1:CYT   +   0.94 (RM49_YEAST,0.5,0.46,0.64,0.36,0.5,0,0.49,0.22)
    49      3:MIT      3:MIT       0.994 (RT04_YEAST,0.42,0.53,0.53,0.64,0.5,0,0.47,0.22)
    50      3:MIT      2:NUC   +   0.906 (RT01_YEAST,0.36,0.4,0.53,0.48,0.5,0,0.48,0.22)
    51      3:MIT      3:MIT       0.95 (UCR2_YEAST,0.49,0.45,0.54,0.4,0.5,0,0.55,0.22)
    52      3:MIT      1:CYT   +   0.931 (UCRX_YEAST,0.5,0.62,0.52,0.3,0.5,0,0.56,0.22)
    53      3:MIT      2:NUC   +   0.601 (SHM1_YEAST,0.56,0.59,0.45,0.15,0.5,0,0.54,0.22)
    54      1:CYT      2:NUC   +   0.932 (R16B_YEAST,0.36,0.56,0.52,0.18,0.5,0,0.45,0.16)
    55      1:CYT      1:CYT       0.867 (RLA0_YEAST,0.48,0.55,0.48,0.1,0.5,0,0.55,0.22)
    56      1:CYT      3:MIT   +   0.998 (SEC2_YEAST,0.58,0.56,0.46,0.14,0.5,0,0.51,0.22)
    57      1:CYT      2:NUC   +   0.701 (INO1_YEAST,0.51,0.34,0.43,0.18,0.5,0,0.48,0.25)
    58      1:CYT      1:CYT       0.912 (SDHL_YEAST,0.46,0.42,0.51,0.16,0.5,0,0.56,0.22)
    59      1:CYT      3:MIT   +   0.684 (AP17_YEAST,0.53,0.52,0.49,0.27,0.5,0,0.51,0.22)
    60      1:CYT      1:CYT       0.947 (RS28_YEAST,0.38,0.5,0.52,0.44,0.5,0,0.54,0.11)
    61      1:CYT      1:CYT       0.778 (RL2_YEAST,0.63,0.64,0.45,0.26,0.5,0,0.43,0.22)
    62      1:CYT      1:CYT       0.837 (VP16_YEAST,0.41,0.48,0.51,0.2,0.5,0,0.51,0.22)
    63      1:CYT      2:NUC   +   0.534 (PROF_YEAST,0.47,0.49,0.6,0.15,0.5,0,0.38,0.22)
    64      1:CYT      2:NUC   +   0.464 (UBP3_YEAST,0.27,0.43,0.5,0.13,0.5,0,0.54,0.31)
    65      1:CYT      1:CYT       0.574 (SYMC_YEAST,0.57,0.44,0.42,0.2,0.5,0,0.54,0.22)
    66      1:CYT      1:CYT       0.964 (KPYK_YEAST,0.61,0.55,0.51,0.26,0.5,0,0.52,0.22)
    67      1:CYT      1:CYT       0.666 (LYS1_YEAST,0.5,0.45,0.48,0.17,0.5,0,0.5,0.26)
    68      1:CYT      2:NUC   +   0.499 (UMPK_YEAST,0.47,0.59,0.56,0.09,0.5,0,0.5,0.22)
    69      1:CYT      1:CYT       0.771 (TCPZ_YEAST,0.49,0.48,0.52,0.24,0.5,0,0.5,0.22)
    70      1:CYT      3:MIT   +   0.622 (RL27_YEAST,0.58,0.45,0.55,0.27,0.5,0,0.48,0.11)
    71      1:CYT      2:NUC   +   0.722 (SUP2_YEAST,0.23,0.29,0.46,0,0.5,0,0.43,0.31)
    72      1:CYT      4:ME3   +   0.986 (RS4_YEAST,0.25,0.48,0.45,0.32,0.5,0,0.4,0.22)
    73      1:CYT      4:ME3   +   0.54 (SUI1_YEAST,0.39,0.39,0.65,0.16,0.5,0,0.45,0.22)
    74      1:CYT      1:CYT       0.509 (PRCE_YEAST,0.46,0.62,0.54,0.25,0.5,0,0.46,0.22)
    75      1:CYT      1:CYT       0.989 (RL1A_YEAST,0.61,0.48,0.56,0.19,0.5,0,0.53,0.31)
    76      1:CYT      3:MIT   +   0.743 (VP15_YEAST,0.65,0.63,0.47,0.22,0.5,0,0.52,0.27)
    77      1:CYT      1:CYT       0.974 (SIC1_YEAST,0.42,0.43,0.67,0.7,0.5,0,0.42,0.25)
    78      1:CYT      1:CYT       0.749 (UBA1_YEAST,0.52,0.51,0.48,0.12,0.5,0,0.54,0.31)
    79      1:CYT      1:CYT       0.819 (SC15_YEAST,0.55,0.55,0.52,0.13,0.5,0,0.53,0.25)
    80      1:CYT      2:NUC   +   0.964 (UGS1_YEAST,0.58,0.45,0.48,0.24,0.5,0,0.52,0.37)
    81      1:CYT      1:CYT       0.974 (RL12_YEAST,0.59,0.51,0.48,0.12,0.5,0,0.54,0.31)
    82      1:CYT      1:CYT       0.798 (MTD1_YEAST,0.57,0.4,0.48,0.24,0.5,0,0.55,0.22)
    83      1:CYT      2:NUC   +   0.961 (E2BE_YEAST,0.32,0.38,0.52,0.2,0.5,0,0.52,0.28)
    84      1:CYT      1:CYT       0.82 (TYR1_YEAST,0.66,0.54,0.53,0.17,0.5,0,0.54,0.22)
    85      1:CYT      3:MIT   +   0.66 (R26B_YEAST,0.46,0.54,0.59,0.41,0.5,0,0.53,0.21)
    86      1:CYT      1:CYT       0.898 (PP12_YEAST,0.49,0.47,0.52,0.16,0.5,0,0.53,0.28)
    87      1:CYT      3:MIT   +   0.52 (CNA1_YEAST,0.55,0.59,0.52,0.1,0.5,0,0.53,0.22)
    88      1:CYT      1:CYT       0.615 (EF3_YEAST,0.48,0.58,0.47,0.17,0.5,0,0.53,0.74)
    89      1:CYT      1:CYT       0.778 (RL2_YEAST,0.63,0.64,0.45,0.26,0.5,0,0.43,0.22)
    90      1:CYT      1:CYT       0.585 (RS41_YEAST,0.32,0.44,0.54,0.21,0.5,0,0.4,0.19)
    91      6:ME1      6:ME1       1 (YKE6_YEAST,0.77,0.74,0.37,0.29,0.5,0,0.45,0.22)
    92      6:ME1      6:ME1       1 (SRP2_YEAST,0.8,0.83,0.43,0.24,0.5,0,0.54,0.22)
    93      6:ME1      6:ME1       0.992 (SED1_YEAST,0.77,0.82,0.4,0.36,0.5,0,0.38,0.22)
    94      6:ME1      5:ME2   +   1 (MSB2_YEAST,0.76,0.76,0.35,0.27,0.5,0,0.44,0.22)
    95      7:EXC      7:EXC       1 (PPAB_YEAST,0.74,0.72,0.5,0.28,0.5,0,0.5,0.27)
    96      7:EXC      2:NUC   +   0.541 (KRE9_YEAST,0.87,0.83,0.57,0.36,0.5,0,0.36,0.22)
    97      7:EXC      5:ME2   +   1 (FLO1_YEAST,0.81,0.82,0.41,0.36,0.5,0,0.39,0.22)
    98      4:ME3      3:MIT   +   0.832 (STE6_YEAST,0.46,0.61,0.38,0.35,0.5,0,0.49,0.22)
    99      4:ME3      8:VAC   +   1 (ITR1_YEAST,0.49,0.41,0.32,0.21,0.5,0,0.5,0.32)
   100      4:ME3      2:NUC   +   0.965 (YHF0_YEAST,0.5,0.63,0.45,0.13,0.5,0,0.45,0.32)
   101      4:ME3      4:ME3       0.987 (HXT3_YEAST,0.34,0.4,0.3,0.23,0.5,0,0.51,0.22)
   102      4:ME3      2:NUC   +   0.535 (YEA6_YEAST,0.42,0.71,0.45,0.15,0.5,0,0.48,0.22)
   103      4:ME3      2:NUC   +   0.948 (YCS7_YEAST,0.31,0.3,0.34,0.19,0.5,0,0.55,0.3)
   104      4:ME3      4:ME3       0.942 (SST2_YEAST,0.46,0.41,0.43,0.18,0.5,0,0.54,0.22)
   105      4:ME3      4:ME3       0.999 (ST14_YEAST,0.4,0.65,0.38,0.17,0.5,0,0.57,0.22)
   106      4:ME3      2:NUC   +   0.416 (RER1_YEAST,0.45,0.66,0.39,0.11,0.5,0,0.54,0.22)
   107      4:ME3      3:MIT   +   0.961 (RSD1_YEAST,0.57,0.5,0.4,0.08,0.5,0,0.47,0.22)
   108      4:ME3      4:ME3       1 (PTR2_YEAST,0.36,0.33,0.38,0.15,0.5,0,0.55,0.36)
   109      4:ME3      2:NUC   +   0.962 (SLN1_YEAST,0.52,0.65,0.36,0.37,0.5,0,0.52,0.34)
   110      4:ME3      2:NUC   +   0.959 (USO1_YEAST,0.5,0.47,0.45,0.14,0.5,0,0.53,0.32)
   111      9:POX      1:CYT   +   0.83 (PAS7_YEAST,0.5,0.51,0.57,0.27,0.5,0,0.48,0.22)
   112      9:POX      3:MIT   +   1 (MASY_YEAST,0.42,0.5,0.53,0.22,0.5,0.83,0.5,0.22)
   113      5:ME2      2:NUC   +   0.837 (YHN8_YEAST,0.86,0.78,0.34,0.15,0.5,0,0.53,0.22)
   114      5:ME2      3:MIT   +   1 (YCR3_YEAST,0.69,0.57,0.39,0.19,0.5,0,0.48,0.39)
   115      5:ME2      2:NUC   +   0.939 (PMP2_YEAST,0.97,0.71,0.29,0.42,0.5,0,0.35,0.22)
   116      5:ME2      3:MIT   +   0.709 (MNS1_YEAST,0.89,0.52,0.41,0.26,0.5,0,0.52,0.31)
   117      8:VAC      8:VAC       1 (VM12_YEAST,0.4,0.36,0.32,0.16,0.5,0,0.51,0.27)
   118      8:VAC      1:CYT   +   0.812 (PEP3_YEAST,0.51,0.46,0.49,0.21,0.5,0,0.55,0.22)
   119      8:VAC      2:NUC   +   0.525 (VATA_YEAST,0.36,0.51,0.51,0.17,0.5,0,0.52,0.22)
     1      2:NUC      2:NUC       0.607 (UNG_YEAST,0.53,0.44,0.54,0.52,0.5,0,0.49,0.38)
     2      2:NUC      2:NUC       0.656 (MTA1_YEAST,0.49,0.37,0.59,0.17,0.5,0,0.51,0.22)
     3      2:NUC      1:CYT   +   0.628 (R114_YEAST,0.44,0.45,0.53,0.19,0.5,0,0.41,0.28)
     4      2:NUC      4:ME3   +   0.831 (RPA3_YEAST,0.57,0.37,0.43,0.27,0.5,0,0.53,0.28)
     5      2:NUC      1:CYT   +   0.804 (YHP0_YEAST,0.38,0.44,0.57,0.14,0.5,0,0.53,0.52)
     6      2:NUC      4:ME3   +   0.988 (MSH2_YEAST,0.32,0.45,0.44,0.2,0.5,0,0.55,0.33)
     7      2:NUC      2:NUC       0.956 (LY14_YEAST,0.44,0.53,0.43,0.17,0.5,0,0.54,0.75)
     8      2:NUC      1:CYT   +   0.931 (S160_YEAST,0.46,0.49,0.55,0.18,0.5,0,0.56,0.22)
     9      2:NUC      2:NUC       0.714 (PR16_YEAST,0.56,0.59,0.54,0.18,0.5,0,0.48,0.46)
    10      2:NUC      2:NUC       0.986 (RNC1_YEAST,0.47,0.47,0.5,0.15,0.5,0,0.5,0.48)
    11      2:NUC      1:CYT   +   0.799 (PYR1_YEAST,0.56,0.49,0.47,0.13,0.5,0,0.52,0.22)
    12      2:NUC      2:NUC       0.969 (RAD4_YEAST,0.33,0.28,0.52,0.15,0.5,0,0.51,0.86)
    13      2:NUC      2:NUC       0.971 (NOP2_YEAST,0.43,0.28,0.53,0.34,0.5,0,0.55,0.57)
    14      2:NUC      2:NUC       0.969 (SKO1_YEAST,0.47,0.55,0.57,0.17,0.5,0,0.52,0.66)
    15      2:NUC      1:CYT   +   0.849 (NAB2_YEAST,0.56,0.63,0.52,0.2,0.5,0,0.34,0.26)
    16      2:NUC      2:NUC       0.966 (UME6_YEAST,0.6,0.57,0.63,0.22,0.5,0,0.5,0.49)
    17      2:NUC      2:NUC       0.49 (RFA1_YEAST,0.35,0.42,0.56,0.28,0.5,0,0.47,0.22)
    18      2:NUC      2:NUC       0.987 (RPB5_YEAST,0.4,0.3,0.57,0.13,0.5,0,0.46,0.22)
    19      2:NUC      2:NUC       0.704 (H2A2_YEAST,0.44,0.53,0.52,0.37,0.5,0,0.5,0.22)
    20      2:NUC      2:NUC       0.887 (ADA3_YEAST,0.33,0.46,0.53,0.29,0.5,0,0.5,0.55)
    21      2:NUC      1:CYT   +   0.49 (RFA2_YEAST,0.46,0.41,0.58,0.1,0.5,0,0.48,0.22)
    22      2:NUC      2:NUC       0.887 (RGM1_YEAST,0.42,0.21,0.59,0.3,0.5,0,0.47,0.27)
    23      2:NUC      1:CYT   +   0.566 (RPCX_YEAST,0.5,0.56,0.63,0.25,0.5,0,0.42,0.22)
    24      2:NUC      2:NUC       0.443 (RPB1_YEAST,0.44,0.62,0.53,0.27,0.5,0,0.49,0.22)
    25      2:NUC      1:CYT   +   0.928 (R104_YEAST,0.44,0.33,0.55,0.16,0.5,0,0.49,0.22)
    26      2:NUC      2:NUC       0.986 (PR08_YEAST,0.4,0.28,0.48,0.06,0.5,0,0.49,0.42)
    27      2:NUC      2:NUC       0.942 (PR02_YEAST,0.3,0.3,0.46,0.32,0.5,0,0.45,0.22)
    28      2:NUC      1:CYT   +   0.778 (RU1A_YEAST,0.47,0.46,0.55,0.28,0.5,0,0.44,0.46)
    29      2:NUC      1:CYT   +   0.465 (SMI1_YEAST,0.43,0.32,0.56,0.27,0.5,0,0.47,0.27)
    30      2:NUC      2:NUC       0.988 (DPO2_YEAST,0.54,0.53,0.48,0.14,0.5,0,0.49,0.33)
    31      2:NUC      2:NUC       0.913 (RAD1_YEAST,0.24,0.41,0.47,0.16,0.5,0,0.51,0.38)
    32      2:NUC      2:NUC       0.85 (SRB4_YEAST,0.49,0.6,0.42,0.18,0.5,0,0.58,0.28)
    33      2:NUC      2:NUC       0.572 (RA57_YEAST,0.41,0.52,0.56,0.26,0.5,0,0.48,0.32)
    34      2:NUC      1:CYT   +   0.995 (YKD8_YEAST,0.38,0.4,0.39,0.19,0.5,0,0.46,0.62)
    35      2:NUC      2:NUC       1 (REB1_YEAST,0.58,0.31,0.6,0.12,0.5,0,0.47,0.33)
    36      2:NUC      2:NUC       0.953 (SIN3_YEAST,0.4,0.49,0.53,0.23,0.5,0,0.44,0.26)
    37      3:MIT      2:NUC   +   0.642 (UCRI_YEAST,0.47,0.53,0.48,0.51,0.5,0,0.54,0.22)
    38      3:MIT      3:MIT       0.99 (RM08_YEAST,0.55,0.5,0.6,0.31,0.5,0,0.46,0.27)
    39      3:MIT      3:MIT       0.543 (ILVB_YEAST,0.45,0.59,0.53,0.74,0.5,0,0.47,0.25)
    40      3:MIT      7:EXC   +   1 (DHSA_YEAST,0.56,0.65,0.49,0.56,0.5,0,0.49,0.22)
    41      3:MIT      1:CYT   +   0.795 (UCRQ_YEAST,0.57,0.6,0.54,0.17,0.5,0,0.52,0.22)
    42      3:MIT      2:NUC   +   0.748 (RM27_YEAST,0.44,0.44,0.67,0.35,0.5,0,0.48,0.26)
    43      3:MIT      3:MIT       0.927 (RT09_YEAST,0.58,0.53,0.5,0.53,0.5,0,0.47,0.31)
    44      3:MIT      2:NUC   +   0.886 (UCR6_YEAST,0.64,0.53,0.59,0.14,0.5,0,0.53,0.22)
    45      3:MIT      1:CYT   +   0.923 (YIA6_YEAST,0.51,0.59,0.46,0.13,0.5,0,0.48,0.22)
    46      3:MIT      4:ME3   +   0.935 (SMF1_YEAST,0.57,0.51,0.34,0.13,0.5,0,0.53,0.27)
    47      3:MIT      3:MIT       0.506 (MPP2_YEAST,0.5,0.62,0.54,0.66,0.5,0,0.49,0.22)
    48      3:MIT      2:NUC   +   0.722 (YM38_YEAST,0.39,0.28,0.54,0.14,0.5,0,0.59,0.22)
    49      3:MIT      3:MIT       0.938 (RPOM_YEAST,0.47,0.56,0.46,0.5,0.5,0,0.51,0.22)
    50      3:MIT      3:MIT       0.988 (RF1M_YEAST,0.6,0.62,0.54,0.4,0.5,0,0.5,0.22)
    51      3:MIT      3:MIT       0.548 (TRAM_YEAST,0.47,0.52,0.54,0.25,0.5,0,0.54,0.29)
    52      3:MIT      1:CYT   +   0.979 (MTF1_YEAST,0.46,0.46,0.56,0.12,0.5,0,0.55,0.22)
    53      3:MIT      2:NUC   +   0.79 (PORI_YEAST,0.41,0.49,0.58,0.22,0.5,0,0.52,0.22)
    54      1:CYT      1:CYT       0.752 (PRT1_YEAST,0.59,0.46,0.48,0.46,0.5,0,0.49,0.22)
    55      1:CYT      3:MIT   +   0.502 (NIN1_YEAST,0.47,0.5,0.55,0.19,0.5,0,0.62,0.22)
    56      1:CYT      2:NUC   +   0.982 (RS15_YEAST,0.48,0.41,0.52,0.33,0.5,0,0.51,0.26)
    57      1:CYT      2:NUC   +   0.625 (TPS2_YEAST,0.54,0.43,0.48,0.27,0.5,0,0.44,0.41)
    58      1:CYT      2:NUC   +   0.941 (PTP2_YEAST,0.45,0.27,0.5,0.33,0.5,0,0.53,0.26)
    59      1:CYT      2:NUC   +   0.883 (HAL1_YEAST,0.38,0.49,0.61,0.13,0.5,0,0.54,0.22)
    60      1:CYT      2:NUC   +   0.93 (SYFB_YEAST,0.47,0.47,0.58,0.16,0.5,0,0.49,0.28)
    61      1:CYT      2:NUC   +   0.925 (SR54_YEAST,0.5,0.52,0.51,0.22,0.5,0,0.46,0.37)
    62      1:CYT      1:CYT       0.965 (SEC6_YEAST,0.46,0.38,0.51,0.2,0.5,0,0.51,0.22)
    63      1:CYT      1:CYT       0.808 (IF4A_YEAST,0.38,0.42,0.5,0.19,0.5,0,0.44,0.22)
    64      1:CYT      1:CYT       0.808 (UBC5_YEAST,0.5,0.46,0.49,0.27,0.5,0,0.6,0.22)
    65      1:CYT      1:CYT       0.825 (RL9_YEAST,0.48,0.46,0.58,0.16,0.5,0,0.45,0.22)
    66      1:CYT      2:NUC   +   0.968 (UBR1_YEAST,0.42,0.46,0.44,0.17,0.5,0,0.51,0.42)
    67      1:CYT      2:NUC   +   0.443 (RL6_YEAST,0.54,0.44,0.55,0.48,0.5,0,0.47,0.22)
    68      1:CYT      1:CYT       0.875 (KAPC_YEAST,0.42,0.37,0.54,0.17,0.5,0,0.51,0.22)
    69      1:CYT      1:CYT       0.962 (PAN1_YEAST,0.69,0.39,0.52,0.12,0.5,0,0.38,0.35)
    70      1:CYT      2:NUC   +   0.623 (SC21_YEAST,0.44,0.71,0.5,0.21,0.5,0,0.54,0.27)
    71      1:CYT      1:CYT       0.686 (MET2_YEAST,0.4,0.47,0.48,0.18,0.5,0,0.46,0.22)
    72      1:CYT      2:NUC   +   0.581 (SYI_YEAST,0.5,0.46,0.52,0.16,0.5,0,0.52,0.26)
    73      1:CYT      3:MIT   +   0.933 (RS4E_YEAST,0.53,0.57,0.6,0.36,0.5,0,0.5,0.22)
    74      1:CYT      1:CYT       0.712 (PPX1_YEAST,0.51,0.48,0.46,0.29,0.5,0,0.54,0.22)
    75      1:CYT      2:NUC   +   0.982 (SAC7_YEAST,0.34,0.25,0.55,0.28,0.5,0,0.51,0.49)
    76      1:CYT      2:NUC   +   0.619 (PYC2_YEAST,0.43,0.46,0.5,0.21,0.5,0,0.49,0.34)
    77      1:CYT      3:MIT   +   0.918 (R37A_YEAST,0.4,0.45,0.61,0.29,0.5,0,0.44,0.22)
    78      1:CYT      2:NUC   +   0.904 (DCP1_YEAST,0.49,0.45,0.53,0.16,0.5,0,0.49,0.31)
    79      1:CYT      2:NUC   +   0.688 (RAM2_YEAST,0.4,0.6,0.5,0.16,0.5,0,0.51,0.22)
    80      1:CYT      1:CYT       0.592 (R19A_YEAST,0.52,0.43,0.61,0.22,0.5,0,0.45,0.22)
    81      1:CYT      2:NUC   +   0.672 (TBB_YEAST,0.53,0.42,0.53,0.19,0.5,0,0.47,0.22)
    82      1:CYT      1:CYT       0.782 (YP52_YEAST,0.48,0.61,0.57,0.17,0.5,0,0.45,0.22)
    83      1:CYT      2:NUC   +   0.473 (E2BB_YEAST,0.59,0.65,0.52,0.3,0.5,0,0.46,0.31)
    84      1:CYT      3:MIT   +   0.797 (SLP1_YEAST,0.56,0.68,0.42,0.36,0.5,0,0.49,0.22)
    85      1:CYT      1:CYT       0.936 (SPA2_YEAST,0.5,0.45,0.51,0.19,0.5,0,0.53,0.25)
    86      1:CYT      2:NUC   +   0.576 (NIP1_YEAST,0.35,0.5,0.44,0.27,0.5,0,0.51,0.22)
    87      1:CYT      2:NUC   +   0.702 (RS37_YEAST,0.41,0.49,0.65,0.28,0.5,0,0.59,0.57)
    88      1:CYT      2:NUC   +   0.983 (SLY1_YEAST,0.64,0.31,0.53,0.15,0.5,0,0.53,0.31)
    89      1:CYT      1:CYT       0.997 (RS8_YEAST,0.37,0.3,0.62,0.43,0.5,0,0.44,0.39)
    90      1:CYT      2:NUC   +   0.988 (SYTC_YEAST,0.31,0.31,0.57,0.15,0.5,0,0.5,0.22)
    91      6:ME1      2:NUC   +   0.727 (SC11_YEAST,0.85,0.66,0.49,0.18,0.5,0,0.51,0.22)
    92      6:ME1     10:ERL   +   1 (YAB8_YEAST,0.69,0.66,0.36,0.09,0.5,0,0.56,0.22)
    93      6:ME1      6:ME1       1 (YCG9_YEAST,0.74,0.73,0.32,0.2,0.5,0,0.55,0.22)
    94      6:ME1      1:CYT   +   0.996 (FRE1_YEAST,0.91,0.77,0.34,0.47,0.5,0,0.52,0.31)
