

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
    29        1:1        3:3   +   0.651 (23,2,2,2,1,1,3,3,0)
    30        1:1        3:3   +   0.448 (23,3,3,1,1,0,2,4,0)
    31        1:1        1:1       0.528 (23,3,4,4,1,1,3,1,1)
    32        1:1        1:1       0.854 (30,4,2,0,1,0,3,3,0)
    33        1:1        3:3   +   0.638 (33,2,2,3,0,0,2,4,0)
    34        1:1        3:3   +   0.598 (34,2,3,7,1,0,3,3,0)
    35        2:2        2:2       0.85 (39,4,4,4,1,0,1,4,0)
    36        2:2        2:2       0.718 (23,4,4,1,0,1,1,4,0)
    37        2:2        2:2       0.547 (38,3,4,7,0,1,2,3,0)
    38        2:2        3:3   +   0.587 (30,2,3,5,1,1,3,1,1)
    39        2:2        1:1   +   0.511 (42,2,4,8,1,1,1,4,0)
    40        2:2        2:2       0.637 (31,4,4,3,0,0,4,4,0)
    41        2:2        2:2       0.834 (37,4,4,7,1,1,1,4,0)
    42        2:2        3:3   +   0.62 (26,3,3,2,1,1,1,3,0)
    43        2:2        3:3   +   0.607 (33,3,3,6,1,1,3,4,0)
    44        2:2        2:2       0.789 (36,4,4,3,0,1,1,3,0)
    45        2:2        2:2       0.751 (35,4,4,5,1,1,1,4,0)
    46        2:2        2:2       0.871 (41,4,4,4,1,1,1,4,0)
    47        2:2        3:3   +   0.596 (25,2,4,6,1,1,3,4,0)
    48        2:2        2:2       0.917 (44,4,4,6,0,1,1,3,0)
    49        2:2        3:3   +   0.522 (35,2,4,3,0,0,3,4,1)
    50        2:2        2:2       0.839 (42,4,4,8,0,1,1,4,0)
    51        2:2        3:3   +   0.72 (24,2,4,2,1,1,3,3,0)
    52        2:2        3:3   +   0.487 (34,3,4,2,0,1,2,3,0)
    53        2:2        3:3   +   0.612 (34,1,2,5,1,1,3,4,0)
    54        2:2        2:2       0.447 (38,4,4,6,1,1,3,3,0)
    55        2:2        1:1   +   0.7 (25,3,1,4,1,1,3,1,0)
    56        2:2        2:2       0.8 (41,4,4,7,1,1,2,4,0)
    57        2:2        2:2       0.813 (36,4,4,3,1,0,1,4,0)
    58        2:2        2:2       0.62 (47,4,4,8,1,1,1,4,0)
    59        2:2        2:2       0.593 (29,4,4,2,1,1,1,4,0)
    60        2:2        2:2       0.768 (37,4,4,4,1,1,1,4,0)
    61        2:2        3:3   +   0.494 (38,2,3,4,1,1,1,2,0)
    62        2:2        1:1   +   0.519 (45,3,3,6,0,1,2,4,0)
    63        2:2        2:2       0.585 (24,4,4,2,1,0,1,3,0)
    64        2:2        3:3   +   0.672 (35,3,4,3,1,1,2,2,0)
    65        2:2        3:3   +   0.723 (28,2,3,2,1,1,3,3,0)
    66        2:2        2:2       0.881 (39,4,4,4,0,1,1,4,0)
    67        2:2        2:2       0.883 (42,4,4,3,1,0,1,4,0)
    68        3:3        3:3       0.589 (21,2,2,1,1,1,3,2,0)
    69        3:3        3:3       0.602 (38,4,3,9,1,1,3,3,0)
    70        3:3        2:2   +   0.455 (22,3,4,1,0,0,1,4,0)
    71        3:3        1:1   +   0.49 (48,3,4,8,1,0,1,4,0)
    72        3:3        3:3       0.746 (26,2,3,2,1,1,2,3,0)
    73        3:3        2:2   +   0.773 (32,4,4,3,1,0,1,4,0)
    74        3:3        2:2   +   0.723 (32,4,4,3,1,1,1,4,0)
    75        3:3        3:3       0.708 (21,3,3,1,1,1,3,3,0)
    76        3:3        3:3       0.792 (33,3,3,3,1,1,3,3,0)
    77        3:3        2:2   +   0.642 (29,4,4,3,1,1,1,4,0)
    78        3:3        2:2   +   0.545 (28,4,4,2,1,1,1,4,0)
    79        3:3        3:3       0.569 (19,4,4,1,1,1,3,2,0)
    80        3:3        2:2   +   0.746 (34,4,4,2,1,1,1,4,0)
    81        3:3        3:3       0.662 (21,3,4,1,1,1,3,2,0)
    82        3:3        3:3       0.679 (28,2,4,4,1,1,3,4,0)
    83        3:3        2:2   +   0.472 (25,4,4,1,1,1,1,4,0)
    84        3:3        3:3       0.559 (30,2,2,6,1,1,3,1,0)
    85        3:3        2:2   +   0.741 (26,4,4,2,1,0,1,4,0)
    86        3:3        2:2   +   0.521 (24,4,4,1,1,1,1,3,0)
    87        3:3        3:3       0.603 (24,2,3,2,1,1,2,1,0)
    88        3:3        1:1   +   0.503 (46,2,3,6,0,0,3,4,0)
    89        3:3        2:2   +   0.749 (47,4,4,5,1,1,1,3,0)
    90        3:3        3:3       0.843 (22,3,3,3,1,1,3,3,0)
    91        3:3        3:3       0.707 (25,4,4,2,1,1,3,3,0)
    92        3:3        3:3       0.797 (26,3,3,3,1,1,3,3,0)
    93        3:3        1:1   +   0.424 (37,3,3,11,1,1,1,2,0)
    94        3:3        3:3       0.541 (26,4,4,2,1,0,3,3,0)
    95        3:3        3:3       0.766 (25,2,3,4,1,1,3,3,0)
    96        3:3        3:3       0.718 (30,2,2,4,1,1,2,4,0)
    97        3:3        3:3       0.713 (29,3,3,6,1,1,3,3,0)
    98        3:3        3:3       0.723 (30,3,4,4,1,1,3,3,0)
    99        3:3        3:3       0.698 (30,1,3,4,1,1,3,4,0)
   100        3:3        1:1   +   0.596 (19,3,3,1,1,1,2,1,0)
   101        3:3        3:3       0.69 (25,2,4,3,1,1,1,3,0)
   102        3:3        2:2   +   0.616 (24,4,4,2,1,1,1,4,0)
   103        3:3        3:3       0.459 (27,4,4,4,1,1,1,2,1)
   104        3:3        3:3       0.759 (24,4,3,3,1,1,3,3,0)
   105        3:3        3:3       0.704 (33,2,2,2,1,1,3,4,0)
   106        3:3        3:3       0.799 (21,3,4,3,1,1,3,1,0)
   107        3:3        1:1   +   0.826 (16,2,3,1,1,1,3,1,0)
   108        3:3        2:2   +   0.891 (35,4,4,4,0,0,1,4,0)
   109        3:3        3:3       0.708 (26,3,4,3,1,1,3,3,0)
   110        3:3        3:3       0.587 (24,3,3,1,1,1,3,2,0)
   111        3:3        2:2   +   0.453 (34,3,3,6,1,1,1,4,0)
   112        3:3        3:3       0.703 (37,2,3,5,1,1,4,2,0)
   113        3:3        1:1   +   0.68 (23,1,2,3,1,1,3,2,1)
   114        3:3        3:3       0.786 (29,3,3,3,1,1,2,1,0)
   115        3:3        2:2   +   0.79 (35,4,4,4,1,1,1,4,0)
   116        3:3        3:3       0.74 (26,3,4,3,1,1,3,2,0)
   117        3:3        2:2   +   0.722 (31,4,4,3,1,0,1,4,0)
   118        3:3        3:3       0.614 (30,3,4,2,1,1,1,2,0)
     1        1:1        3:3   +   0.559 (25,3,3,1,1,0,2,4,0)
     2        1:1        2:2   +   0.434 (23,4,4,1,1,0,2,4,0)
     3        1:1        3:3   +   0.715 (31,3,4,2,1,1,3,3,0)
     4        1:1        1:1       0.787 (47,2,2,4,1,1,3,1,0)
     5        1:1        3:3   +   0.749 (30,3,3,5,1,0,3,4,0)
     6        1:1        1:1       0.682 (35,2,2,6,1,0,3,1,1)
     7        1:1        3:3   +   0.725 (25,3,4,3,1,1,1,1,0)
     8        1:1        3:3   +   0.569 (28,2,3,1,1,1,3,1,0)
     9        1:1        1:1       0.549 (39,3,1,1,1,1,2,3,0)
    10        1:1        2:2   +   0.441 (28,4,4,1,0,1,2,4,0)
    11        1:1        3:3   +   0.749 (22,3,4,2,1,1,2,3,0)
    12        1:1        1:1       0.619 (18,3,4,1,1,1,3,1,0)
    13        1:1        3:3   +   0.448 (37,3,4,4,1,0,2,4,0)
    14        1:1        3:3   +   0.672 (36,4,3,3,1,0,3,2,0)
    15        1:1        1:1       0.81 (31,1,1,6,1,1,3,2,0)
    16        1:1        1:1       0.628 (39,2,3,10,1,1,3,4,0)
    17        1:1        1:1       0.853 (25,4,4,0,1,0,3,4,0)
    18        1:1        1:1       0.648 (25,1,4,2,1,0,3,3,1)
    19        1:1        1:1       0.542 (49,4,4,1,1,1,3,4,0)
    20        1:1        1:1       0.92 (46,1,2,8,1,1,3,3,1)
    21        1:1        2:2   +   0.446 (31,4,4,2,1,1,1,2,0)
    22        1:1        2:2   +   0.903 (42,4,4,3,1,0,1,4,0)
    23        1:1        3:3   +   0.773 (37,2,3,4,1,1,2,3,0)
    24        1:1        3:3   +   0.491 (20,3,4,1,1,1,3,2,0)
    25        1:1        1:1       0.955 (45,3,4,0,1,1,1,3,0)
    26        1:1        1:1       0.994 (49,2,3,0,1,1,1,2,0)
    27        1:1        3:3   +   0.696 (22,2,4,1,1,1,3,4,0)
    28        1:1        1:1       0.578 (42,3,3,8,1,1,4,3,0)
    29        1:1        3:3   +   0.828 (21,2,4,3,1,1,3,2,0)
    30        1:1        3:3   +   0.693 (34,2,2,9,1,0,2,3,0)
    31        1:1        1:1       0.811 (39,1,2,2,1,1,3,1,1)
    32        1:1        3:3   +   0.349 (42,2,4,2,1,1,3,4,0)
    33        1:1        3:3   +   0.705 (30,2,3,2,1,0,2,4,0)
    34        2:2        3:3   +   0.669 (33,2,3,5,1,0,2,1,0)
    35        2:2        2:2       0.872 (41,4,4,6,1,1,1,4,0)
    36        2:2        3:3   +   0.49 (28,3,4,3,1,1,1,4,0)
    37        2:2        2:2       0.701 (34,3,4,3,0,1,1,4,0)
    38        2:2        2:2       0.457 (34,4,4,2,0,0,3,2,0)
    39        2:2        2:2       0.762 (33,4,4,2,0,0,1,3,0)
    40        2:2        2:2       0.914 (44,4,4,4,1,1,1,4,0)
    41        2:2        2:2       0.856 (45,4,4,4,1,1,1,4,0)
    42        2:2        2:2       0.707 (40,4,4,6,1,1,1,3,0)
    43        2:2        2:2       0.853 (48,4,4,3,0,1,1,4,0)
    44        2:2        2:2       0.751 (43,4,4,6,1,1,1,4,0)
    45        2:2        1:1   +   0.45 (43,1,3,4,1,1,1,4,0)
    46        2:2        2:2       0.838 (41,4,4,8,1,1,1,4,0)
    47        2:2        2:2       0.606 (41,3,4,5,1,1,1,3,0)
    48        2:2        3:3   +   0.539 (26,2,4,2,1,1,1,4,0)
    49        2:2        2:2       0.441 (42,3,3,4,0,1,3,4,0)
    50        2:2        1:1   +   0.766 (45,3,3,8,1,1,2,3,0)
    51        2:2        3:3   +   0.763 (29,4,3,4,1,0,3,2,0)
    52        2:2        2:2       0.438 (42,2,4,5,0,1,2,3,0)
    53        2:2        3:3   +   0.641 (27,3,2,5,1,1,2,4,0)
    54        2:2        2:2       0.856 (47,4,4,4,1,0,1,4,0)
    55        2:2        2:2       0.852 (39,4,4,4,1,1,1,4,0)
    56        2:2        3:3   +   0.631 (26,2,4,2,1,1,1,3,0)
    57        2:2        2:2       0.581 (35,4,4,4,0,1,3,3,0)
    58        2:2        2:2       0.695 (35,4,4,3,0,0,3,4,0)
    59        2:2        3:3   +   0.506 (37,3,4,3,1,1,1,3,0)
    60        2:2        2:2       0.744 (33,4,4,3,1,1,1,4,0)
    61        2:2        3:3   +   0.438 (28,4,4,2,1,1,1,3,0)
    62        2:2        3:3   +   0.783 (34,2,3,2,1,1,3,3,0)
    63        2:2        3:3   +   0.537 (44,3,3,9,1,1,1,1,0)
    64        2:2        3:3   +   0.645 (32,3,3,6,1,0,3,3,0)
    65        2:2        2:2       0.557 (49,4,4,10,1,1,1,4,0)
    66        2:2        2:2       0.897 (44,4,4,3,1,1,1,4,0)
    67        2:2        2:2       0.894 (48,4,4,7,0,1,1,4,0)
    68        3:3        2:2   +   0.519 (24,4,4,1,1,1,1,3,0)
    69        3:3        3:3       0.683 (36,2,2,5,1,1,3,4,0)
    70        3:3        3:3       0.426 (19,4,4,1,1,1,1,3,0)
    71        3:3        3:3       0.872 (29,2,3,3,1,1,3,3,0)
    72        3:3        1:1   +   0.357 (41,1,4,5,1,0,2,4,0)
    73        3:3        2:2   +   0.576 (27,4,4,2,0,0,2,4,0)
    74        3:3        3:3       0.706 (32,3,4,4,1,1,3,2,0)
    75        3:3        1:1   +   0.491 (29,1,4,3,1,1,4,4,1)
    76        3:3        3:3       0.659 (35,2,3,6,1,0,3,2,0)
    77        3:3        2:2   +   0.642 (49,4,3,13,1,1,1,4,0)
    78        3:3        2:2   +   0.819 (32,4,4,3,0,1,1,4,0)
    79        3:3        3:3       0.687 (26,4,4,3,1,1,3,2,0)
    80        3:3        2:2   +   0.735 (44,4,4,8,1,1,2,4,0)
    81        3:3        3:3       0.663 (22,4,4,2,1,1,3,4,0)
    82        3:3        3:3       0.626 (36,3,4,9,1,1,3,4,0)
    83        3:3        3:3       0.865 (30,3,3,3,1,1,3,1,0)
    84        3:3        1:1   +   0.707 (45,1,3,3,1,1,3,2,0)
    85        3:3        2:2   +   0.423 (28,4,4,1,1,1,1,3,0)
    86        3:3        2:2   +   0.809 (35,4,4,6,1,1,1,4,0)
    87        3:3        2:2   +   0.563 (33,4,4,2,1,0,2,4,0)
    88        3:3        3:3       0.645 (21,4,4,2,1,1,2,3,0)
    89        3:3        2:2   +   0.853 (39,4,4,3,1,0,1,4,0)
    90        3:3        3:3       0.551 (34,4,4,2,1,1,3,3,0)
    91        3:3        1:1   +   0.684 (20,3,3,2,1,1,2,2,1)
    92        3:3        3:3       0.483 (27,2,4,1,1,1,1,4,0)
    93        3:3        3:3       0.563 (30,4,4,2,1,1,4,3,0)
    94        3:3        2:2   +   0.75 (48,4,4,16,1,1,1,4,0)
    95        3:3        1:1   +   0.612 (20,2,2,1,1,1,3,2,0)
    96        3:3        1:1   +   0.645 (21,3,2,1,1,1,3,1,1)
    97        3:3        2:2   +   0.756 (44,4,4,5,1,1,3,4,0)
    98        3:3        2:2   +   0.577 (47,4,3,4,1,1,1,3,0)
    99        3:3        2:2   +   0.85 (42,4,4,7,1,1,2,4,0)
   100        3:3        3:3       0.628 (17,2,2,1,1,1,3,2,0)
   101        3:3        3:3       0.662 (33,3,4,4,1,1,3,3,0)
   102        3:3        1:1   +   0.404 (47,4,4,5,1,1,3,2,0)
   103        3:3        3:3       0.49 (28,3,4,3,1,1,1,4,0)
   104        3:3        2:2   +   0.848 (36,4,4,4,1,1,1,4,0)
   105        3:3        2:2   +   0.819 (32,4,4,3,0,1,1,4,0)
   106        3:3        3:3       0.636 (26,4,4,2,1,1,3,3,0)
   107        3:3        3:3       0.587 (21,4,4,1,1,1,2,3,0)
   108        3:3        2:2   +   0.456 (19,4,4,2,1,1,1,4,0)
   109        3:3        2:2   +   0.802 (40,4,4,4,1,1,1,4,0)
   110        3:3        3:3       0.765 (25,2,3,5,1,1,2,3,0)
   111        3:3        3:3       0.768 (28,2,3,3,1,1,3,4,0)
   112        3:3        3:3       0.527 (36,1,3,6,1,1,3,2,0)
   113        3:3        2:2   +   0.823 (32,4,4,2,0,0,1,4,0)
   114        3:3        3:3       0.586 (33,3,4,6,1,1,3,2,0)
   115        3:3        3:3       0.559 (28,1,3,5,1,1,3,4,0)
   116        3:3        3:3       0.455 (37,2,4,5,1,1,1,4,0)
   117        3:3        2:2   +   0.744 (33,4,4,3,1,1,1,4,0)
   118        3:3        2:2   +   0.51 (33,4,4,2,1,1,2,4,0)
     1        1:1        1:1       0.976 (23,3,2,0,1,1,2,2,0)
     2        1:1        1:1       0.728 (26,4,4,0,1,1,3,4,0)
     3        1:1        1:1       0.879 (31,2,2,8,1,1,2,2,1)
     4        1:1        3:3   +   0.567 (36,3,3,2,1,0,2,4,0)
     5        1:1        1:1       0.915 (45,2,2,7,1,1,3,1,1)
     6        1:1        2:2   +   0.9 (48,4,4,4,0,1,1,4,0)
     7        1:1        1:1       0.881 (46,1,2,7,1,1,3,1,1)
     8        1:1        1:1       0.597 (25,2,3,1,1,0,2,1,0)
     9        1:1        1:1       0.598 (40,3,3,3,1,1,2,2,1)
    10        1:1        1:1       0.582 (24,2,2,2,1,1,3,1,1)
    11        1:1        1:1       0.751 (46,1,4,8,1,1,1,4,1)
    12        1:1        1:1       0.748 (30,1,1,7,1,1,2,3,0)
    13        1:1        3:3   +   0.653 (21,4,4,1,1,1,3,4,0)
    14        1:1        1:1       0.887 (20,3,4,0,1,1,3,3,0)
    15        1:1        3:3   +   0.717 (32,2,4,5,1,1,2,3,0)
    16        1:1        3:3   +   0.482 (41,1,3,3,1,0,2,4,0)
    17        1:1        3:3   +   0.791 (33,3,3,3,1,1,3,4,0)
    18        1:1        1:1       0.907 (28,3,4,0,1,0,1,3,0)
    19        1:1        3:3   +   0.593 (27,3,4,2,1,1,1,3,0)
    20        1:1        3:3   +   0.415 (32,3,4,1,0,1,2,4,0)
    21        1:1        3:3   +   0.617 (20,2,3,1,1,1,3,4,0)
    22        1:1        3:3   +   0.72 (20,3,4,2,1,1,3,3,0)
    23        1:1        3:3   +   0.451 (38,3,3,5,1,1,1,4,0)
    24        1:1        1:1       0.438 (28,3,4,1,0,1,2,2,0)
    25        1:1        1:1       0.577 (35,2,3,8,1,1,3,3,1)
    26        1:1        3:3   +   0.641 (24,3,4,2,1,1,2,4,0)
    27        1:1        3:3   +   0.509 (31,4,4,3,1,0,2,3,0)
    28        1:1        3:3   +   0.56 (25,4,4,1,1,1,3,4,0)
    29        1:1        3:3   +   0.75 (24,2,4,2,1,1,3,4,0)
    30        1:1        3:3   +   0.78 (24,2,3,2,1,1,3,1,0)
    31        1:1        1:1       0.644 (45,2,4,8,1,1,2,3,0)
    32        1:1        1:1       0.896 (33,1,1,5,1,1,3,1,1)
    33        1:1        3:3   +   0.805 (20,2,3,3,1,1,3,4,0)
    34        2:2        2:2       0.892 (44,4,4,5,1,0,1,4,0)
    35        2:2        3:3   +   0.571 (31,4,4,4,1,1,3,3,0)
    36        2:2        3:3   +   0.747 (32,3,3,4,1,0,3,3,0)
    37        2:2        3:3   +   0.622 (21,3,4,3,1,1,1,4,0)
    38        2:2        3:3   +   0.492 (43,2,4,13,1,1,2,3,0)
    39        2:2        2:2       0.654 (28,4,4,2,0,1,1,4,0)
    40        2:2        3:3   +   0.452 (30,4,4,1,0,1,2,4,0)
    41        2:2        3:3   +   0.517 (22,4,4,1,1,1,1,3,0)
    42        2:2        3:3   +   0.545 (36,3,3,5,1,0,1,3,0)
    43        2:2        2:2       0.502 (41,3,3,5,1,1,1,4,0)
    44        2:2        3:3   +   0.642 (29,4,4,2,1,1,3,4,0)
    45        2:2        3:3   +   0.784 (30,3,3,2,1,1,2,3,0)
    46        2:2        2:2       0.683 (40,4,4,5,1,1,1,3,0)
    47        2:2        2:2       0.483 (34,4,4,4,1,0,3,3,0)
    48        2:2        3:3   +   0.481 (27,4,4,3,1,1,1,3,0)
    49        2:2        2:2       0.664 (38,4,4,5,1,1,1,3,0)
    50        2:2        2:2       0.63 (41,4,4,3,1,0,2,3,0)
    51        2:2        2:2       0.363 (30,4,1,4,1,1,3,3,0)
    52        2:2        2:2       0.811 (41,4,4,5,0,1,2,4,0)
    53        2:2        3:3   +   0.565 (37,4,4,2,1,0,3,3,0)
    54        2:2        2:2       0.632 (31,4,4,3,1,1,1,4,0)
    55        2:2        2:2       0.731 (34,4,4,3,1,1,1,4,0)
    56        2:2        1:1   +   0.639 (45,2,2,9,1,1,3,3,0)
    57        2:2        2:2       0.7 (34,4,4,2,1,1,1,4,0)
    58        2:2        3:3   +   0.593 (32,3,4,5,1,1,1,2,0)
    59        2:2        2:2       0.547 (24,4,4,1,1,1,1,4,0)
    60        2:2        2:2       0.634 (30,4,4,2,0,0,1,4,0)
    61        2:2        2:2       0.364 (42,3,3,4,1,1,2,4,0)
    62        2:2        3:3   +   0.609 (33,4,3,5,1,1,2,4,0)
    63        2:2        2:2       0.785 (32,4,4,2,0,0,1,4,0)
    64        2:2        2:2       0.74 (37,4,4,4,0,0,2,4,0)
    65        2:2        2:2       0.777 (39,4,4,3,1,1,1,4,0)
    66        2:2        2:2       0.877 (35,4,4,5,0,0,1,4,0)
    67        2:2        3:3   +   0.683 (24,4,4,1,1,1,3,2,0)
    68        3:3        1:1   +   0.612 (41,1,2,6,1,1,3,3,0)
    69        3:3        3:3       0.417 (20,3,4,1,0,1,2,4,0)
    70        3:3        2:2   +   0.483 (33,4,4,4,1,1,2,3,0)
    71        3:3        2:2   +   0.566 (40,3,4,6,1,1,1,3,0)
    72        3:3        3:3       0.562 (35,1,2,5,1,1,3,3,0)
    73        3:3        3:3       0.575 (35,2,3,6,1,1,2,3,0)
    74        3:3        3:3       0.558 (22,4,4,1,0,1,3,1,0)
    75        3:3        3:3       0.768 (21,4,4,2,1,1,3,3,0)
    76        3:3        1:1   +   0.717 (25,1,2,2,1,1,2,1,0)
    77        3:3        2:2   +   0.632 (31,4,4,3,1,1,1,4,0)
    78        3:3        2:2   +   0.538 (35,4,4,2,1,1,2,4,0)
    79        3:3        1:1   +   0.725 (36,1,2,4,1,1,3,1,1)
    80        3:3        2:2   +   0.452 (34,4,4,6,1,1,2,2,0)
    81        3:3        3:3       0.529 (23,2,3,2,1,0,3,2,0)
    82        3:3        3:3       0.673 (27,2,4,4,1,1,2,1,0)
    83        3:3        3:3       0.623 (22,4,3,1,1,1,2,2,0)
    84        3:3        3:3       0.616 (31,2,3,7,1,1,3,3,0)
    85        3:3        3:3       0.551 (34,2,2,4,0,1,3,2,0)
    86        3:3        1:1   +   0.584 (40,2,2,4,0,0,2,4,0)
    87        3:3        3:3       0.712 (30,3,3,4,1,0,2,2,0)
    88        3:3        2:2   +   0.833 (43,4,4,5,0,1,1,4,0)
    89        3:3        2:2   +   0.623 (25,4,4,1,0,1,1,4,0)
    90        3:3        3:3       0.635 (22,3,4,2,1,1,2,4,0)
    91        3:3        3:3       0.708 (24,2,2,2,1,1,3,4,0)
    92        3:3        1:1   +   0.921 (31,1,1,3,1,1,4,2,1)
    93        3:3        3:3       0.474 (37,3,4,5,1,0,2,4,0)
    94        3:3        3:3       0.615 (22,3,4,2,0,1,3,4,0)
    95        3:3        3:3       0.78 (21,3,3,2,1,1,2,3,0)
    96        3:3        2:2   +   0.448 (41,4,3,5,1,0,3,4,0)
    97        3:3        2:2   +   0.794 (44,3,4,5,1,0,1,4,0)
    98        3:3        3:3       0.817 (29,2,3,4,1,1,3,2,0)
    99        3:3        3:3       0.752 (22,3,4,3,1,1,2,3,0)
   100        3:3        3:3       0.616 (25,4,4,2,1,1,2,3,0)
   101        3:3        3:3       0.747 (32,3,2,5,1,1,3,3,0)
   102        3:3        2:2   +   0.737 (36,4,4,4,1,1,1,3,0)
   103        3:3        1:1   +   0.606 (25,2,2,1,1,1,3,1,0)
   104        3:3        1:1   +   0.806 (35,2,2,6,1,0,2,2,1)
   105        3:3        3:3       0.579 (22,2,2,2,1,1,2,3,0)
   106        3:3        3:3       0.611 (28,4,4,1,1,1,3,2,0)
   107        3:3        3:3       0.563 (19,4,4,1,1,1,2,3,0)
   108        3:3        3:3       0.604 (33,2,3,7,1,0,3,1,0)
   109        3:3        1:1   +   0.556 (23,3,2,1,1,1,3,3,0)
   110        3:3        1:1   +   0.64 (32,2,2,8,1,1,2,1,0)
   111        3:3        2:2   +   0.404 (40,3,4,5,1,1,1,2,0)
   112        3:3        3:3       0.649 (25,3,4,3,1,1,2,4,0)
   113        3:3        2:2   +   0.638 (32,3,4,5,0,1,1,4,0)
   114        3:3        2:2   +   0.733 (31,4,4,2,0,1,1,4,0)
   115        3:3        2:2   +   0.602 (35,3,4,5,1,1,1,4,0)
   116        3:3        2:2   +   0.544 (27,4,4,1,1,1,1,4,0)
   117        3:3        1:1   +   0.719 (36,2,2,7,1,0,2,2,1)
   118        3:3        3:3       0.48 (39,4,3,4,1,1,3,4,0)
     1        1:1        2:2   +   0.752 (39,3,4,6,1,1,1,4,0)
     2        1:1        1:1       0.642 (32,1,2,4,1,1,3,2,1)
     3        1:1        1:1       0.702 (46,3,1,5,1,1,3,2,0)
     4        1:1        1:1       0.826 (34,4,3,0,0,0,3,3,0)
     5        1:1        1:1       0.739 (40,2,2,8,1,1,2,2,0)
     6        1:1        2:2   +   0.866 (42,4,4,3,1,1,1,4,0)
     7        1:1        1:1       0.869 (49,1,3,6,1,1,2,4,0)
     8        1:1        1:1       0.991 (48,1,1,8,1,0,2,2,1)
     9        1:1        3:3   +   0.477 (37,2,3,5,0,0,2,4,0)
    10        1:1        1:1       0.846 (27,3,4,0,1,1,3,3,0)
    11        1:1        1:1       0.892 (40,1,2,6,1,1,3,1,1)
    12        1:1        3:3   +   0.574 (29,3,4,4,1,1,1,4,0)
    13        1:1        1:1       0.975 (28,1,4,0,1,0,4,1,0)
    14        1:1        1:1       0.609 (45,1,3,7,1,0,1,3,0)
    15        1:1        1:1       0.882 (25,4,4,0,1,0,2,4,0)
    16        1:1        1:1       0.821 (45,2,3,6,1,1,3,2,1)
    17        1:1        3:3   +   0.378 (44,1,4,9,1,1,1,2,0)
    18        1:1        1:1       0.917 (28,3,4,0,1,0,3,4,0)
    19        1:1        2:2   +   0.749 (28,4,4,3,0,1,1,4,0)
    20        1:1        1:1       0.716 (27,2,2,1,1,0,3,2,1)
    21        1:1        3:3   +   0.625 (25,4,4,3,1,1,1,2,0)
    22        1:1        2:2   +   0.697 (41,3,4,3,0,1,2,4,0)
    23        1:1        3:3   +   0.398 (43,3,4,2,0,1,3,4,0)
    24        1:1        1:1       0.741 (33,4,4,0,1,0,3,3,0)
    25        1:1        2:2   +   0.813 (33,4,4,3,0,0,1,3,0)
    26        1:1        1:1       0.985 (48,1,1,1,1,0,3,3,1)
    27        1:1        2:2   +   0.825 (42,4,4,1,1,0,1,4,0)
    28        1:1        1:1       0.588 (47,1,4,6,1,1,1,4,0)
    29        1:1        2:2   +   0.758 (45,4,4,1,1,1,1,4,0)
    30        1:1        1:1       0.819 (23,4,4,0,1,0,1,4,0)
    31        1:1        3:3   +   0.45 (38,2,4,3,1,1,1,3,0)
    32        1:1        2:2   +   0.839 (39,4,4,2,1,0,1,4,0)
    33        1:1        3:3   +   0.514 (23,3,3,2,1,1,2,2,0)
    34        2:2        3:3   +   0.598 (30,2,4,1,1,0,3,4,0)
    35        2:2        3:3   +   0.669 (22,4,4,1,1,1,1,2,0)
    36        2:2        2:2       0.607 (27,4,4,3,1,1,1,4,0)
    37        2:2        2:2       0.88 (36,4,4,4,0,1,1,4,0)
    38        2:2        2:2       0.894 (42,4,4,4,0,0,2,4,0)
    39        2:2        2:2       0.391 (44,1,4,2,1,1,1,3,0)
    40        2:2        3:3   +   0.635 (29,3,4,2,1,1,1,4,0)
    41        2:2        3:3   +   0.406 (23,4,4,1,1,0,3,4,0)
    42        2:2        2:2       0.897 (41,4,4,4,0,0,2,4,0)
    43        2:2        3:3   +   0.387 (35,3,4,5,1,0,1,3,1)
    44        2:2        2:2       0.822 (38,4,4,4,0,0,1,2,0)
    45        2:2        2:2       0.608 (37,4,4,3,0,1,3,4,0)
    46        2:2        3:3   +   0.794 (30,2,4,3,1,1,3,4,0)
    47        2:2        1:1   +   0.679 (25,3,1,2,1,0,3,4,0)
    48        2:2        3:3   +   0.645 (36,3,2,6,1,1,3,2,0)
    49        2:2        2:2       0.732 (36,4,4,3,1,1,1,4,0)
    50        2:2        2:2       0.723 (35,4,4,5,1,0,1,3,0)
    51        2:2        3:3   +   0.651 (22,3,4,1,1,1,4,4,0)
    52        2:2        3:3   +   0.564 (34,3,3,6,1,1,3,4,0)
    53        2:2        3:3   +   0.72 (29,3,4,3,1,1,1,3,0)
    54        2:2        3:3   +   0.538 (29,4,4,2,1,0,1,3,0)
    55        2:2        1:1   +   0.53 (43,3,4,5,1,1,3,2,1)
    56        2:2        1:1   +   0.985 (47,1,1,10,1,1,3,3,0)
    57        2:2        3:3   +   0.515 (29,4,4,3,1,1,1,4,0)
    58        2:2        2:2       0.784 (35,4,4,4,1,1,1,4,0)
    59        2:2        2:2       0.742 (38,4,4,2,1,1,1,4,0)
    60        2:2        3:3   +   0.72 (29,3,4,3,1,1,1,3,0)
