

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class)
    21        1:x        1:x       1 (b,b,x,b,b,x,o,o,positive)
    22        1:x        1:x       1 (b,o,x,x,o,x,o,b,positive)
    23        1:x        1:x       1 (b,o,x,o,b,o,x,b,negative)
    24        1:x        1:x       1 (x,o,b,o,o,o,x,x,negative)
    25        1:x        1:x       1 (x,o,b,o,x,o,x,o,negative)
    26        1:x        1:x       1 (o,b,x,o,b,x,x,o,positive)
    27        1:x        1:x       1 (x,b,o,o,o,b,x,b,negative)
    28        1:x        1:x       1 (b,o,o,o,b,x,x,x,positive)
    29        1:x        3:b   +   0.989 (o,x,x,o,o,o,x,x,negative)
    30        1:x        1:x       1 (b,b,x,o,b,x,o,b,positive)
    31        1:x        1:x       1 (b,o,x,o,b,x,b,b,positive)
    32        1:x        1:x       1 (o,o,b,x,o,x,x,o,negative)
    33        1:x        1:x       1 (b,x,o,o,o,x,o,x,negative)
    34        1:x        1:x       1 (b,o,b,x,b,b,o,x,positive)
    35        1:x        1:x       1 (x,b,o,o,o,b,b,x,negative)
    36        1:x        3:b   +   0.935 (o,x,x,o,x,o,x,o,negative)
    37        1:x        1:x       1 (o,x,x,o,x,b,o,o,negative)
    38        1:x        1:x       1 (b,b,o,o,o,b,x,x,negative)
    39        1:x        1:x       1 (o,o,x,o,x,b,o,x,negative)
    40        1:x        1:x       1 (o,o,x,o,x,o,x,b,negative)
    41        1:x        1:x       1 (o,x,b,o,x,x,o,o,negative)
    42        1:x        1:x       1 (b,o,b,x,o,x,o,x,positive)
    43        1:x        1:x       1 (o,b,x,o,o,x,x,b,positive)
    44        2:o        2:o       1 (b,o,b,o,x,x,x,x,positive)
    45        2:o        2:o       1 (x,x,x,x,o,o,x,o,positive)
    46        2:o        2:o       1 (b,x,o,x,o,o,x,x,negative)
    47        2:o        2:o       1 (b,o,o,x,x,o,x,x,negative)
    48        2:o        2:o       1 (x,b,b,x,o,b,x,b,positive)
    49        2:o        2:o       1 (b,x,o,x,b,o,x,b,negative)
    50        2:o        2:o       1 (o,b,x,o,b,x,x,x,positive)
    51        2:o        2:o       1 (o,x,b,o,x,x,b,x,positive)
    52        2:o        2:o       1 (x,x,x,o,b,o,x,o,negative)
    53        2:o        2:o       1 (b,o,x,x,x,x,b,o,positive)
    54        2:o        2:o       1 (b,o,x,x,x,x,o,b,positive)
    55        2:o        2:o       1 (b,x,x,o,x,o,x,o,negative)
    56        2:o        2:o       1 (b,x,o,o,x,b,x,x,positive)
    57        2:o        2:o       1 (x,b,x,o,b,x,b,o,negative)
    58        2:o        2:o       1 (o,o,x,b,x,x,b,b,negative)
    59        2:o        2:o       1 (x,b,o,x,x,o,o,x,negative)
    60        2:o        2:o       1 (o,o,b,b,x,x,x,b,negative)
    61        2:o        2:o       1 (o,x,x,o,x,b,b,x,positive)
    62        2:o        2:o       1 (b,b,b,o,b,x,x,x,positive)
    63        2:o        2:o       1 (x,b,o,x,o,x,x,b,positive)
    64        2:o        2:o       1 (x,o,x,o,x,o,x,b,negative)
    65        2:o        2:o       1 (b,b,x,x,x,x,o,o,positive)
    66        2:o        2:o       1 (b,o,x,x,o,x,x,o,negative)
    67        2:o        2:o       1 (x,x,b,x,o,x,o,b,positive)
    68        2:o        2:o       1 (b,o,x,x,x,o,b,x,positive)
    69        2:o        2:o       1 (b,x,b,o,b,x,x,o,negative)
    70        2:o        2:o       1 (x,o,o,x,x,x,o,x,negative)
    71        2:o        2:o       1 (o,o,x,x,o,x,b,x,negative)
    72        2:o        2:o       1 (o,b,b,b,b,x,x,x,positive)
    73        2:o        2:o       1 (x,o,x,o,x,x,b,o,negative)
    74        2:o        2:o       1 (x,o,b,x,b,b,x,b,positive)
    75        2:o        2:o       1 (o,x,x,x,x,x,o,o,positive)
    76        2:o        2:o       1 (b,x,o,x,x,x,b,o,positive)
    77        2:o        2:o       1 (o,o,b,x,x,x,o,x,negative)
     1        3:b        3:b       1 (o,x,x,o,b,b,o,x,negative)
     2        3:b        3:b       1 (x,o,x,x,o,x,o,o,negative)
     3        3:b        3:b       1 (x,x,o,o,o,b,x,b,negative)
     4        3:b        3:b       1 (b,x,b,x,b,x,o,o,positive)
     5        3:b        3:b       1 (o,o,x,x,x,o,b,x,positive)
     6        3:b        3:b       1 (o,x,o,x,b,x,x,o,positive)
     7        3:b        3:b       1 (x,o,x,x,o,b,b,o,negative)
     8        3:b        3:b       1 (x,b,b,x,b,o,x,o,positive)
     9        3:b        3:b       1 (x,o,o,b,o,x,x,x,positive)
    10        3:b        3:b       1 (o,x,b,o,x,x,o,b,negative)
    11        3:b        3:b       1 (x,b,b,x,o,b,x,o,positive)
    12        3:b        3:b       1 (o,x,b,o,b,x,o,x,negative)
    13        3:b        3:b       1 (o,o,b,x,o,x,x,x,positive)
    14        3:b        3:b       1 (x,x,o,x,o,x,o,b,positive)
    15        3:b        3:b       1 (o,b,x,x,x,b,b,o,positive)
    16        3:b        3:b       1 (x,o,o,x,x,b,x,o,positive)
    17        3:b        3:b       1 (o,x,x,x,o,x,o,b,positive)
    18        3:b        3:b       1 (x,b,o,x,o,o,x,x,positive)
    19        3:b        3:b       1 (b,b,x,x,x,b,o,o,positive)
    20        3:b        3:b       1 (x,b,o,o,o,x,x,b,negative)
    21        1:x        1:x       1 (b,o,x,o,o,x,x,b,positive)
    22        1:x        1:x       1 (b,o,o,o,x,o,x,x,negative)
    23        1:x        1:x       1 (b,x,o,x,o,o,b,x,positive)
    24        1:x        1:x       1 (b,b,o,x,o,x,o,x,positive)
    25        1:x        1:x       1 (o,x,o,o,o,b,x,x,negative)
    26        1:x        3:b   +   0.859 (x,o,o,x,x,x,o,o,negative)
    27        1:x        1:x       1 (o,b,x,b,o,x,x,o,positive)
    28        1:x        1:x       1 (x,o,x,o,o,o,b,x,negative)
    29        1:x        1:x       1 (x,o,o,o,o,x,x,b,negative)
    30        1:x        1:x       1 (o,o,b,o,x,o,x,x,negative)
    31        1:x        1:x       1 (b,x,o,x,b,o,o,x,positive)
    32        1:x        1:x       1 (b,o,b,x,o,o,x,x,positive)
    33        1:x        1:x       1 (b,o,x,o,x,x,o,b,positive)
    34        1:x        1:x       1 (b,x,x,o,x,o,o,o,negative)
    35        1:x        1:x       1 (b,b,o,o,o,x,x,b,negative)
    36        1:x        1:x       1 (b,o,x,o,b,o,b,x,negative)
    37        1:x        1:x       1 (x,b,o,o,o,o,x,x,negative)
    38        1:x        1:x       1 (b,o,x,x,b,o,o,x,positive)
    39        1:x        1:x       1 (b,o,b,o,x,o,b,x,negative)
    40        1:x        1:x       1 (o,b,x,b,b,x,b,o,positive)
    41        1:x        1:x       1 (x,o,b,o,b,o,b,x,negative)
    42        1:x        1:x       1 (o,b,o,o,b,x,x,x,positive)
    43        1:x        1:x       1 (b,o,x,o,o,x,b,x,positive)
    44        2:o        2:o       1 (b,b,x,o,x,x,b,o,negative)
    45        2:o        2:o       1 (x,o,b,o,x,x,x,o,negative)
    46        2:o        2:o       1 (b,x,b,x,b,x,o,b,positive)
    47        2:o        2:o       1 (o,o,x,o,x,x,x,b,negative)
    48        2:o        2:o       1 (o,o,o,x,x,b,x,x,negative)
    49        2:o        2:o       1 (x,o,x,o,b,o,x,x,negative)
    50        2:o        2:o       1 (x,b,x,o,x,x,o,o,negative)
    51        2:o        2:o       1 (x,o,x,x,x,o,o,x,positive)
    52        2:o        2:o       1 (b,x,b,x,o,x,o,x,positive)
    53        2:o        2:o       1 (x,b,o,o,x,x,x,o,negative)
    54        2:o        2:o       1 (o,o,x,b,x,b,b,x,negative)
    55        2:o        2:o       1 (x,x,o,x,b,o,o,x,negative)
    56        2:o        2:o       1 (x,x,o,x,o,x,b,b,positive)
    57        2:o        2:o       1 (b,o,x,b,o,x,x,x,positive)
    58        2:o        2:o       1 (x,x,b,x,o,b,x,o,positive)
    59        2:o        2:o       1 (x,x,o,b,x,b,o,x,positive)
    60        2:o        2:o       1 (o,o,x,o,x,x,b,x,negative)
    61        2:o        2:o       1 (x,b,x,x,o,o,x,b,positive)
    62        2:o        2:o       1 (o,x,x,x,x,b,o,b,positive)
    63        2:o        2:o       1 (x,x,o,o,b,o,x,x,negative)
    64        2:o        2:o       1 (x,x,o,b,x,o,x,o,negative)
    65        2:o        2:o       1 (x,x,x,o,x,o,b,o,negative)
    66        2:o        2:o       1 (b,x,x,o,o,x,x,o,negative)
    67        2:o        2:o       1 (x,x,o,x,o,o,b,x,negative)
    68        2:o        2:o       1 (x,x,o,x,b,x,b,o,positive)
    69        2:o        2:o       1 (o,x,o,b,x,x,b,x,positive)
    70        2:o        2:o       1 (b,b,x,x,x,b,o,b,positive)
    71        2:o        2:o       1 (x,x,o,o,x,x,o,x,positive)
    72        2:o        2:o       1 (b,x,x,x,o,x,o,b,positive)
    73        2:o        2:o       1 (o,o,x,o,x,b,x,x,negative)
    74        2:o        2:o       1 (b,x,b,x,x,o,o,x,positive)
    75        2:o        2:o       1 (b,b,o,x,x,o,b,x,negative)
    76        2:o        2:o       1 (b,x,x,o,x,x,o,o,negative)
     1        3:b        3:b       1 (o,b,o,o,x,x,x,x,positive)
     2        3:b        3:b       1 (b,o,x,x,x,b,b,o,positive)
     3        3:b        3:b       1 (o,b,o,b,b,x,x,x,positive)
     4        3:b        3:b       1 (x,x,b,b,x,o,o,o,negative)
     5        3:b        3:b       1 (o,o,x,x,x,x,o,b,positive)
     6        3:b        3:b       1 (b,o,x,x,x,o,x,o,positive)
     7        3:b        3:b       1 (b,x,b,b,x,o,o,x,positive)
     8        3:b        3:b       1 (b,x,o,x,o,x,o,x,positive)
     9        3:b        3:b       1 (o,o,x,x,x,b,x,o,positive)
    10        3:b        3:b       1 (o,b,x,x,x,o,b,b,positive)
    11        3:b        3:b       1 (x,o,x,b,o,b,x,o,negative)
    12        3:b        3:b       1 (o,b,b,o,b,x,x,x,positive)
    13        3:b        1:x   +   0.775 (o,o,x,o,x,o,x,x,negative)
    14        3:b        3:b       1 (o,b,x,x,x,o,x,o,positive)
    15        3:b        3:b       1 (o,x,b,x,x,o,o,x,positive)
    16        3:b        3:b       1 (o,o,x,x,x,b,b,b,positive)
    17        3:b        3:b       1 (x,x,b,o,x,o,o,x,positive)
    18        3:b        3:b       1 (o,x,b,b,x,b,o,x,positive)
    19        3:b        3:b       0.901 (o,x,x,o,o,x,o,x,negative)
    20        3:b        3:b       1 (x,x,b,x,b,o,o,o,negative)
    21        1:x        1:x       1 (b,o,x,x,o,b,o,x,positive)
    22        1:x        1:x       1 (b,o,b,x,o,b,b,x,positive)
    23        1:x        1:x       1 (b,o,x,x,b,x,o,o,positive)
    24        1:x        1:x       1 (o,b,b,x,b,o,b,x,positive)
    25        1:x        1:x       1 (b,o,b,x,o,x,b,o,negative)
    26        1:x        1:x       1 (x,b,x,b,b,o,o,o,negative)
    27        1:x        1:x       1 (x,o,b,o,x,o,b,b,negative)
    28        1:x        1:x       1 (b,o,o,x,x,o,b,x,positive)
    29        1:x        1:x       1 (o,b,b,x,o,b,b,x,positive)
    30        1:x        1:x       1 (o,b,o,x,b,o,x,x,positive)
    31        1:x        1:x       1 (b,o,x,x,o,o,b,x,positive)
    32        1:x        1:x       1 (b,o,b,o,b,o,x,x,negative)
    33        1:x        1:x       1 (o,b,b,x,o,o,x,x,positive)
    34        1:x        1:x       1 (x,o,x,b,o,o,x,o,negative)
    35        1:x        1:x       1 (o,x,x,o,b,b,o,b,negative)
    36        1:x        1:x       1 (b,o,o,x,b,b,b,x,positive)
    37        1:x        1:x       1 (x,o,b,o,b,o,x,b,negative)
    38        1:x        1:x       1 (o,x,o,o,o,x,b,x,negative)
    39        1:x        1:x       1 (o,b,o,b,o,x,x,x,positive)
    40        1:x        1:x       1 (b,o,x,b,x,x,o,o,positive)
    41        1:x        1:x       1 (b,o,o,x,b,o,x,x,positive)
    42        1:x        1:x       1 (b,o,x,x,o,b,b,o,negative)
    43        1:x        1:x       1 (o,b,b,x,x,o,o,x,positive)
    44        2:o        2:o       1 (x,o,o,x,b,b,x,x,positive)
    45        2:o        2:o       1 (x,b,x,o,b,b,x,o,negative)
    46        2:o        2:o       1 (x,b,o,x,o,b,x,x,positive)
    47        2:o        2:o       1 (x,b,b,x,o,x,x,o,positive)
    48        2:o        2:o       1 (b,x,x,b,x,o,o,x,positive)
    49        2:o        2:o       1 (x,o,x,x,o,x,b,o,negative)
    50        2:o        2:o       1 (o,x,b,b,x,o,x,x,positive)
    51        2:o        2:o       1 (o,x,b,b,o,x,x,x,positive)
    52        2:o        2:o       1 (x,o,b,x,x,o,x,b,positive)
    53        2:o        2:o       1 (x,b,o,b,o,x,x,x,positive)
    54        2:o        2:o       1 (o,x,o,x,x,b,b,x,positive)
    55        2:o        2:o       1 (b,b,x,x,x,o,b,b,positive)
    56        2:o        2:o       1 (o,x,x,x,x,o,b,b,positive)
    57        2:o        2:o       1 (x,x,o,o,o,x,x,b,negative)
    58        2:o        2:o       1 (o,x,b,o,x,x,x,o,negative)
    59        2:o        2:o       1 (b,x,b,o,x,b,x,o,negative)
    60        2:o        2:o       1 (b,x,x,x,o,x,b,o,positive)
    61        2:o        2:o       1 (x,x,x,o,b,b,b,o,negative)
    62        2:o        2:o       1 (b,x,x,o,b,x,b,o,negative)
    63        2:o        2:o       1 (b,b,o,x,x,o,x,b,negative)
    64        2:o        2:o       1 (b,x,x,o,x,b,b,o,negative)
    65        2:o        2:o       1 (x,x,o,x,x,x,o,o,positive)
    66        2:o        2:o       1 (x,x,o,x,b,x,o,b,positive)
    67        2:o        2:o       1 (o,x,x,o,x,x,b,o,negative)
    68        2:o        2:o       1 (x,o,o,x,o,x,x,x,positive)
    69        2:o        2:o       1 (x,o,x,b,o,x,x,o,negative)
    70        2:o        2:o       1 (x,x,b,o,o,x,x,o,negative)
    71        2:o        2:o       1 (x,x,o,o,o,b,x,x,negative)
    72        2:o        2:o       1 (o,x,x,x,b,x,o,b,positive)
    73        2:o        2:o       1 (b,b,x,x,x,o,x,o,positive)
    74        2:o        2:o       1 (b,x,o,b,o,x,x,x,positive)
    75        2:o        2:o       1 (b,x,b,o,x,x,o,x,positive)
    76        2:o        2:o       1 (o,x,b,x,x,b,o,x,positive)
     1        3:b        3:b       1 (x,o,b,x,o,o,x,x,positive)
     2        3:b        3:b       0.813 (x,x,o,o,o,x,o,x,negative)
     3        3:b        3:b       1 (x,x,x,o,x,o,o,o,negative)
     4        3:b        3:b       1 (b,x,b,o,x,b,o,x,positive)
     5        3:b        3:b       1 (o,x,o,x,o,x,b,x,positive)
     6        3:b        3:b       1 (x,o,b,o,o,x,x,x,positive)
     7        3:b        3:b       1 (b,b,x,x,x,o,o,b,positive)
     8        3:b        3:b       1 (b,o,x,o,o,x,x,x,positive)
     9        3:b        3:b       1 (o,x,o,o,x,x,b,x,positive)
    10        3:b        3:b       1 (x,o,x,x,x,o,o,b,positive)
    11        3:b        3:b       0.999 (o,o,o,b,x,x,x,x,positive)
    12        3:b        3:b       1 (o,x,x,x,o,x,b,o,positive)
    13        3:b        3:b       1 (b,x,o,x,b,x,o,b,positive)
    14        3:b        3:b       1 (o,b,x,o,x,x,o,b,negative)
    15        3:b        3:b       1 (o,x,b,x,o,x,x,o,positive)
    16        3:b        3:b       1 (x,o,o,o,b,x,x,x,positive)
    17        3:b        3:b       1 (b,x,o,x,x,x,o,o,positive)
    18        3:b        3:b       1 (o,x,b,x,o,x,b,b,positive)
    19        3:b        3:b       1 (x,x,b,x,o,x,o,o,positive)
    20        3:b        3:b       1 (x,b,o,x,b,o,x,b,positive)
    21        1:x        1:x       1 (b,o,x,x,x,o,o,b,positive)
    22        1:x        1:x       1 (o,b,x,o,x,x,b,o,positive)
    23        1:x        3:b   +   0.591 (x,o,o,o,x,x,x,o,negative)
    24        1:x        1:x       1 (o,b,x,o,x,o,o,x,negative)
    25        1:x        1:x       1 (x,b,o,o,o,x,b,b,negative)
    26        1:x        1:x       1 (b,o,x,b,o,x,b,b,positive)
    27        1:x        1:x       1 (o,b,x,x,b,o,o,x,positive)
    28        1:x        1:x       1 (x,o,o,o,o,x,b,x,negative)
    29        1:x        1:x       1 (x,o,b,o,x,o,o,x,negative)
    30        1:x        1:x       1 (x,o,o,b,o,x,x,o,negative)
    31        1:x        1:x       1 (x,o,x,o,x,o,b,o,negative)
    32        1:x        1:x       1 (b,b,x,o,x,x,o,o,positive)
    33        1:x        1:x       1 (b,o,o,x,o,x,b,x,positive)
    34        1:x        1:x       1 (b,x,o,o,o,b,b,x,negative)
    35        1:x        1:x       1 (b,o,o,x,o,x,x,o,negative)
    36        1:x        1:x       1 (x,o,b,b,o,x,b,o,negative)
    37        1:x        1:x       1 (x,o,o,o,o,b,x,x,negative)
    38        1:x        3:b   +   0.781 (o,x,x,x,o,o,x,o,negative)
    39        1:x        1:x       1 (o,b,o,x,o,b,x,x,positive)
    40        1:x        1:x       1 (b,o,x,o,x,x,b,o,positive)
    41        1:x        1:x       1 (o,b,x,b,o,x,b,b,positive)
    42        1:x        1:x       1 (x,o,o,o,x,o,b,x,negative)
    43        1:x        1:x       1 (o,b,x,x,o,b,o,x,positive)
    44        2:o        2:o       1 (x,o,b,x,o,x,x,b,positive)
    45        2:o        2:o       1 (o,o,x,b,x,x,o,x,negative)
    46        2:o        2:o       1 (b,x,b,o,o,x,x,x,positive)
    47        2:o        2:o       1 (x,x,o,o,x,o,x,b,negative)
    48        2:o        2:o       1 (b,o,x,o,x,o,x,x,negative)
    49        2:o        2:o       1 (b,b,b,o,x,x,x,o,negative)
    50        2:o        2:o       1 (x,o,x,x,x,o,x,o,positive)
    51        2:o        2:o       1 (x,x,o,b,x,o,b,b,negative)
    52        2:o        2:o       1 (x,b,o,x,x,b,x,o,positive)
    53        2:o        2:o       1 (o,o,x,b,x,b,x,b,negative)
    54        2:o        2:o       1 (b,x,o,x,b,x,b,b,positive)
    55        2:o        2:o       1 (x,x,o,x,o,b,x,b,positive)
    56        2:o        2:o       1 (b,o,x,x,x,b,x,o,positive)
    57        2:o        2:o       1 (b,x,b,o,x,o,x,x,positive)
    58        2:o        2:o       1 (x,b,b,x,b,b,x,o,positive)
    59        2:o        2:o       1 (x,o,x,x,x,b,b,o,positive)
    60        2:o        2:o       1 (x,b,x,x,x,b,o,o,positive)
    61        2:o        2:o       1 (o,o,x,b,x,x,x,o,negative)
    62        2:o        2:o       1 (o,x,o,x,x,o,x,b,negative)
    63        2:o        2:o       1 (x,x,o,o,x,b,x,o,negative)
    64        2:o        2:o       1 (x,x,b,x,b,x,o,o,positive)
    65        2:o        2:o       1 (x,x,b,x,o,o,x,b,positive)
    66        2:o        2:o       1 (b,x,o,b,b,o,x,x,negative)
    67        2:o        2:o       1 (o,x,b,x,b,x,x,o,positive)
    68        2:o        2:o       1 (x,b,x,o,o,x,x,o,negative)
    69        2:o        2:o       1 (b,x,o,b,x,o,x,b,negative)
    70        2:o        2:o       1 (o,b,x,b,o,x,x,x,positive)
    71        2:o        2:o       1 (x,b,b,o,o,x,x,x,positive)
    72        2:o        2:o       1 (x,o,b,b,o,x,x,x,positive)
    73        2:o        2:o       1 (b,x,o,o,x,x,b,x,positive)
    74        2:o        2:o       1 (o,x,o,x,b,x,b,x,positive)
    75        2:o        2:o       1 (x,b,b,x,b,o,x,b,positive)
    76        2:o        2:o       1 (x,o,o,x,b,x,x,b,positive)
     1        3:b        3:b       1 (b,b,b,o,o,x,x,x,positive)
     2        3:b        3:b       1 (x,o,x,o,x,o,o,x,negative)
     3        3:b        3:b       1 (b,o,x,x,x,b,o,b,positive)
     4        3:b        3:b       1 (x,x,o,x,o,b,x,o,positive)
     5        3:b        1:x   +   0.992 (o,o,x,x,o,x,x,o,negative)
     6        3:b        3:b       1 (x,o,b,o,x,o,x,b,negative)
     7        3:b        3:b       1 (o,o,x,b,o,x,x,x,positive)
     8        3:b        3:b       1 (o,x,b,x,b,x,o,b,positive)
     9        3:b        3:b       1 (x,o,x,o,x,o,x,o,negative)
    10        3:b        3:b       1 (o,x,o,b,x,b,b,x,positive)
    11        3:b        3:b       1 (b,o,b,x,o,x,x,o,negative)
    12        3:b        3:b       1 (x,o,x,x,x,b,o,o,positive)
    13        3:b        3:b       1 (b,x,x,b,x,o,o,o,negative)
    14        3:b        3:b       1 (b,o,x,x,o,b,x,o,negative)
    15        3:b        3:b       1 (x,b,x,b,x,o,o,o,negative)
    16        3:b        3:b       1 (o,x,b,x,o,x,o,x,positive)
    17        3:b        3:b       1 (o,b,x,x,x,b,o,b,positive)
    18        3:b        3:b       1 (b,x,x,o,x,o,o,x,positive)
    19        3:b        3:b       1 (x,o,x,x,b,o,x,o,positive)
    20        3:b        3:b       1 (x,b,o,x,x,o,x,o,positive)
    21        1:x        1:x       1 (o,b,b,o,x,x,o,b,negative)
    22        1:x        1:x       1 (x,b,o,o,o,x,x,o,negative)
    23        1:x        1:x       1 (o,b,x,o,o,x,b,x,positive)
    24        1:x        1:x       1 (o,b,x,b,x,x,o,o,positive)
    25        1:x        1:x       1 (x,b,x,x,o,o,o,o,negative)
    26        1:x        1:x       1 (b,o,x,o,x,o,x,o,negative)
    27        1:x        1:x       1 (x,o,x,o,b,o,x,o,negative)
    28        1:x        1:x       1 (b,o,o,x,x,b,o,x,positive)
    29        1:x        1:x       1 (b,o,b,x,b,o,b,x,positive)
    30        1:x        1:x       1 (b,x,x,b,b,o,o,o,negative)
    31        1:x        1:x       1 (o,x,x,b,x,o,o,o,negative)
    32        1:x        1:x       1 (b,x,o,x,o,b,o,x,positive)
    33        1:x        1:x       1 (b,x,o,o,x,b,o,x,positive)
    34        1:x        1:x       1 (x,o,x,o,b,o,b,b,negative)
    35        1:x        1:x       1 (x,o,x,b,o,b,b,o,negative)
    36        1:x        1:x       1 (b,o,x,b,b,x,o,b,positive)
    37        1:x        1:x       1 (o,x,o,o,b,x,o,x,negative)
    38        1:x        1:x       1 (o,b,o,x,x,o,b,x,positive)
    39        1:x        1:x       1 (o,x,b,o,b,x,o,b,negative)
    40        1:x        1:x       1 (x,b,o,o,o,x,o,x,negative)
    41        1:x        1:x       1 (o,b,o,x,b,x,o,x,positive)
    42        1:x        1:x       1 (b,x,o,o,x,o,b,x,positive)
    43        1:x        1:x       1 (b,o,x,b,o,x,o,x,positive)
    44        2:o        2:o       1 (b,x,x,o,x,b,o,x,positive)
    45        2:o        2:o       1 (o,o,b,x,b,b,x,x,negative)
    46        2:o        2:o       1 (o,o,x,b,b,b,x,x,negative)
    47        2:o        2:o       1 (o,o,b,x,b,x,b,x,negative)
    48        2:o        2:o       1 (x,x,b,b,x,o,o,x,positive)
    49        2:o        2:o       1 (x,x,b,o,x,x,o,o,negative)
    50        2:o        2:o       1 (b,x,b,x,o,x,x,o,positive)
    51        2:o        2:o       1 (o,x,o,b,b,x,x,x,positive)
    52        2:o        2:o       1 (o,b,o,x,b,x,x,x,positive)
    53        2:o        2:o       1 (o,o,b,x,x,b,b,x,negative)
    54        2:o        2:o       1 (o,x,o,x,x,x,o,x,positive)
    55        2:o        2:o       1 (o,x,x,x,b,x,b,o,positive)
    56        2:o        2:o       1 (x,o,b,o,x,o,x,x,negative)
    57        2:o        2:o       1 (o,o,x,x,b,x,x,o,negative)
    58        2:o        2:o       1 (o,x,x,b,x,b,o,x,positive)
    59        2:o        2:o       1 (b,b,o,b,x,o,x,x,negative)
    60        2:o        2:o       1 (b,b,b,b,o,x,x,x,positive)
    61        2:o        2:o       1 (x,b,x,x,o,b,x,o,positive)
    62        2:o        2:o       1 (o,o,x,x,b,x,b,b,negative)
    63        2:o        2:o       1 (x,b,o,o,b,x,x,x,positive)
    64        2:o        2:o       1 (x,x,o,o,b,x,x,o,negative)
    65        2:o        2:o       1 (o,x,x,o,b,x,x,o,negative)
    66        2:o        2:o       1 (o,b,b,o,x,x,x,x,positive)
    67        2:o        2:o       1 (x,b,o,x,x,o,b,b,negative)
    68        2:o        2:o       1 (b,x,x,x,x,b,o,o,positive)
    69        2:o        2:o       1 (o,x,b,x,x,o,b,x,positive)
    70        2:o        2:o       1 (o,x,x,o,b,x,o,x,negative)
    71        2:o        2:o       0.989 (b,b,x,o,o,x,x,x,positive)
    72        2:o        2:o       1 (x,x,o,b,b,o,x,b,negative)
    73        2:o        2:o       1 (o,x,b,o,b,x,x,x,positive)
    74        2:o        2:o       1 (x,x,o,o,x,x,b,o,negative)
    75        2:o        2:o       1 (x,b,b,x,o,o,x,x,positive)
    76        2:o        2:o       1 (x,o,o,b,x,o,x,x,negative)

