

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2)
    25       3:pp       3:pp       0.25 (NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85)
    26       3:pp       3:pp       0.25 (LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42)
     1       2:im       2:im       0.25 (PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82)
     2       2:im       2:im       0.25 (PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78)
     3       2:im       2:im       0.25 (ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8)
     4       2:im       2:im       0.25 (MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81)
     5       2:im       2:im       0.25 (GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86)
     6       2:im       2:im       0.25 (CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8)
     7       2:im       2:im       0.25 (SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68)
     8       5:om       2:im   +   0.214 (FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28)
     9       5:om       1:cp   +   0.25 (BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45)
    10       1:cp       1:cp       0.25 (SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37)
    11       1:cp       1:cp       0.25 (SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42)
    12       1:cp       1:cp       0.25 (OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36)
    13       1:cp       2:im   +   0.25 (SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26)
    14       1:cp       1:cp       0.25 (SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27)
    15       1:cp       1:cp       0.25 (PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53)
    16       1:cp       3:pp   +   0.25 (SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47)
    17       1:cp       1:cp       0.25 (PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43)
    18      4:imU       2:im   +   0.25 (MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9)
    19      4:imU       2:im   +   0.25 (CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7)
    20      4:imU      4:imU       0.25 (FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68)
    21       3:pp       3:pp       0.25 (ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36)
    22       3:pp       2:im   +   0.25 (ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31)
    23       3:pp       2:im   +   0.25 (C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21)
    24       3:pp       3:pp       0.25 (OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26)
    25       3:pp       3:pp       0.25 (TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3)
    26       3:pp       3:pp       0.25 (ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19)

