

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (OBJNUM,TYPE,XX1,YY1,XX2,YY2,SIZE,DIAG)
   964        4:E        4:E       0.663 (0,line,0,0,0,14,14,34.99)
   965        4:E        4:E       0.488 (2,line,0,22,12,21,12.04,56.04)
   966        4:E        7:H   +   0.433 (2,line,0,19,19,20,19.03,41.59)
   967        4:E       10:R   +   0.576 (3,line,0,37,19,37,19,49.04)
   968        4:E        4:E       0.876 (2,line,0,16,29,16,29,48.92)
   969        4:E        4:E       0.743 (2,line,0,24,37,23,37.01,62.01)
   970        4:E        4:E       0.941 (3,line,1,20,20,18,19.1,28.28)
   971        4:E        5:F   +   0.273 (0,line,0,0,0,13,13,46.69)
   972        4:E        4:E       0.713 (2,line,0,15,15,13,15.13,43.93)
   973        4:E        4:E       0.374 (3,line,1,46,42,47,41.01,63.03)
   974        4:E        4:E       0.726 (2,line,0,23,37,24,37.01,56.73)
   975        4:E        8:L   +   0.509 (0,line,0,0,0,8,8,29)
   976        4:E        5:F   +   0.43 (1,line,0,21,2,42,21.1,55.97)
   977        4:E        4:E       0.403 (1,line,0,15,1,31,16.03,41.77)
   978        4:E        7:H   +   0.397 (2,line,0,21,14,22,14.04,37.12)
   979        4:E        8:L   +   0.592 (0,line,0,0,0,12,12,33.84)
   980        4:E        4:E       0.964 (4,line,0,0,13,0,13,19.1)
   981        4:E        4:E       0.655 (2,line,0,22,6,21,6.08,42.95)
   982        4:E        7:H   +   0.59 (2,line,0,8,12,6,12.17,33.24)
   983        4:E        5:F   +   0.352 (0,line,0,0,0,21,21,57.28)
   984        4:E        5:F   +   0.6 (3,line,2,33,34,32,32.02,47.38)
   985        4:E       10:R   +   0.464 (3,line,0,31,7,31,7,44.6)
   986        4:E        4:E       0.754 (0,line,0,0,0,24,24,59.41)
   987        4:E        4:E       0.453 (0,line,0,0,0,14,14,26.91)
   988        4:E        4:E       0.463 (1,line,0,25,1,49,24.02,56.44)
   989        4:E        4:E       0.976 (4,line,0,0,13,0,13,49.68)
   990        4:E        4:E       0.975 (4,line,0,0,21,-1,21.02,38.95)
   991        4:E        4:E       0.446 (3,line,0,35,14,33,14.14,41.34)
   992        4:E        8:L   +   0.318 (0,line,0,0,0,10,10,24.6)
   993        4:E        7:H   +   0.523 (2,line,0,17,24,17,24,40.8)
   994        4:E        8:L   +   0.303 (0,line,0,0,0,12,12,37.44)
   995        4:E        4:E       0.988 (4,line,0,0,12,-1,12.04,44.2)
   996        4:E        4:E       0.694 (3,line,1,28,7,27,6.08,35.61)
   997        4:E        8:L   +   0.58 (0,line,0,0,0,13,13,27.66)
   998        4:E        8:L   +   0.499 (0,line,0,0,0,17,17,36.88)
   999        4:E        8:L   +   0.472 (0,line,0,0,0,18,18,43.6)
  1000        4:E        4:E       0.481 (1,line,0,15,1,28,13.04,40.36)
  1001        4:E        4:E       0.984 (4,line,0,0,9,2,9.22,31.4)
  1002        4:E        4:E       0.343 (0,line,0,0,0,13,13,47.17)
  1003        4:E        5:F   +   0.545 (2,line,0,18,26,19,26.02,43.6)
  1004        4:E        5:F   +   0.573 (1,line,0,19,1,38,19.03,49.82)
  1005        4:E        4:E       0.975 (4,line,0,0,9,-2,9.22,25.63)
  1006        4:E        4:E       0.339 (0,line,0,0,0,7,7,21.95)
  1007        4:E        4:E       0.372 (1,line,0,13,0,28,15,38.21)
  1008        4:E        4:E       0.968 (4,line,0,0,23,0,23,40.22)
  1009        4:E        4:E       0.945 (4,line,0,0,18,0,18,29.21)
  1010        4:E        5:F   +   0.351 (1,line,0,20,1,27,7.07,36.8)
  1011        4:E        4:E       0.589 (2,line,0,24,30,24,30,48.17)
  1012        4:E        7:H   +   0.521 (2,line,0,7,10,8,10.05,31.62)
  1013        4:E        8:L   +   0.359 (0,line,0,0,0,9,9,26.08)
  1014        4:E        8:L   +   0.533 (0,line,0,0,0,15,15,34.41)
  1015        4:E        5:F   +   0.471 (1,line,0,12,1,23,11.05,29.21)
  1016        4:E        4:E       0.91 (3,line,1,21,15,19,14.14,27.02)
  1017        4:E        4:E       0.475 (1,line,0,20,2,40,20.1,56.59)
  1018        4:E        9:P   +   0.623 (3,line,2,37,13,35,11.18,48.27)
  1019        4:E        4:E       0.964 (4,line,0,0,22,-1,22.02,36.8)
  1020        4:E        5:F   +   0.502 (1,line,0,12,2,29,17.12,41.04)
  1021        4:E        8:L   +   0.71 (0,line,0,0,0,22,22,50.25)
  1022        4:E        8:L   +   0.502 (0,line,0,0,0,16,16,50.21)
  1023        4:E        4:E       0.416 (0,line,0,0,0,12,12,31.24)
  1024        4:E        9:P   +   0.522 (3,line,2,33,17,31,15.13,43.93)
  1025        4:E        5:F   +   0.796 (2,line,0,25,38,26,38.01,55.87)
  1026        4:E        5:F   +   0.424 (2,line,0,19,7,17,7.28,49.4)
  1027        4:E        5:F   +   0.515 (2,line,0,21,16,23,16.12,39.45)
  1028        4:E        4:E       0.617 (3,line,0,37,14,36,14.04,48.92)
  1029        4:E        4:E       0.992 (4,line,0,0,6,1,6.08,31.91)
  1030        4:E        7:H   +   0.749 (2,line,0,17,17,15,17.12,42.72)
  1031        4:E        4:E       0.987 (4,line,0,0,22,0,22,40.36)
  1032        4:E        4:E       1 (4,line,0,0,28,-2,28.07,55.57)
  1033        4:E        4:E       0.422 (2,line,0,13,23,15,23.09,37.64)
  1034        4:E        4:E       0.409 (3,line,2,27,12,26,10.05,32.25)
  1035        4:E        4:E       0.526 (1,line,0,19,2,38,19.1,44.78)
  1036        4:E        4:E       0.415 (0,line,0,0,0,21,21,55.47)
  1037        4:E        8:L   +   0.233 (1,line,0,17,0,37,20,47.01)
  1038        4:E        8:L   +   0.387 (0,line,0,0,0,7,7,29)
  1039        4:E        4:E       0.867 (3,line,0,33,20,31,20.1,46.01)
  1040        4:E        4:E       0.433 (3,line,1,45,33,45,32,63.03)
  1041        4:E        5:F   +   0.521 (2,line,0,18,9,16,9.22,41.04)
  1042        4:E        4:E       0.414 (0,line,0,0,0,23,23,64.54)
  1043        4:E        9:P   +   0.366 (1,line,0,20,1,45,25.02,57.01)
  1044        4:E        5:F   +   0.517 (2,line,0,16,15,14,15.13,47.42)
  1045        4:E        7:H   +   0.441 (0,line,0,0,0,7,7,37.8)
  1046        4:E        4:E       0.466 (1,line,0,20,1,34,14.04,39.82)
  1047        4:E        4:E       0.978 (4,line,0,0,16,0,16,24.84)
  1048        4:E        8:L   +   0.831 (0,line,0,0,0,19,19,42.01)
  1049        4:E        8:L   +   0.62 (0,line,0,0,0,17,17,50)
  1050        4:E        4:E       0.541 (1,line,0,22,1,38,16.03,47.41)
  1051        4:E        4:E       0.578 (1,line,0,23,1,38,15.03,50.33)
  1052        4:E        4:E       0.999 (4,line,0,0,37,-2,37.05,63.03)
  1053        4:E        4:E       0.5 (3,line,0,34,6,34,6,42.2)
  1054        4:E        4:E       0.356 (1,line,0,22,1,33,11.05,40.22)
  1055        4:E        4:E       0.667 (4,line,0,0,21,0,21,36.62)
  1056        4:E        4:E       0.605 (0,line,0,0,0,21,21,53.81)
  1057        4:E        8:L   +   0.511 (0,line,0,0,0,12,12,50.21)
  1058        4:E        5:F   +   0.521 (2,line,0,17,20,17,20,51.62)
  1059        4:E       10:R   +   0.454 (3,line,0,42,38,41,38.01,58)
  1060        4:E        4:E       0.978 (4,line,0,0,14,0,14,43.19)
  1061        4:E        4:E       0.799 (2,line,0,24,26,24,26,44.41)
  1062        4:E        8:L   +   0.725 (0,line,0,0,0,23,23,39.62)
  1063        4:E       10:R   +   0.537 (3,line,2,30,22,30,20,42.45)
  1064        4:E        6:G   +   0.547 (2,line,0,6,10,4,10.2,37.54)
  1065        4:E        4:E       0.518 (3,line,0,31,28,31,28,41.77)
  1066        4:E        4:E       0.77 (1,line,0,16,1,37,21.02,48.6)
  1067        4:E        8:L   +   0.439 (0,line,0,0,0,20,20,31.91)
  1068        4:E        7:H   +   0.472 (2,line,0,10,9,8,9.22,38.91)
  1069        4:E        4:E       0.992 (4,line,0,0,18,2,18.11,26.91)
  1070        4:E        5:F   +   0.542 (1,line,0,13,2,24,11.18,35.36)
  1071        4:E        4:E       0.996 (4,line,0,0,20,1,20.02,42.2)
  1072        4:E        4:E       0.88 (4,line,0,0,11,0,11,19.42)
  1073        4:E        5:F   +   0.309 (0,line,0,0,0,8,8,29.73)
  1074        4:E        6:G   +   0.757 (2,line,0,8,10,8,10,22.8)
  1075        4:E        5:F   +   0.47 (1,line,0,14,2,32,18.11,45.28)
  1076        4:E        9:P   +   0.386 (3,line,1,31,21,31,20,37.44)
  1077        4:E        5:F   +   0.587 (2,line,0,21,8,21,8,44.6)
  1078        4:E        4:E       0.248 (1,line,0,20,2,36,16.12,42.19)
  1079        4:E        9:P   +   0.499 (3,line,2,34,21,35,19.03,41.34)
  1080        4:E        3:D   +   0.529 (1,line,0,14,0,24,10,26.83)
  1081        4:E        7:H   +   0.609 (2,line,0,8,15,7,15.03,31.4)
  1082        4:E        4:E       0.996 (4,line,0,0,16,1,16.03,44.41)
  1083        4:E        4:E       0.388 (0,line,0,0,0,10,10,30.23)
  1084        4:E        4:E       0.993 (4,line,0,0,30,0,30,45.34)
  1085        4:E        4:E       0.997 (4,line,0,0,29,2,29.07,41.73)
  1086        4:E        5:F   +   0.71 (1,line,0,14,1,39,25.02,54.56)
  1087        4:E        4:E       0.686 (0,line,0,0,0,16,16,51.66)
  1088        4:E        3:D   +   0.484 (4,line,0,0,11,0,11,40.25)
  1089        4:E        7:H   +   0.337 (0,line,0,0,0,11,11,26.25)
  1090        4:E        8:L   +   0.393 (0,line,0,0,0,9,9,27.02)
  1091        4:E        5:F   +   0.661 (1,line,0,20,2,43,23.09,58.05)
  1092        4:E        4:E       0.586 (0,line,0,0,0,23,23,54.2)
  1093        4:E        4:E       0.952 (4,line,0,0,17,0,17,27.8)
  1094        4:E        7:H   +   0.501 (2,line,0,16,9,16,9,36.06)
  1095       10:R        9:P   +   0.375 (1,line,0,22,0,41,19,50.22)
  1096       10:R       10:R       0.926 (5,line,0,31,14,0,34.01,60.64)
  1097       10:R        9:P   +   0.729 (0,line,0,0,0,36,36,53.67)
  1098       10:R        5:F   +   0.338 (1,line,1,24,1,33,9,37.12)
  1099       10:R        3:D   +   0.767 (5,line,0,12,12,0,16.97,38.9)
  1100       10:R       10:R       0.919 (5,line,0,11,11,0,15.56,33.62)
  1101       10:R       10:R       0.999 (6,line,0,6,18,0,18.97,49.2)
  1102       10:R       10:R       0.403 (1,line,2,27,2,36,9,36.88)
  1103       10:R        8:L   +   0.72 (0,line,0,0,2,34,34.06,56.3)
  1104       10:R       10:R       0.603 (2,line,2,49,26,39,26,55.47)
  1105       10:R       10:R       0.98 (5,line,0,17,11,0,20.25,47.89)
  1106       10:R        3:D   +   0.685 (5,line,0,11,7,0,13.04,31.3)
  1107       10:R       10:R       0.85 (2,line,0,53,17,42,20.25,55.66)
  1108       10:R        8:L   +   0.496 (0,line,0,0,2,21,21.1,36.77)
  1109       10:R        6:G   +   0.515 (4,line,29,19,0,9,30.68,46.23)
  1110       10:R       10:R       0.903 (2,line,1,38,14,35,13.34,42.05)
  1111       10:R        8:L   +   0.477 (0,line,0,0,0,20,20,41.88)
  1112       10:R       10:R       0.918 (5,line,18,36,15,32,5,53.14)
  1113       10:R       10:R       0.401 (5,line,24,20,0,6,27.78,67.98)
  1114       10:R        9:P   +   0.464 (3,line,24,32,24,19,13,49.24)
  1115       10:R       10:R       0.487 (1,line,0,30,0,46,16,49.4)
  1116       10:R       10:R       0.58 (0,line,0,0,1,38,38.01,57.25)
  1117       10:R       10:R       0.931 (1,line,2,30,2,49,19,52.55)
  1118       10:R       10:R       0.633 (6,line,9,18,0,12,10.82,49.77)
  1119       10:R       10:R       0.433 (2,line,0,56,41,40,44.01,69.4)
  1120       10:R       10:R       0.901 (1,line,1,29,1,35,6,36.14)
  1121       10:R        9:P   +   0.499 (2,line,0,39,17,35,17.46,44.29)
  1122       10:R        9:P   +   0.534 (3,line,7,36,7,30,6,40.02)
  1123       10:R       10:R       0.334 (2,line,1,36,13,35,12.04,40.71)
  1124       10:R       10:R       0.735 (4,line,20,35,20,22,13,50.16)
  1125       10:R       10:R       0.713 (4,line,22,37,22,22,15,54.63)
  1126       10:R       10:R       0.837 (2,line,1,51,14,42,15.81,53.76)
  1127       10:R       10:R       0.589 (0,line,0,0,0,37,37,55.11)
  1128       10:R        3:D   +   0.782 (5,line,16,21,7,16,10.3,40.31)
  1129       10:R       10:R       0.909 (5,line,14,37,0,29,16.12,59.91)
  1130       10:R       10:R       0.625 (5,line,12,35,0,28,13.89,55.79)
  1131       10:R       10:R       0.338 (1,line,0,20,0,30,10,34.48)
  1132       10:R        6:G   +   0.413 (2,line,0,27,4,24,5,27.29)
  1133       10:R       10:R       0.415 (6,line,10,13,0,6,12.21,50.09)
  1134       10:R       10:R       0.616 (3,line,12,53,25,45,15.26,65.92)
  1135       10:R       10:R       0.945 (2,line,1,52,10,48,9.85,62.13)
  1136       10:R       10:R       0.885 (6,line,27,13,0,6,27.89,52.15)
  1137       10:R        9:P   +   0.506 (3,line,6,36,21,32,15.52,43.42)
  1138       10:R       10:R       0.819 (4,line,17,29,17,18,11,42.54)
  1139       10:R        5:F   +   0.462 (0,line,0,0,2,22,22.09,40.31)
  1140       10:R       10:R       0.999 (6,line,0,6,25,0,25.71,69.81)
  1141       10:R       10:R       0.644 (2,line,0,47,17,36,20.25,50.33)
  1142       10:R       10:R       0.993 (5,line,0,6,20,0,20.88,53.31)
  1143       10:R       10:R       0.683 (4,line,13,29,10,22,7.62,43.01)
  1144       10:R        4:E   +   0.6 (1,line,2,21,2,40,19,44.28)
  1145       10:R       10:R       0.865 (3,line,16,35,16,23,12,48.1)
  1146       10:R       10:R       0.849 (2,line,1,42,23,35,23.09,47.89)
  1147       10:R        9:P   +   0.366 (4,line,18,31,14,24,8.06,46.62)
  1148       10:R        9:P   +   0.422 (2,line,0,37,13,35,13.15,40.72)
  1149       10:R        7:H   +   0.419 (0,line,0,0,1,25,25.02,34.93)
  1150       10:R        9:P   +   0.569 (5,line,17,38,11,33,7.81,56.61)
  1151       10:R       10:R       0.737 (2,line,2,49,21,42,20.25,54.56)
  1152       10:R       10:R       0.967 (1,line,1,33,1,53,20,55.97)
  1153       10:R       10:R       0.958 (5,line,0,35,8,0,35.9,54.34)
  1154       10:R       10:R       0.717 (5,line,6,29,3,27,3.61,34.53)
  1155       10:R        8:L   +   0.382 (0,line,0,0,1,34,34.01,57.25)
  1156       10:R       10:R       0.934 (5,line,20,40,9,35,12.08,59.46)
  1157       10:R       10:R       0.895 (1,line,1,38,1,55,17,57.28)
  1158       10:R        9:P   +   0.477 (1,line,1,27,1,41,14,45.19)
  1159       10:R       10:R       1 (7,line,0,6,22,0,22.8,54.13)
  1160       10:R       10:R       0.483 (1,line,0,24,0,44,20,47.93)
  1161       10:R        8:L   +   0.516 (0,line,0,0,2,29,29.07,67.48)
  1162       10:R       10:R       0.634 (4,line,14,29,0,23,15.23,41.44)
  1163       10:R        3:D   +   0.789 (2,line,1,29,10,24,10.3,34.13)
  1164       10:R       10:R       0.654 (3,line,7,45,18,40,12.08,50.33)
  1165       10:R       10:R       0.823 (1,line,0,36,0,53,17,54.82)
  1166       10:R        6:G   +   0.622 (4,line,22,18,0,6,25.06,45.65)
  1167       10:R        9:P   +   0.743 (3,line,19,43,21,38,5.39,49.66)
  1168       10:R        5:F   +   0.854 (1,line,2,21,2,40,19,45.65)
  1169       10:R       10:R       0.997 (6,line,0,20,7,0,21.19,37.11)
  1170       10:R       10:R       0.997 (6,line,0,19,12,0,22.47,47.54)
  1171       10:R        5:F   +   0.287 (1,line,0,20,0,35,15,41.88)
  1172       10:R       10:R       0.408 (0,line,0,0,1,38,38.01,68.03)
  1173       10:R        3:D   +   0.621 (2,line,0,37,14,30,15.65,41.15)
  1174       10:R        3:D   +   0.885 (3,line,14,26,14,16,10,36.77)
  1175       10:R       10:R       0.638 (0,line,0,0,1,36,36.01,55.95)
  1176       10:R       10:R       0.449 (0,line,0,0,1,26,26.02,54.13)
  1177       10:R       10:R       0.653 (2,line,0,49,45,36,46.84,66.53)
  1178       10:R       10:R       0.692 (2,line,1,40,7,38,6.32,41.23)
  1179       10:R       10:R       0.882 (2,line,1,41,10,35,10.82,43.01)
  1180       10:R       10:R       0.973 (5,line,0,27,11,0,29.15,49.04)
  1181       10:R        9:P   +   0.628 (2,line,2,43,8,39,7.21,46.24)
  1182       10:R       10:R       0.971 (5,line,0,23,10,0,25.08,43.17)
  1183       10:R       10:R       0.978 (5,line,0,20,15,0,25,56.3)
  1184       10:R       10:R       0.569 (1,line,2,37,2,61,24,62.17)
  1185       10:R       10:R       0.939 (1,line,1,30,1,49,19,51.24)
  1186       10:R       10:R       0.617 (0,line,0,0,1,30,30.02,49.98)
  1187       10:R        9:P   +   0.681 (2,line,1,45,17,40,16.76,48.47)
  1188       10:R        9:P   +   0.643 (4,line,21,36,0,26,23.26,57.01)
  1189       10:R        8:L   +   0.448 (0,line,0,0,2,33,33.06,64.85)
  1190       10:R       10:R       0.718 (2,line,1,49,29,40,29.41,56.94)
  1191       10:R        9:P   +   0.742 (5,line,7,40,0,36,8.06,50.8)
  1192       10:R       10:R       0.264 (1,line,0,21,0,37,16,40.72)
  1193       10:R        9:P   +   0.478 (5,line,20,21,13,17,8.06,42.06)
  1194       10:R        9:P   +   0.518 (1,line,0,29,0,45,16,49.66)
  1195       10:R       10:R       0.998 (5,line,0,6,22,0,22.8,52.8)
  1196       10:R        3:D   +   0.665 (5,line,10,16,0,10,11.66,36.62)
  1197       10:R       10:R       0.769 (1,line,2,24,2,46,22,50.57)
  1198       10:R        9:P   +   0.288 (0,line,0,0,0,27,27,42.45)
  1199       10:R       10:R       0.358 (0,line,0,0,2,37,37.05,50.33)
  1200       10:R       10:R       0.518 (3,line,17,32,17,19,13,48.33)
  1201       10:R        7:H   +   0.416 (4,line,19,23,0,16,20.25,41.59)
  1202       10:R        8:L   +   0.467 (0,line,0,0,1,23,23.02,36.62)
  1203       10:R       10:R       0.922 (2,line,0,50,17,40,19.72,54.63)
  1204       10:R       10:R       0.849 (2,line,1,55,14,52,13.34,57.28)
  1205       10:R       10:R       0.474 (1,line,1,33,1,41,8,43.01)
  1206       10:R       10:R       0.998 (7,line,0,27,14,0,30.41,59.2)
  1207       10:R       10:R       0.594 (6,line,6,26,0,22,7.21,46.84)
  1208       10:R        9:P   +   0.595 (3,line,17,40,18,33,7.07,48.47)
  1209       10:R        9:P   +   0.455 (5,line,35,18,0,6,37,66.29)
  1210       10:R        9:P   +   0.634 (1,line,0,38,0,48,10,48.51)
  1211       10:R        9:P   +   0.56 (2,line,0,50,21,42,22.47,58.31)
  1212       10:R        9:P   +   0.51 (4,line,30,31,0,20,31.95,58.31)
  1213       10:R       10:R       0.996 (7,line,0,30,16,0,34,63.32)
  1214       10:R        5:F   +   0.426 (1,line,0,33,0,45,12,50.09)
  1215       10:R       10:R       0.863 (2,line,1,37,14,33,13.6,43.05)
  1216       10:R        9:P   +   0.828 (2,line,0,48,29,39,30.36,56.08)
  1217       10:R        5:F   +   0.469 (0,line,0,0,1,22,22.02,43.01)
  1218       10:R       10:R       0.887 (2,line,1,49,23,40,23.77,58.52)
  1219       10:R       10:R       0.999 (7,line,0,6,24,0,24.74,57.27)
  1220       10:R        6:G   +   0.721 (3,line,19,29,19,22,7,38.95)
  1221       10:R       10:R       0.803 (2,line,0,51,14,48,14.32,53.16)
  1222       10:R       10:R       0.857 (1,line,1,28,1,45,17,47.13)
  1223       10:R        8:L   +   0.518 (0,line,0,0,1,33,33.02,55.97)
  1224       10:R       10:R       0.98 (5,line,0,12,17,0,20.81,49.04)
  1225       10:R       10:R       0.991 (5,line,0,33,4,0,33.24,42.19)
  1226       10:R       10:R       0.793 (5,line,0,11,12,0,16.28,44.1)
  1227       10:R       10:R       1 (7,line,0,35,10,0,36.4,51.97)
  1228       10:R       10:R       0.997 (7,line,0,24,15,0,28.3,54.12)
  1229       10:R        9:P   +   0.546 (3,line,19,39,39,28,22.83,61.85)
  1230       10:R        9:P   +   0.629 (5,line,10,20,0,14,11.66,35.74)
  1231       10:R       10:R       0.876 (6,line,6,38,0,35,6.71,51.97)
  1232       10:R       10:R       0.817 (6,line,8,29,0,24,9.43,53.16)
  1233       10:R       10:R       0.878 (4,line,53,45,53,26,19,80.81)
  1234       10:R       10:R       0.304 (0,line,0,0,0,30,30,54.63)
  1235       10:R       10:R       0.937 (5,line,0,15,15,0,21.21,45.54)
  1236       10:R        6:G   +   0.533 (5,line,21,23,0,11,24.19,64.85)
  1237       10:R       10:R       0.946 (5,line,0,20,19,0,27.59,58.19)
  1238       10:R       10:R       0.812 (5,line,0,15,14,0,20.52,44.6)
  1239       10:R        9:P   +   0.525 (3,line,17,37,19,31,6.32,45.19)
  1240       10:R        9:P   +   0.328 (0,line,0,0,0,26,26,42.15)
  1241       10:R        4:E   +   0.559 (0,line,0,0,1,31,31.02,53.01)
  1242       10:R       10:R       0.403 (1,line,0,30,0,37,7,44.1)
  1243       10:R       10:R       0.663 (1,line,0,32,0,51,19,53.76)
  1244       10:R        9:P   +   0.486 (2,line,0,42,21,37,21.59,46.96)
  1245       10:R       10:R       1 (6,line,0,6,18,0,18.97,46.1)
  1246       10:R       10:R       0.892 (3,line,12,43,12,36,7,51.42)
  1247       10:R        3:D   +   0.518 (3,line,10,24,12,18,6.32,30.87)
  1248       10:R       10:R       0.613 (1,line,2,39,2,61,22,64.51)
  1249       10:R        9:P   +   0.507 (1,line,2,37,2,58,21,59.03)
  1250       10:R       10:R       0.574 (1,line,0,26,0,43,17,44.92)
  1251       10:R        6:G   +   0.513 (5,line,10,17,0,11,11.66,36.89)
  1252       10:R       10:R       0.509 (4,line,13,37,13,28,9,44.92)
  1253       10:R       10:R       0.688 (3,line,39,34,39,20,14,59.55)
  1254       10:R       10:R       0.695 (4,line,19,31,0,20,21.95,56.3)
  1255       10:R        9:P   +   0.571 (6,line,8,21,0,17,8.94,37.64)
  1256       10:R       10:R       0.885 (5,line,0,16,16,0,22.63,55.66)
  1257       10:R       10:R       0.478 (5,line,9,26,0,21,10.3,40.26)
  1258       10:R        4:E   +   0.268 (1,line,0,23,0,40,17,42.72)
  1259       10:R       10:R       0.943 (4,line,15,48,15,38,10,57.97)
  1260       10:R       10:R       0.92 (4,line,9,46,9,40,6,50.01)
  1261       10:R       10:R       0.7 (1,line,2,37,2,48,11,52.8)
  1262       10:R       10:R       0.636 (2,line,0,37,5,37,5,38.08)
  1263       10:R       10:R       0.478 (1,line,2,25,2,41,16,45.19)
  1264       10:R        8:L   +   0.446 (0,line,0,0,1,37,37.01,68)
  1265       10:R        9:P   +   0.644 (3,line,27,42,40,31,17.03,67.2)
  1266       10:R       10:R       0.67 (5,line,19,34,0,24,21.47,64.26)
  1267       10:R        9:P   +   0.689 (3,line,8,28,8,23,5,32.98)
  1268       10:R       10:R       0.711 (6,line,14,15,0,6,16.64,63.98)
  1269       10:R       10:R       0.922 (2,line,2,48,19,44,17.46,53.23)
  1270       10:R       10:R       0.749 (2,line,1,39,13,35,12.65,42.54)
  1271       10:R        9:P   +   0.746 (0,line,0,0,0,36,36,52.39)
  1272       10:R        3:D   +   0.654 (4,line,31,21,0,7,34.01,56.3)
  1273       10:R       10:R       0.793 (1,line,2,25,2,42,17,47.89)
  1274       10:R       10:R       0.898 (1,line,1,26,1,33,7,34.79)
  1275       10:R        8:L   +   0.454 (0,line,0,0,0,26,26,48.76)
  1276       10:R       10:R       0.521 (2,line,1,36,8,36,7,37.64)
  1277       10:R       10:R       0.853 (6,line,13,32,0,27,13.93,60.75)
  1278       10:R       10:R       0.99 (7,line,0,27,9,0,28.46,43.93)
  1279       10:R       10:R       0.518 (2,line,0,39,14,34,14.87,42.15)
  1280       10:R       10:R       0.582 (6,line,8,29,0,24,9.43,54.12)
  1281       10:R       10:R       0.74 (3,line,19,39,19,24,15,55.54)
  1282       10:R       10:R       0.639 (5,line,24,27,12,19,14.42,61.85)
  1283       10:R       10:R       0.948 (1,line,1,38,1,52,14,57.7)
  1284       10:R       10:R       0.441 (4,line,16,30,0,18,20,54.71)
  1285       10:R        9:P   +   0.826 (4,line,7,40,7,35,5,42.58)
  1286       10:R        9:P   +   0.543 (2,line,1,60,21,48,23.32,68)
  1287       10:R       10:R       0.773 (1,line,2,35,2,54,19,56.61)
  1288       10:R        9:P   +   0.624 (4,line,7,30,0,24,9.22,40.02)
  1289       10:R       10:R       0.892 (5,line,43,22,16,14,28.16,67.48)
  1290       10:R        9:P   +   0.496 (5,line,24,22,19,14,9.43,57.27)
  1291       10:R        5:F   +   0.407 (1,line,2,22,2,41,19,49.09)
  1292       10:R        9:P   +   0.521 (4,line,14,16,0,6,17.2,37.7)
  1293       10:R        6:G   +   0.646 (5,line,27,18,0,6,29.55,67.2)
  1294       10:R        8:L   +   0.491 (0,line,0,0,2,37,37.05,62.17)
  1295       10:R       10:R       0.51 (1,line,0,26,0,46,20,49.04)
  1296       10:R       10:R       0.886 (3,line,17,48,21,39,9.85,61.1)
  1297       10:R       10:R       0.727 (1,line,1,38,1,50,12,50.8)
  1298       10:R       10:R       0.706 (1,line,2,30,2,38,8,41.63)
  1299       10:R       10:R       0.892 (6,line,6,18,0,14,7.21,36.69)
  1300       10:R        5:F   +   0.513 (0,line,0,0,0,21,21,50.16)
  1301       10:R       10:R       0.792 (3,line,10,40,10,32,8,47.07)
  1302       10:R        4:E   +   0.328 (1,line,1,20,1,40,20,43.46)
  1303       10:R       10:R       0.481 (1,line,1,21,1,41,20,43.01)
  1304       10:R        4:E   +   0.364 (0,line,0,0,2,29,29.07,44.6)
  1305       10:R        5:F   +   0.555 (2,line,1,33,25,26,25,41.4)
  1306       10:R       10:R       0.91 (2,line,1,50,33,40,33.53,59.91)
  1307       10:R       10:R       0.656 (4,line,13,30,10,23,7.62,43.01)
  1308       10:R       10:R       0.937 (6,line,12,28,0,24,12.65,48.76)
  1309       10:R       10:R       0.965 (5,line,0,6,13,0,14.32,33.62)
  1310       10:R        9:P   +   0.526 (4,line,27,28,0,14,30.41,61.27)
  1311       10:R        4:E   +   0.699 (2,line,0,36,29,29,29.83,46.23)
  1312       10:R        9:P   +   0.576 (1,line,0,34,0,48,14,51.26)
  1313       10:R        6:G   +   0.686 (5,line,10,12,0,6,11.66,30.87)
  1314       10:R        9:P   +   0.781 (3,line,7,34,14,29,8.6,38.63)
  1315       10:R       10:R       0.593 (6,line,12,14,0,6,14.42,55.04)
  1316       10:R       10:R       0.39 (0,line,0,0,2,26,26.08,51.48)
  1317       10:R        8:L   +   0.472 (0,line,0,0,0,24,24,50.92)
  1318       10:R        9:P   +   0.494 (2,line,2,38,4,38,2,38.83)
  1319       10:R       10:R       0.998 (7,line,0,14,21,0,25.24,58.87)
  1320       10:R       10:R       0.861 (3,line,21,38,21,22,16,57.7)
  1321       10:R       10:R       0.668 (2,line,1,43,12,38,12.08,45.22)
  1322       10:R        4:E   +   0.603 (0,line,0,0,2,23,23.09,52.8)
  1323       10:R       10:R       0.968 (4,line,17,34,17,23,11,47.17)
  1324       10:R        9:P   +   0.687 (6,line,6,33,0,31,6.32,42.58)
  1325       10:R       10:R       0.876 (5,line,11,41,8,37,5,55.11)
  1326       10:R       10:R       0.972 (2,line,0,60,19,54,19.92,64.26)
  1327       10:R       10:R       0.701 (4,line,15,27,15,18,9,36.25)
  1328       10:R       10:R       0.944 (1,line,1,33,1,52,19,56.08)
  1329       10:R       10:R       0.948 (5,line,0,9,21,0,22.85,52.39)
  1330       10:R       10:R       1 (7,line,0,21,15,0,25.81,51.24)
