

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx)
   948       25:Y       25:Y       0.993 (3,5,4,4,2,4,10,2,7,11,10,6,1,11,2,5)
   949       25:Y        6:F   +   0.954 (5,7,5,5,2,3,11,3,6,12,11,5,0,10,2,5)
   950       25:Y       25:Y       0.662 (3,9,5,6,3,7,9,1,6,6,11,8,2,11,2,7)
   951       25:Y       25:Y       0.876 (1,1,2,1,1,9,11,1,6,6,11,7,1,11,1,8)
   952       25:Y       20:T   +   0.605 (5,7,6,5,3,5,9,2,9,9,10,4,1,11,4,4)
   953       25:Y       25:Y       0.945 (8,7,6,11,5,9,7,5,5,4,12,5,4,11,5,7)
   954       25:Y       17:Q   +   0.56 (6,9,8,6,6,8,8,6,5,5,8,8,3,8,9,6)
   955       25:Y       25:Y       1 (1,0,2,0,0,8,10,3,1,6,12,8,1,11,0,8)
   956       25:Y       25:Y       1 (2,7,4,4,1,6,10,2,2,7,12,8,1,11,0,8)
   957       25:Y       16:P   +   0.814 (9,12,8,6,5,7,5,4,5,9,9,5,4,10,4,5)
   958       25:Y       25:Y       0.809 (7,11,7,8,4,6,8,2,8,8,10,5,5,11,6,3)
   959       25:Y       25:Y       0.992 (3,2,5,3,2,7,10,1,7,7,11,8,1,11,2,8)
   960       25:Y       14:N   +   0.642 (7,7,6,10,4,9,7,6,6,4,11,7,5,10,3,7)
   961       25:Y       25:Y       0.845 (3,5,5,7,1,9,10,3,2,6,13,8,2,11,0,8)
   962       25:Y       25:Y       0.998 (4,5,5,3,2,4,10,2,8,10,10,5,3,11,4,3)
   963       25:Y       16:P   +   0.395 (4,9,4,4,2,6,8,3,4,10,7,5,3,10,4,3)
   964       25:Y       17:Q   +   0.824 (5,7,6,5,5,8,5,7,6,5,8,8,3,9,9,5)
   965       25:Y       25:Y       0.679 (4,6,6,9,7,9,10,6,3,7,7,7,6,11,6,5)
   966       25:Y       25:Y       0.995 (7,9,7,7,3,3,10,4,7,12,12,6,2,11,2,6)
   967       25:Y       25:Y       0.997 (2,1,2,1,0,7,9,2,2,6,12,8,1,10,0,8)
   968       25:Y       17:Q   +   0.741 (4,4,6,6,7,9,4,5,3,7,7,8,5,9,4,8)
   969       25:Y       25:Y       0.997 (3,6,5,4,2,7,10,2,7,6,12,9,2,11,2,8)
   970       25:Y       25:Y       0.975 (5,7,6,5,3,4,9,1,8,10,10,6,1,10,3,4)
   971       25:Y       25:Y       0.796 (3,4,4,2,2,4,11,2,7,11,10,5,1,11,2,5)
   972       25:Y       25:Y       0.955 (2,1,4,3,2,8,11,1,7,5,11,8,1,11,2,8)
   973       25:Y       25:Y       0.829 (8,11,8,8,4,3,11,2,9,12,11,5,0,10,2,4)
   974       25:Y       25:Y       0.646 (2,6,4,4,1,7,9,2,2,7,12,8,2,11,0,8)
   975       25:Y       19:S   +   0.775 (3,7,4,5,4,9,8,6,4,5,9,7,2,8,7,5)
   976       25:Y       25:Y       0.936 (6,11,9,8,5,7,10,1,8,6,12,9,4,10,3,7)
   977       25:Y       25:Y       0.795 (4,5,5,4,2,4,11,2,7,11,10,5,1,11,3,4)
   978       25:Y       25:Y       0.911 (3,8,5,5,1,8,12,2,3,6,12,8,1,10,0,8)
   979       25:Y       25:Y       0.964 (1,1,2,1,1,7,10,1,5,7,11,8,1,11,1,8)
   980       25:Y       25:Y       1 (4,9,6,7,3,8,10,1,8,5,12,8,1,11,2,8)
   981       25:Y       25:Y       1 (3,7,5,4,1,7,10,2,2,6,13,8,1,11,0,8)
   982       25:Y       25:Y       0.918 (7,10,7,8,3,4,10,3,8,11,11,5,1,11,3,4)
   983       24:X       24:X       0.929 (3,5,5,3,2,10,7,1,9,11,3,7,2,7,3,9)
   984       24:X       24:X       0.715 (8,12,9,6,5,6,9,2,8,11,8,8,4,9,4,5)
   985       24:X       24:X       0.983 (4,4,6,3,3,6,7,1,8,10,8,8,2,8,3,7)
   986       24:X        2:B   +   0.27 (5,9,5,5,2,11,6,3,7,9,3,7,3,9,4,10)
   987       24:X       24:X       0.79 (3,7,4,5,2,7,7,4,4,7,6,8,3,8,4,8)
   988       24:X       24:X       0.958 (5,8,8,6,4,8,8,1,8,11,4,7,4,9,4,8)
   989       24:X       24:X       0.456 (11,15,10,8,5,11,6,3,9,10,4,7,4,11,4,11)
   990       24:X       24:X       0.577 (4,6,5,6,5,7,8,2,5,8,6,8,3,6,7,7)
   991       24:X       15:O   +   0.72 (5,5,6,7,2,7,7,5,4,7,6,8,3,8,4,8)
   992       24:X        2:B   +   0.336 (2,6,4,4,3,8,8,2,5,7,5,7,3,8,5,7)
   993       24:X        9:I   +   0.786 (2,1,2,1,0,7,7,4,4,7,6,8,2,8,4,8)
   994       24:X       24:X       0.712 (4,9,6,7,4,8,7,4,9,6,7,8,4,6,8,9)
   995       24:X       26:Z   +   0.755 (2,4,4,3,2,7,7,3,9,6,6,8,2,8,5,8)
   996       24:X       24:X       0.999 (7,11,10,9,5,7,7,1,9,10,6,8,3,8,4,7)
   997       24:X       11:K   +   0.905 (6,11,9,8,6,5,8,1,8,10,10,10,3,8,4,6)
   998       24:X       24:X       0.961 (4,9,7,7,5,7,7,3,9,5,6,10,3,8,6,8)
   999       24:X        5:E   +   0.622 (3,5,4,5,4,7,6,2,5,7,6,9,2,11,7,8)
  1000       24:X       26:Z   +   0.611 (3,4,4,3,2,7,7,3,9,6,6,9,2,8,5,8)
  1001       24:X       24:X       0.631 (5,8,7,6,3,9,6,2,8,11,2,7,3,9,4,9)
  1002       24:X       24:X       0.823 (3,9,5,6,4,8,8,3,8,6,6,6,3,9,6,7)
  1003       24:X       24:X       0.639 (7,11,8,6,4,7,8,2,8,11,7,8,5,11,4,7)
  1004       24:X       15:O   +   0.765 (5,10,6,7,2,7,7,5,4,7,6,8,3,8,4,8)
  1005       24:X       24:X       0.775 (4,5,7,4,3,5,8,2,9,11,10,9,3,7,4,5)
  1006       24:X       15:O   +   0.528 (4,10,5,7,1,7,7,5,4,7,6,8,3,8,4,8)
  1007       24:X       24:X       0.676 (6,9,8,8,9,7,7,2,5,7,6,8,4,8,8,8)
  1008       24:X        8:H   +   0.333 (6,10,8,8,7,7,7,3,6,6,6,8,6,7,13,10)
  1009       24:X       24:X       0.671 (4,10,6,8,4,7,8,3,9,6,5,6,4,10,8,6)
  1010       24:X       24:X       0.495 (7,10,8,5,4,6,8,2,8,11,6,9,4,7,4,6)
  1011       24:X        7:G   +   0.391 (5,9,6,6,5,7,6,3,5,6,6,9,3,7,10,9)
  1012       24:X        4:D   +   0.893 (6,10,7,6,4,10,6,3,7,12,2,6,3,8,4,10)
  1013       24:X       26:Z   +   0.62 (2,5,4,4,2,8,7,3,9,6,6,8,2,8,6,9)
  1014       24:X       24:X       0.539 (6,10,10,8,5,9,6,1,8,10,3,7,3,8,4,9)
  1015       24:X       24:X       0.898 (4,9,6,6,4,7,6,3,8,5,6,9,3,8,7,8)
  1016       24:X       24:X       0.819 (3,7,4,5,2,7,7,4,4,7,6,8,2,8,4,8)
  1017       24:X       24:X       0.685 (4,10,7,7,4,9,7,0,8,9,5,7,2,8,3,8)
  1018       24:X       24:X       0.799 (2,3,4,1,2,6,7,2,8,11,8,8,2,8,3,7)
  1019       24:X       24:X       0.527 (3,1,4,3,2,7,8,3,9,6,6,7,3,9,6,6)
  1020       24:X       24:X       0.831 (3,9,4,6,1,7,7,4,4,7,6,8,3,8,4,8)
  1021       24:X       24:X       0.988 (4,9,6,7,5,7,7,3,8,5,6,8,3,8,6,7)
  1022       24:X       11:K   +   0.985 (5,9,8,7,6,6,8,3,6,7,7,11,5,6,8,6)
  1023       24:X       24:X       0.667 (3,9,4,7,3,8,7,4,4,7,6,9,2,8,4,8)
  1024       24:X       24:X       0.518 (4,7,5,5,3,7,7,4,9,6,6,10,3,8,6,8)
  1025       24:X       24:X       0.996 (2,4,4,3,2,7,8,1,8,10,6,8,2,8,3,7)
  1026       24:X       24:X       0.453 (5,7,6,5,5,7,8,3,6,6,6,8,4,8,10,8)
  1027       24:X       15:O   +   0.72 (5,5,6,7,2,7,7,5,4,7,6,8,3,8,4,8)
  1028       24:X       24:X       0.998 (5,7,8,5,4,7,7,1,8,10,6,8,2,8,3,8)
  1029       24:X       24:X       0.983 (9,12,8,6,4,7,7,2,9,9,7,9,4,9,4,7)
  1030       24:X       24:X       0.843 (4,8,5,5,1,7,7,4,4,7,6,8,3,8,4,8)
  1031       24:X       24:X       0.999 (4,9,7,7,3,7,7,1,9,10,6,8,3,8,4,7)
  1032       24:X       24:X       0.992 (3,5,5,4,2,7,8,1,8,10,8,8,2,8,3,7)
  1033       24:X       24:X       0.51 (2,7,3,4,1,7,7,4,4,7,6,8,3,8,4,8)
  1034       24:X       24:X       0.781 (3,9,4,7,3,7,7,4,4,7,6,8,3,8,4,8)
  1035       24:X       24:X       0.533 (3,4,4,3,2,7,7,3,9,6,6,8,3,8,6,8)
  1036       24:X        5:E   +   0.471 (5,6,6,6,6,7,6,2,5,8,7,9,3,11,7,8)
  1037       24:X       26:Z   +   0.494 (3,5,4,3,2,8,7,3,9,6,7,9,3,7,7,9)
  1038       24:X        5:E   +   0.485 (5,6,6,5,6,6,7,2,5,8,7,10,3,8,7,8)
  1039       24:X       26:Z   +   0.512 (3,8,5,6,3,7,8,4,9,6,6,7,3,9,7,7)
  1040       24:X       24:X       0.986 (5,9,8,7,4,8,7,1,8,10,5,8,3,8,4,8)
  1041       24:X       24:X       0.986 (4,6,6,4,3,7,7,1,8,10,8,8,3,8,3,7)
  1042       24:X       24:X       0.831 (3,9,4,6,1,7,7,4,4,7,6,8,3,8,4,8)
  1043       24:X       24:X       0.852 (4,9,5,6,1,7,7,4,4,7,6,8,3,8,4,8)
  1044       24:X       26:Z   +   0.574 (3,5,4,4,2,8,7,3,9,6,6,8,2,8,6,8)
  1045       24:X       25:Y   +   0.601 (7,11,7,6,3,4,8,3,9,9,11,10,4,11,4,5)
  1046       21:U       21:U       0.998 (6,9,6,6,3,4,9,5,7,13,11,9,3,9,1,7)
  1047       21:U       21:U       1 (5,5,6,4,3,4,8,5,8,10,9,9,3,9,2,6)
  1048       21:U       21:U       0.997 (4,7,4,5,3,7,5,13,5,7,11,8,3,9,0,8)
  1049       21:U       21:U       0.999 (4,8,6,6,4,5,9,5,6,7,9,10,3,9,1,8)
  1050       21:U       15:O   +   0.428 (5,9,5,5,3,8,6,4,5,6,7,8,4,8,3,7)
  1051       21:U       14:N   +   0.811 (3,7,5,6,5,7,7,4,4,6,6,9,4,8,1,8)
  1052       21:U       21:U       0.997 (5,10,5,7,2,7,4,15,6,7,13,8,3,9,0,8)
  1053       21:U       21:U       0.999 (4,4,4,6,2,7,5,13,5,7,14,8,3,9,0,8)
  1054       21:U       17:Q   +   0.508 (5,8,7,6,6,7,8,8,5,5,7,10,4,9,4,5)
  1055       21:U       21:U       0.918 (3,3,4,1,1,5,8,4,6,10,9,9,3,10,1,6)
  1056       21:U       21:U       1 (4,5,5,4,2,6,8,6,8,6,10,9,3,9,1,7)
  1057       21:U       21:U       0.991 (6,10,6,8,5,8,5,12,4,7,13,8,3,8,0,7)
  1058       21:U       13:M   +   0.28 (7,13,7,7,4,8,5,4,4,6,7,7,5,7,3,7)
  1059       21:U       14:N   +   0.76 (5,9,6,8,7,7,7,4,4,6,6,8,5,7,2,7)
  1060       21:U       15:O   +   0.547 (5,7,7,5,5,8,7,8,5,6,7,9,3,8,4,6)
  1061       21:U       21:U       1 (6,7,6,5,3,4,8,6,8,10,10,9,3,9,2,5)
  1062       21:U       11:K   +   0.641 (6,8,7,6,5,4,8,5,7,9,8,10,5,8,3,4)
  1063       21:U       21:U       1 (3,2,4,3,2,6,8,5,7,7,10,9,3,9,1,8)
  1064       21:U       21:U       1 (5,10,5,7,2,8,5,13,5,6,15,8,3,9,0,8)
  1065       21:U       21:U       0.979 (3,1,4,1,1,7,8,6,8,7,10,8,3,10,1,8)
  1066       21:U       21:U       0.998 (4,4,4,3,2,5,8,5,7,10,9,9,3,9,2,6)
  1067       21:U       21:U       0.772 (2,0,2,0,0,7,5,10,4,7,13,8,3,10,0,8)
  1068       21:U       14:N   +   0.714 (7,11,6,6,3,7,6,4,6,4,8,6,6,7,3,6)
  1069       21:U       21:U       0.999 (4,4,5,6,2,7,3,14,6,7,13,8,3,9,0,8)
  1070       21:U       14:N   +   0.816 (3,6,4,6,4,8,7,4,3,6,6,8,4,8,1,7)
  1071       21:U       21:U       1 (9,11,10,8,4,3,9,6,9,12,12,9,3,9,2,7)
  1072       21:U       21:U       0.999 (3,7,3,5,2,7,5,13,5,7,13,8,3,9,0,8)
  1073       21:U       21:U       0.999 (7,9,7,7,4,4,8,6,8,10,10,9,3,9,2,5)
  1074       21:U       21:U       0.998 (3,5,4,3,2,5,8,5,7,10,9,9,3,9,2,6)
  1075       21:U       21:U       0.993 (3,3,4,2,1,6,8,6,7,7,10,9,3,10,1,8)
  1076       21:U        2:B   +   0.795 (4,8,6,6,7,9,6,5,5,6,7,6,6,8,5,6)
  1077       21:U       21:U       1 (5,10,7,8,4,6,9,6,7,7,10,10,3,9,1,8)
  1078       21:U       21:U       0.995 (3,4,4,2,2,5,8,5,7,10,8,9,3,9,2,6)
  1079       21:U       21:U       0.999 (5,10,5,7,4,7,5,13,5,7,12,8,3,9,0,8)
  1080       21:U       21:U       0.991 (4,8,4,6,3,7,6,11,4,7,13,8,3,9,0,8)
  1081       21:U       21:U       0.999 (5,9,5,6,2,7,4,14,6,7,14,8,3,9,0,8)
  1082       21:U       21:U       0.997 (3,7,4,5,3,6,8,6,6,6,9,9,3,9,0,8)
  1083       21:U       13:M   +   0.944 (5,9,8,7,10,8,6,4,4,6,7,8,10,9,5,8)
  1084       21:U        9:I   +   0.676 (1,0,1,0,0,7,7,9,3,7,12,8,2,10,0,8)
  1085       21:U       21:U       1 (4,4,5,3,2,4,8,5,8,10,9,9,3,9,2,5)
  1086       21:U       17:Q   +   0.754 (4,7,6,5,7,8,7,4,3,6,7,8,7,9,5,7)
  1087       21:U       21:U       0.977 (2,6,2,4,1,7,6,12,4,7,13,8,3,9,0,8)
  1088       21:U       21:U       0.959 (3,5,4,4,4,8,6,5,4,6,6,8,3,9,1,7)
  1089       21:U       14:N   +   0.361 (3,7,5,6,5,8,7,3,3,6,6,8,4,8,2,8)
  1090       21:U       11:K   +   0.408 (8,10,8,7,6,4,8,5,8,9,8,10,6,8,4,3)
  1091       21:U       13:M   +   0.429 (4,10,6,7,9,9,6,4,3,6,7,7,9,8,5,6)
  1092       21:U       21:U       0.998 (5,10,8,8,4,5,9,7,8,8,10,10,3,9,1,8)
  1093       21:U       21:U       0.915 (7,11,9,8,7,6,9,4,7,5,8,10,6,10,1,8)
  1094       21:U       17:Q   +   0.798 (3,7,5,5,4,7,8,8,5,5,6,11,3,8,5,6)
  1095       21:U       21:U       0.996 (4,9,5,6,2,7,4,15,6,7,13,8,3,9,0,8)
  1096       21:U       21:U       0.991 (6,10,6,8,3,8,4,15,6,7,15,8,3,9,0,8)
  1097       21:U       13:M   +   0.993 (5,9,7,7,8,10,6,5,5,6,7,6,10,6,6,5)
  1098       21:U       21:U       0.97 (2,3,3,2,1,5,8,5,6,9,8,8,3,9,2,6)
  1099       21:U       13:M   +   0.982 (12,15,10,8,5,5,3,4,5,4,7,6,6,6,2,7)
  1100       21:U       21:U       0.996 (3,8,5,6,2,6,9,7,7,8,10,9,3,9,1,7)
  1101       21:U       15:O   +   0.414 (6,10,5,5,4,8,6,4,4,7,7,7,5,7,3,7)
  1102       21:U       11:K   +   0.773 (8,12,7,6,4,5,6,5,4,7,7,10,7,8,4,10)
  1103       21:U       21:U       0.997 (3,3,4,2,2,6,8,5,7,6,9,9,3,10,1,7)
  1104       21:U       21:U       0.999 (5,10,6,8,2,7,5,13,6,8,15,8,3,9,0,8)
  1105       21:U       21:U       0.772 (2,3,3,2,1,5,8,5,6,10,9,9,3,10,2,6)
  1106       21:U       21:U       0.538 (1,0,2,0,0,7,5,10,4,7,13,8,3,10,0,8)
  1107       21:U       21:U       1 (4,5,5,8,2,7,5,14,5,7,14,8,3,9,0,8)
  1108       21:U       21:U       0.969 (4,5,5,4,3,5,8,6,8,10,8,9,3,9,3,6)
  1109       21:U       21:U       0.987 (6,10,8,8,5,6,9,5,7,6,9,10,6,10,1,7)
  1110       21:U        3:C   +   0.397 (4,5,5,3,2,4,8,5,8,9,8,9,4,11,3,4)
  1111        3:C        3:C       0.994 (2,3,2,2,1,4,8,4,7,10,9,12,1,8,2,7)
  1112        3:C        3:C       0.93 (2,7,3,5,1,5,7,6,8,6,6,12,1,7,4,9)
  1113        3:C        3:C       1 (3,4,4,3,2,4,9,5,8,11,9,11,1,9,3,7)
  1114        3:C        7:G   +   0.648 (4,7,6,5,3,7,7,8,6,6,6,10,3,8,4,9)
  1115        3:C        3:C       0.372 (8,11,5,6,2,7,9,6,7,12,7,8,2,9,5,9)
  1116        3:C        3:C       0.558 (1,0,1,1,0,6,7,6,7,7,6,13,0,8,4,10)
  1117        3:C        5:E   +   0.714 (2,1,3,2,1,6,7,6,9,7,6,14,0,8,4,9)
  1118        3:C        3:C       0.858 (4,10,6,8,4,4,9,5,6,5,7,14,4,8,5,7)
  1119        3:C        3:C       0.999 (4,8,4,6,3,6,8,6,7,12,8,12,2,10,3,8)
  1120        3:C        3:C       0.999 (4,11,5,8,4,5,8,8,7,10,9,13,2,10,4,10)
  1121        3:C        3:C       0.999 (4,8,4,6,2,4,8,6,7,11,10,12,2,9,3,7)
  1122        3:C        3:C       0.403 (4,8,5,7,5,5,7,4,4,7,6,11,4,9,8,10)
  1123        3:C        3:C       0.989 (5,5,6,8,3,5,7,7,11,7,6,12,1,8,4,9)
  1124        3:C        3:C       0.999 (6,10,7,8,4,4,8,6,7,12,10,12,2,10,3,7)
  1125        3:C        3:C       1 (4,9,5,6,2,6,8,7,10,4,6,14,1,7,4,9)
  1126        3:C        3:C       1 (4,8,5,6,3,6,8,7,8,8,8,14,2,10,4,9)
  1127        3:C        3:C       0.994 (6,10,7,8,3,4,9,6,8,12,10,11,2,9,3,6)
  1128        3:C       11:K   +   0.605 (5,7,6,5,6,6,6,4,3,7,6,11,5,9,3,9)
  1129        3:C        3:C       0.984 (5,10,6,8,2,5,7,7,11,7,6,14,1,8,4,9)
  1130        3:C        3:C       0.999 (6,9,6,7,3,4,8,6,7,12,10,12,2,10,2,7)
  1131        3:C        3:C       0.998 (2,7,3,5,2,5,8,7,8,6,7,14,1,8,4,9)
  1132        3:C        3:C       0.619 (6,8,7,6,4,5,8,6,7,12,8,10,3,12,3,6)
  1133        3:C        8:H   +   0.291 (4,6,5,4,5,5,7,4,5,7,6,9,5,11,3,8)
  1134        3:C       24:X   +   0.252 (5,6,6,5,5,5,8,3,5,7,6,10,3,10,8,7)
  1135        3:C        3:C       0.543 (4,11,5,8,4,5,8,8,6,10,8,13,3,12,5,8)
  1136        3:C        7:G   +   0.4 (3,6,4,5,4,5,6,3,5,7,6,11,4,10,6,9)
  1137        3:C        3:C       0.504 (2,1,2,2,1,6,7,6,10,7,6,14,0,8,4,9)
  1138        3:C        3:C       0.999 (7,10,7,7,4,3,8,5,7,11,10,13,1,9,3,7)
  1139        3:C        6:F   +   0.522 (2,4,3,3,1,5,9,5,6,12,9,10,1,10,2,7)
  1140        3:C        5:E   +   0.377 (4,7,5,6,5,6,7,4,4,7,6,10,4,10,7,11)
  1141        3:C        7:G   +   0.94 (4,7,5,5,4,7,7,8,5,6,7,13,4,7,4,8)
  1142        3:C        3:C       0.968 (4,5,6,7,2,5,6,6,11,7,5,12,1,9,4,8)
  1143        3:C        3:C       1 (4,6,4,4,2,5,9,6,8,12,10,11,1,9,2,7)
  1144        3:C        5:E   +   0.536 (1,1,2,1,0,6,7,6,9,7,6,14,0,8,4,10)
  1145        3:C        3:C       1 (3,4,4,3,2,6,8,7,8,8,8,13,1,9,4,10)
  1146        3:C        3:C       1 (4,5,5,4,2,4,8,5,7,11,10,12,1,9,3,7)
  1147        3:C        3:C       0.94 (4,11,5,8,3,6,8,9,8,10,8,11,2,12,4,9)
  1148        3:C        3:C       0.957 (3,7,4,5,1,5,7,6,9,6,6,14,1,8,4,9)
  1149        3:C        3:C       0.97 (4,9,5,7,3,4,7,5,6,11,9,14,2,8,3,8)
  1150        3:C        3:C       1 (4,8,4,6,2,5,7,6,7,11,9,14,1,9,3,8)
  1151        3:C        3:C       0.995 (4,10,5,7,2,5,7,7,10,7,6,14,1,8,4,9)
  1152        3:C        3:C       1 (2,1,3,3,1,6,8,7,7,8,8,13,1,10,4,10)
  1153        3:C        3:C       0.965 (3,10,4,8,3,5,7,6,7,7,6,13,1,8,4,10)
  1154        3:C        3:C       0.998 (3,6,4,4,1,5,7,7,10,6,6,13,1,8,4,8)
  1155        3:C        3:C       0.997 (4,9,5,6,2,6,6,7,10,9,5,14,1,10,4,9)
  1156        3:C        3:C       0.715 (3,9,4,7,3,6,8,8,7,10,7,12,2,10,4,10)
  1157        3:C        3:C       0.984 (5,5,6,8,2,6,7,7,11,6,6,14,1,8,4,9)
  1158        3:C        3:C       0.999 (4,7,5,5,2,5,8,7,8,7,8,14,1,8,4,9)
  1159        3:C        3:C       0.999 (6,10,6,8,3,3,8,5,8,10,10,14,1,7,3,7)
  1160        3:C        3:C       0.997 (2,3,2,1,1,5,8,5,6,11,9,11,1,9,3,8)
  1161        3:C        3:C       0.999 (4,7,4,5,2,4,8,6,8,10,9,14,1,8,3,8)
  1162        3:C        3:C       0.987 (3,5,4,3,2,6,7,7,7,8,7,14,2,9,4,10)
  1163        3:C        3:C       1 (4,7,5,5,3,5,8,7,7,8,8,14,1,10,4,10)
  1164        3:C        3:C       0.981 (4,4,5,6,2,6,7,7,11,6,6,13,1,7,4,9)
  1165        3:C        3:C       0.983 (4,9,5,7,4,6,8,6,8,7,6,13,1,8,4,9)
  1166        3:C        3:C       0.998 (3,4,4,3,2,4,8,4,7,10,10,13,1,9,2,7)
  1167        3:C       17:Q   +   0.575 (6,9,5,4,3,8,7,4,3,9,8,10,4,8,7,11)
  1168       20:T       14:N   +   0.215 (4,7,6,5,6,7,7,4,5,7,6,9,5,8,5,7)
  1169       20:T        9:I   +   0.798 (1,0,1,0,0,8,13,1,4,6,10,8,0,8,0,8)
  1170       20:T       20:T       0.97 (4,5,4,3,2,5,11,2,8,11,9,4,1,11,2,4)
  1171       20:T       20:T       0.634 (3,3,4,2,1,5,11,2,7,11,9,5,1,10,2,5)
  1172       20:T       20:T       0.975 (2,5,3,4,2,7,12,3,6,7,11,8,2,11,1,8)
  1173       20:T       20:T       1 (2,7,3,5,1,6,14,0,6,8,11,8,0,8,0,8)
  1174       20:T       25:Y   +   0.751 (2,6,4,4,2,9,11,1,7,5,11,7,1,10,1,8)
  1175       20:T       19:S   +   0.798 (7,10,6,5,3,8,9,2,7,11,7,7,2,9,4,6)
  1176       20:T       20:T       0.978 (6,8,6,6,4,6,11,4,5,11,9,5,3,12,2,4)
  1177       20:T       20:T       0.962 (9,12,8,6,3,4,12,3,8,13,8,4,2,8,4,3)
  1178       20:T       20:T       0.959 (2,1,2,2,0,7,14,1,5,7,11,8,0,8,0,8)
  1179       20:T       20:T       0.993 (3,4,4,3,1,5,13,3,6,12,9,4,1,11,1,5)
  1180       20:T       20:T       0.998 (3,10,4,7,1,7,14,0,6,7,11,8,0,8,0,8)
  1181       20:T       13:M   +   0.232 (6,10,8,7,9,8,8,5,6,6,7,9,8,7,9,5)
  1182       20:T       20:T       0.695 (8,11,8,8,4,4,12,2,8,13,10,5,0,10,2,4)
  1183       20:T       20:T       0.954 (4,4,4,3,2,5,11,2,8,12,9,4,1,10,2,4)
  1184       20:T       20:T       0.952 (2,3,3,1,1,6,12,3,6,11,9,5,1,11,2,5)
  1185       20:T       20:T       0.976 (5,10,6,8,5,4,12,5,5,12,9,4,2,12,1,5)
  1186       20:T       20:T       0.644 (2,8,4,6,2,8,11,2,9,6,11,7,1,11,1,7)
  1187       20:T       20:T       0.537 (8,13,7,7,4,6,10,3,7,12,7,6,3,9,5,4)
  1188       20:T       20:T       0.968 (5,10,7,8,4,5,12,3,8,8,12,8,1,12,1,7)
  1189       20:T       20:T       0.999 (5,7,5,5,3,6,11,3,7,11,9,4,2,12,2,4)
  1190       20:T        5:E   +   0.412 (5,8,7,6,7,7,8,4,7,8,6,9,5,8,5,6)
  1191       20:T       26:Z   +   0.43 (8,12,8,7,4,7,8,2,7,12,7,7,3,9,5,6)
  1192       20:T       20:T       0.999 (3,8,4,6,2,9,14,0,5,6,10,8,0,8,0,8)
  1193       20:T        5:E   +   0.705 (3,6,5,5,5,6,9,3,7,8,7,9,3,8,7,5)
  1194       20:T       20:T       0.692 (8,10,8,8,6,7,10,2,8,11,9,5,3,10,5,4)
  1195       20:T       15:O   +   0.321 (4,7,5,5,4,7,7,7,6,7,8,8,3,10,5,9)
  1196       20:T       20:T       0.729 (3,7,5,5,3,6,11,4,6,8,11,8,2,12,1,7)
  1197       20:T       20:T       0.981 (2,1,3,2,1,6,12,3,6,8,11,7,2,11,1,7)
  1198       20:T        5:E   +   0.403 (5,8,7,7,6,5,8,4,9,8,7,9,3,9,7,6)
  1199       20:T       24:X   +   0.362 (7,9,8,8,8,6,8,3,9,8,7,9,3,8,8,6)
  1200       20:T       20:T       0.99 (2,3,3,2,1,7,12,3,6,7,11,8,1,11,1,8)
  1201       20:T       20:T       0.998 (2,3,3,4,1,7,14,0,6,7,11,8,0,8,0,8)
  1202       20:T        6:F   +   0.543 (8,11,7,6,3,5,10,3,9,13,7,5,2,9,3,4)
  1203       20:T       20:T       0.92 (7,9,6,4,2,4,12,3,7,13,8,4,2,8,3,4)
  1204       20:T       20:T       0.997 (2,7,3,4,1,7,14,0,6,7,11,8,0,8,0,8)
  1205       20:T       20:T       0.546 (2,1,2,2,1,8,11,3,5,7,10,7,2,11,1,7)
  1206       20:T       20:T       0.994 (4,5,5,4,2,5,12,3,8,11,9,4,1,11,2,4)
  1207       20:T       20:T       0.998 (7,9,7,7,5,5,12,4,6,11,9,4,2,12,2,4)
  1208       20:T       20:T       0.958 (2,2,3,3,2,6,11,3,6,8,11,8,2,11,1,7)
  1209       20:T       11:K   +   0.684 (5,8,6,7,5,5,7,3,8,8,7,10,3,4,8,5)
  1210       20:T       20:T       0.967 (6,8,6,6,3,4,12,2,9,12,9,5,0,10,2,4)
  1211       20:T       11:K   +   0.248 (4,8,6,6,6,7,7,4,7,7,6,8,5,7,5,6)
  1212       20:T       20:T       0.996 (5,5,5,4,3,6,11,2,8,11,9,4,3,10,4,4)
  1213       20:T        6:F   +   0.661 (7,12,6,7,3,6,10,3,6,12,8,6,2,9,4,5)
  1214       20:T       20:T       0.981 (5,10,7,8,6,7,11,3,7,7,11,8,2,12,1,8)
  1215       20:T       20:T       0.801 (4,9,4,4,2,4,11,2,6,12,8,5,2,8,4,3)
  1216       20:T       20:T       0.998 (5,6,5,4,3,6,11,3,6,11,9,5,2,12,2,4)
  1217       20:T       20:T       0.983 (2,6,3,4,2,7,12,3,7,7,11,8,1,11,1,7)
  1218       20:T       20:T       0.999 (3,5,5,7,1,6,15,1,6,8,11,7,0,8,0,8)
  1219       20:T       20:T       0.999 (2,7,3,5,2,9,12,0,5,6,10,8,0,8,0,8)
  1220       20:T       20:T       0.999 (3,6,5,8,1,5,14,1,6,9,11,7,0,8,0,8)
  1221       20:T       20:T       0.997 (7,11,7,8,5,5,12,3,6,12,10,5,2,12,1,5)
  1222       20:T       20:T       0.971 (5,7,6,5,4,5,12,4,5,12,9,4,2,12,1,5)
