

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
    28        1:1        3:3   +   0.75 (23,4,4,1,1,1,2,3,0)
    29        1:1        3:3   +   0.6 (23,2,2,2,1,1,3,3,0)
    30        1:1        1:1       0.998 (23,3,3,1,1,0,2,4,0)
    31        1:1        1:1       0.5 (23,3,4,4,1,1,3,1,1)
    32        1:1        1:1       0.999 (30,4,2,0,1,0,3,3,0)
    33        1:1        3:3   +   0.999 (33,2,2,3,0,0,2,4,0)
    34        1:1        3:3   +   0.833 (34,2,3,7,1,0,3,3,0)
    35        2:2        2:2       0.429 (39,4,4,4,1,0,1,4,0)
    36        2:2        1:1   +   0.5 (23,4,4,1,0,1,1,4,0)
    37        2:2        1:1   +   0.5 (38,3,4,7,0,1,2,3,0)
    38        2:2        3:3   +   0.571 (30,2,3,5,1,1,3,1,1)
    39        2:2        3:3   +   0.998 (42,2,4,8,1,1,1,4,0)
    40        2:2        2:2       0.417 (31,4,4,3,0,0,4,4,0)
    41        2:2        2:2       0.667 (37,4,4,7,1,1,1,4,0)
    42        2:2        3:3   +   0.998 (26,3,3,2,1,1,1,3,0)
    43        2:2        2:2       0.5 (33,3,3,6,1,1,3,4,0)
    44        2:2        2:2       0.5 (36,4,4,3,0,1,1,3,0)
    45        2:2        1:1   +   0.998 (35,4,4,5,1,1,1,4,0)
    46        2:2        2:2       0.636 (41,4,4,4,1,1,1,4,0)
    47        2:2        3:3   +   0.998 (25,2,4,6,1,1,3,4,0)
    48        2:2        2:2       0.555 (44,4,4,6,0,1,1,3,0)
    49        2:2        2:2       0.998 (35,2,4,3,0,0,3,4,1)
    50        2:2        3:3   +   0.4 (42,4,4,8,0,1,1,4,0)
    51        2:2        3:3   +   0.75 (24,2,4,2,1,1,3,3,0)
    52        2:2        2:2       0.998 (34,3,4,2,0,1,2,3,0)
    53        2:2        3:3   +   0.8 (34,1,2,5,1,1,3,4,0)
    54        2:2        2:2       0.998 (38,4,4,6,1,1,3,3,0)
    55        2:2        1:1   +   0.333 (25,3,1,4,1,1,3,1,0)
    56        2:2        2:2       0.5 (41,4,4,7,1,1,2,4,0)
    57        2:2        2:2       0.467 (36,4,4,3,1,0,1,4,0)
    58        2:2        1:1   +   0.5 (47,4,4,8,1,1,1,4,0)
    59        2:2        2:2       0.462 (29,4,4,2,1,1,1,4,0)
    60        2:2        2:2       0.998 (37,4,4,4,1,1,1,4,0)
    61        2:2        3:3   +   0.5 (38,2,3,4,1,1,1,2,0)
    62        2:2        3:3   +   0.998 (45,3,3,6,0,1,2,4,0)
    63        2:2        2:2       0.571 (24,4,4,2,1,0,1,3,0)
    64        2:2        3:3   +   0.467 (35,3,4,3,1,1,2,2,0)
    65        2:2        2:2       0.5 (28,2,3,2,1,1,3,3,0)
    66        2:2        2:2       0.625 (39,4,4,4,0,1,1,4,0)
    67        2:2        1:1   +   0.5 (42,4,4,3,1,0,1,4,0)
    68        3:3        1:1   +   0.5 (21,2,2,1,1,1,3,2,0)
    69        3:3        3:3       0.75 (38,4,3,9,1,1,3,3,0)
    70        3:3        3:3       0.998 (22,3,4,1,0,0,1,4,0)
    71        3:3        3:3       0.714 (48,3,4,8,1,0,1,4,0)
    72        3:3        3:3       0.999 (26,2,3,2,1,1,2,3,0)
    73        3:3        3:3       0.999 (32,4,4,3,1,0,1,4,0)
    74        3:3        1:1   +   0.998 (32,4,4,3,1,1,1,4,0)
    75        3:3        3:3       0.998 (21,3,3,1,1,1,3,3,0)
    76        3:3        3:3       0.666 (33,3,3,3,1,1,3,3,0)
    77        3:3        2:2   +   0.998 (29,4,4,3,1,1,1,4,0)
    78        3:3        2:2   +   0.417 (28,4,4,2,1,1,1,4,0)
    79        3:3        2:2   +   0.5 (19,4,4,1,1,1,3,2,0)
    80        3:3        2:2   +   0.998 (34,4,4,2,1,1,1,4,0)
    81        3:3        1:1   +   0.333 (21,3,4,1,1,1,3,2,0)
    82        3:3        3:3       0.666 (28,2,4,4,1,1,3,4,0)
    83        3:3        1:1   +   0.333 (25,4,4,1,1,1,1,4,0)
    84        3:3        1:1   +   0.4 (30,2,2,6,1,1,3,1,0)
    85        3:3        2:2   +   0.998 (26,4,4,2,1,0,1,4,0)
    86        3:3        3:3       0.998 (24,4,4,1,1,1,1,3,0)
    87        3:3        1:1   +   0.998 (24,2,3,2,1,1,2,1,0)
    88        3:3        3:3       0.6 (46,2,3,6,0,0,3,4,0)
    89        3:3        2:2   +   0.666 (47,4,4,5,1,1,1,3,0)
    90        3:3        3:3       0.666 (22,3,3,3,1,1,3,3,0)
    91        3:3        3:3       1 (25,4,4,2,1,1,3,3,0)
    92        3:3        3:3       0.998 (26,3,3,3,1,1,3,3,0)
    93        3:3        2:2   +   0.666 (37,3,3,11,1,1,1,2,0)
    94        3:3        3:3       0.5 (26,4,4,2,1,0,3,3,0)
    95        3:3        3:3       0.818 (25,2,3,4,1,1,3,3,0)
    96        3:3        3:3       0.998 (30,2,2,4,1,1,2,4,0)
    97        3:3        3:3       0.999 (29,3,3,6,1,1,3,3,0)
    98        3:3        3:3       0.75 (30,3,4,4,1,1,3,3,0)
    99        3:3        1:1   +   0.5 (30,1,3,4,1,1,3,4,0)
   100        3:3        1:1   +   0.5 (19,3,3,1,1,1,2,1,0)
   101        3:3        3:3       0.666 (25,2,4,3,1,1,1,3,0)
   102        3:3        2:2   +   0.4 (24,4,4,2,1,1,1,4,0)
   103        3:3        2:2   +   0.998 (27,4,4,4,1,1,1,2,1)
   104        3:3        2:2   +   0.998 (24,4,3,3,1,1,3,3,0)
   105        3:3        3:3       0.998 (33,2,2,2,1,1,3,4,0)
   106        3:3        3:3       0.647 (21,3,4,3,1,1,3,1,0)
   107        3:3        1:1   +   0.5 (16,2,3,1,1,1,3,1,0)
   108        3:3        2:2   +   0.999 (35,4,4,4,0,0,1,4,0)
   109        3:3        2:2   +   0.5 (26,3,4,3,1,1,3,3,0)
   110        3:3        3:3       0.999 (24,3,3,1,1,1,3,2,0)
   111        3:3        2:2   +   0.998 (34,3,3,6,1,1,1,4,0)
   112        3:3        3:3       0.526 (37,2,3,5,1,1,4,2,0)
   113        3:3        3:3       0.75 (23,1,2,3,1,1,3,2,1)
   114        3:3        3:3       0.998 (29,3,3,3,1,1,2,1,0)
   115        3:3        2:2   +   0.5 (35,4,4,4,1,1,1,4,0)
   116        3:3        3:3       0.75 (26,3,4,3,1,1,3,2,0)
   117        3:3        3:3       0.583 (31,4,4,3,1,0,1,4,0)
   118        3:3        2:2   +   0.998 (30,3,4,2,1,1,1,2,0)
     1        1:1        1:1       0.998 (25,3,3,1,1,0,2,4,0)
     2        1:1        3:3   +   0.6 (23,4,4,1,1,0,2,4,0)
     3        1:1        3:3   +   0.571 (31,3,4,2,1,1,3,3,0)
     4        1:1        3:3   +   0.5 (47,2,2,4,1,1,3,1,0)
     5        1:1        3:3   +   0.998 (30,3,3,5,1,0,3,4,0)
     6        1:1        3:3   +   0.998 (35,2,2,6,1,0,3,1,1)
     7        1:1        3:3   +   0.467 (25,3,4,3,1,1,1,1,0)
     8        1:1        3:3   +   0.999 (28,2,3,1,1,1,3,1,0)
     9        1:1        3:3   +   0.998 (39,3,1,1,1,1,2,3,0)
    10        1:1        3:3   +   0.667 (28,4,4,1,0,1,2,4,0)
    11        1:1        3:3   +   0.75 (22,3,4,2,1,1,2,3,0)
    12        1:1        1:1       0.666 (18,3,4,1,1,1,3,1,0)
    13        1:1        3:3   +   0.999 (37,3,4,4,1,0,2,4,0)
    14        1:1        3:3   +   0.999 (36,4,3,3,1,0,3,2,0)
    15        1:1        1:1       0.998 (31,1,1,6,1,1,3,2,0)
    16        1:1        1:1       0.555 (39,2,3,10,1,1,3,4,0)
    17        1:1        1:1       0.998 (25,4,4,0,1,0,3,4,0)
    18        1:1        3:3   +   0.5 (25,1,4,2,1,0,3,3,1)
    19        1:1        1:1       0.6 (49,4,4,1,1,1,3,4,0)
    20        1:1        1:1       0.998 (46,1,2,8,1,1,3,3,1)
    21        1:1        3:3   +   0.998 (31,4,4,2,1,1,1,2,0)
    22        1:1        2:2   +   0.999 (42,4,4,3,1,0,1,4,0)
    23        1:1        1:1       0.5 (37,2,3,4,1,1,2,3,0)
    24        1:1        2:2   +   0.998 (20,3,4,1,1,1,3,2,0)
    25        1:1        1:1       0.998 (45,3,4,0,1,1,1,3,0)
    26        1:1        2:2   +   0.999 (49,2,3,0,1,1,1,2,0)
    27        1:1        1:1       0.666 (22,2,4,1,1,1,3,4,0)
    28        1:1        3:3   +   0.998 (42,3,3,8,1,1,4,3,0)
    29        1:1        3:3   +   0.998 (21,2,4,3,1,1,3,2,0)
    30        1:1        3:3   +   0.999 (34,2,2,9,1,0,2,3,0)
    31        1:1        1:1       0.714 (39,1,2,2,1,1,3,1,1)
    32        1:1        1:1       0.998 (42,2,4,2,1,1,3,4,0)
    33        1:1        1:1       0.5 (30,2,3,2,1,0,2,4,0)
    34        2:2        3:3   +   0.666 (33,2,3,5,1,0,2,1,0)
    35        2:2        3:3   +   0.5 (41,4,4,6,1,1,1,4,0)
    36        2:2        2:2       0.5 (28,3,4,3,1,1,1,4,0)
    37        2:2        2:2       0.389 (34,3,4,3,0,1,1,4,0)
    38        2:2        3:3   +   0.999 (34,4,4,2,0,0,3,2,0)
    39        2:2        3:3   +   0.998 (33,4,4,2,0,0,1,3,0)
    40        2:2        2:2       0.998 (44,4,4,4,1,1,1,4,0)
    41        2:2        2:2       0.632 (45,4,4,4,1,1,1,4,0)
    42        2:2        2:2       0.667 (40,4,4,6,1,1,1,3,0)
    43        2:2        1:1   +   0.5 (48,4,4,3,0,1,1,4,0)
    44        2:2        3:3   +   0.625 (43,4,4,6,1,1,1,4,0)
    45        2:2        1:1   +   0.5 (43,1,3,4,1,1,1,4,0)
    46        2:2        3:3   +   0.998 (41,4,4,8,1,1,1,4,0)
    47        2:2        3:3   +   0.517 (41,3,4,5,1,1,1,3,0)
    48        2:2        1:1   +   0.5 (26,2,4,2,1,1,1,4,0)
    49        2:2        3:3   +   0.75 (42,3,3,4,0,1,3,4,0)
    50        2:2        3:3   +   0.5 (45,3,3,8,1,1,2,3,0)
    51        2:2        3:3   +   0.8 (29,4,3,4,1,0,3,2,0)
    52        2:2        1:1   +   0.666 (42,2,4,5,0,1,2,3,0)
    53        2:2        3:3   +   0.998 (27,3,2,5,1,1,2,4,0)
    54        2:2        2:2       0.6 (47,4,4,4,1,0,1,4,0)
    55        2:2        2:2       0.778 (39,4,4,4,1,1,1,4,0)
    56        2:2        3:3   +   0.666 (26,2,4,2,1,1,1,3,0)
    57        2:2        2:2       0.5 (35,4,4,4,0,1,3,3,0)
    58        2:2        3:3   +   0.999 (35,4,4,3,0,0,3,4,0)
    59        2:2        2:2       0.999 (37,3,4,3,1,1,1,3,0)
    60        2:2        2:2       0.515 (33,4,4,3,1,1,1,4,0)
    61        2:2        1:1   +   0.998 (28,4,4,2,1,1,1,3,0)
    62        2:2        3:3   +   0.666 (34,2,3,2,1,1,3,3,0)
    63        2:2        3:3   +   0.476 (44,3,3,9,1,1,1,1,0)
    64        2:2        2:2       0.998 (32,3,3,6,1,0,3,3,0)
    65        2:2        2:2       0.448 (49,4,4,10,1,1,1,4,0)
    66        2:2        2:2       0.529 (44,4,4,3,1,1,1,4,0)
    67        2:2        1:1   +   0.666 (48,4,4,7,0,1,1,4,0)
    68        3:3        3:3       0.998 (24,4,4,1,1,1,1,3,0)
    69        3:3        3:3       0.5 (36,2,2,5,1,1,3,4,0)
    70        3:3        1:1   +   0.998 (19,4,4,1,1,1,1,3,0)
    71        3:3        3:3       0.999 (29,2,3,3,1,1,3,3,0)
    72        3:3        1:1   +   0.5 (41,1,4,5,1,0,2,4,0)
    73        3:3        1:1   +   0.333 (27,4,4,2,0,0,2,4,0)
    74        3:3        3:3       0.998 (32,3,4,4,1,1,3,2,0)
    75        3:3        3:3       0.7 (29,1,4,3,1,1,4,4,1)
    76        3:3        3:3       0.998 (35,2,3,6,1,0,3,2,0)
    77        3:3        2:2   +   0.999 (49,4,3,13,1,1,1,4,0)
    78        3:3        1:1   +   0.5 (32,4,4,3,0,1,1,4,0)
    79        3:3        3:3       0.75 (26,4,4,3,1,1,3,2,0)
    80        3:3        2:2   +   0.998 (44,4,4,8,1,1,2,4,0)
    81        3:3        3:3       0.667 (22,4,4,2,1,1,3,4,0)
    82        3:3        3:3       0.998 (36,3,4,9,1,1,3,4,0)
    83        3:3        3:3       0.857 (30,3,3,3,1,1,3,1,0)
    84        3:3        3:3       1 (45,1,3,3,1,1,3,2,0)
    85        3:3        1:1   +   0.5 (28,4,4,1,1,1,1,3,0)
    86        3:3        2:2   +   0.364 (35,4,4,6,1,1,1,4,0)
    87        3:3        3:3       0.999 (33,4,4,2,1,0,2,4,0)
    88        3:3        3:3       0.999 (21,4,4,2,1,1,2,3,0)
    89        3:3        2:2   +   0.562 (39,4,4,3,1,0,1,4,0)
    90        3:3        3:3       0.75 (34,4,4,2,1,1,3,3,0)
    91        3:3        1:1   +   0.666 (20,3,3,2,1,1,2,2,1)
    92        3:3        2:2   +   0.5 (27,2,4,1,1,1,1,4,0)
    93        3:3        3:3       0.7 (30,4,4,2,1,1,4,3,0)
    94        3:3        2:2   +   0.464 (48,4,4,16,1,1,1,4,0)
    95        3:3        1:1   +   0.333 (20,2,2,1,1,1,3,2,0)
    96        3:3        1:1   +   0.666 (21,3,2,1,1,1,3,1,1)
    97        3:3        2:2   +   0.75 (44,4,4,5,1,1,3,4,0)
    98        3:3        3:3       0.571 (47,4,3,4,1,1,1,3,0)
    99        3:3        2:2   +   0.666 (42,4,4,7,1,1,2,4,0)
   100        3:3        1:1   +   0.5 (17,2,2,1,1,1,3,2,0)
   101        3:3        3:3       0.666 (33,3,4,4,1,1,3,3,0)
   102        3:3        3:3       0.429 (47,4,4,5,1,1,3,2,0)
   103        3:3        2:2   +   0.5 (28,3,4,3,1,1,1,4,0)
   104        3:3        2:2   +   0.65 (36,4,4,4,1,1,1,4,0)
   105        3:3        1:1   +   0.5 (32,4,4,3,0,1,1,4,0)
   106        3:3        3:3       0.75 (26,4,4,2,1,1,3,3,0)
   107        3:3        2:2   +   0.375 (21,4,4,1,1,1,2,3,0)
   108        3:3        3:3       0.5 (19,4,4,2,1,1,1,4,0)
   109        3:3        2:2   +   0.998 (40,4,4,4,1,1,1,4,0)
   110        3:3        3:3       0.684 (25,2,3,5,1,1,2,3,0)
   111        3:3        1:1   +   0.75 (28,2,3,3,1,1,3,4,0)
   112        3:3        2:2   +   0.5 (36,1,3,6,1,1,3,2,0)
   113        3:3        2:2   +   0.998 (32,4,4,2,0,0,1,4,0)
   114        3:3        2:2   +   0.998 (33,3,4,6,1,1,3,2,0)
   115        3:3        1:1   +   0.375 (28,1,3,5,1,1,3,4,0)
   116        3:3        3:3       0.429 (37,2,4,5,1,1,1,4,0)
   117        3:3        2:2   +   0.515 (33,4,4,3,1,1,1,4,0)
   118        3:3        2:2   +   0.667 (33,4,4,2,1,1,2,4,0)
     1        1:1        1:1       0.998 (23,3,2,0,1,1,2,2,0)
     2        1:1        3:3   +   0.999 (26,4,4,0,1,1,3,4,0)
     3        1:1        1:1       0.5 (31,2,2,8,1,1,2,2,1)
     4        1:1        1:1       0.467 (36,3,3,2,1,0,2,4,0)
     5        1:1        1:1       0.998 (45,2,2,7,1,1,3,1,1)
     6        1:1        2:2   +   0.998 (48,4,4,4,0,1,1,4,0)
     7        1:1        1:1       0.833 (46,1,2,7,1,1,3,1,1)
     8        1:1        3:3   +   0.429 (25,2,3,1,1,0,2,1,0)
     9        1:1        3:3   +   0.999 (40,3,3,3,1,1,2,2,1)
    10        1:1        1:1       0.8 (24,2,2,2,1,1,3,1,1)
    11        1:1        2:2   +   0.389 (46,1,4,8,1,1,1,4,1)
    12        1:1        1:1       0.998 (30,1,1,7,1,1,2,3,0)
    13        1:1        2:2   +   0.571 (21,4,4,1,1,1,3,4,0)
    14        1:1        1:1       0.998 (20,3,4,0,1,1,3,3,0)
    15        1:1        3:3   +   0.615 (32,2,4,5,1,1,2,3,0)
    16        1:1        3:3   +   0.666 (41,1,3,3,1,0,2,4,0)
    17        1:1        2:2   +   0.5 (33,3,3,3,1,1,3,4,0)
    18        1:1        1:1       0.778 (28,3,4,0,1,0,1,3,0)
    19        1:1        3:3   +   0.998 (27,3,4,2,1,1,1,3,0)
    20        1:1        1:1       0.5 (32,3,4,1,0,1,2,4,0)
    21        1:1        1:1       0.5 (20,2,3,1,1,1,3,4,0)
    22        1:1        3:3   +   0.5 (20,3,4,2,1,1,3,3,0)
    23        1:1        3:3   +   0.5 (38,3,3,5,1,1,1,4,0)
    24        1:1        1:1       0.998 (28,3,4,1,0,1,2,2,0)
    25        1:1        1:1       0.5 (35,2,3,8,1,1,3,3,1)
    26        1:1        1:1       0.5 (24,3,4,2,1,1,2,4,0)
    27        1:1        2:2   +   0.714 (31,4,4,3,1,0,2,3,0)
    28        1:1        2:2   +   0.429 (25,4,4,1,1,1,3,4,0)
    29        1:1        1:1       0.333 (24,2,4,2,1,1,3,4,0)
    30        1:1        3:3   +   0.999 (24,2,3,2,1,1,3,1,0)
    31        1:1        3:3   +   0.5 (45,2,4,8,1,1,2,3,0)
    32        1:1        1:1       0.5 (33,1,1,5,1,1,3,1,1)
    33        1:1        1:1       0.998 (20,2,3,3,1,1,3,4,0)
    34        2:2        3:3   +   0.998 (44,4,4,5,1,0,1,4,0)
    35        2:2        2:2       0.5 (31,4,4,4,1,1,3,3,0)
    36        2:2        2:2       0.998 (32,3,3,4,1,0,3,3,0)
    37        2:2        2:2       0.4 (21,3,4,3,1,1,1,4,0)
    38        2:2        3:3   +   0.75 (43,2,4,13,1,1,2,3,0)
    39        2:2        1:1   +   0.429 (28,4,4,2,0,1,1,4,0)
    40        2:2        1:1   +   0.333 (30,4,4,1,0,1,2,4,0)
    41        2:2        2:2       0.998 (22,4,4,1,1,1,1,3,0)
    42        2:2        2:2       0.5 (36,3,3,5,1,0,1,3,0)
    43        2:2        3:3   +   0.545 (41,3,3,5,1,1,1,4,0)
    44        2:2        3:3   +   0.998 (29,4,4,2,1,1,3,4,0)
    45        2:2        3:3   +   0.998 (30,3,3,2,1,1,2,3,0)
    46        2:2        2:2       0.5 (40,4,4,5,1,1,1,3,0)
    47        2:2        2:2       0.998 (34,4,4,4,1,0,3,3,0)
    48        2:2        2:2       0.666 (27,4,4,3,1,1,1,3,0)
    49        2:2        3:3   +   0.666 (38,4,4,5,1,1,1,3,0)
    50        2:2        2:2       0.833 (41,4,4,3,1,0,2,3,0)
    51        2:2        3:3   +   0.998 (30,4,1,4,1,1,3,3,0)
    52        2:2        3:3   +   0.998 (41,4,4,5,0,1,2,4,0)
    53        2:2        3:3   +   0.666 (37,4,4,2,1,0,3,3,0)
    54        2:2        2:2       0.455 (31,4,4,3,1,1,1,4,0)
    55        2:2        3:3   +   0.998 (34,4,4,3,1,1,1,4,0)
    56        2:2        3:3   +   0.667 (45,2,2,9,1,1,3,3,0)
    57        2:2        3:3   +   0.998 (34,4,4,2,1,1,1,4,0)
    58        2:2        3:3   +   0.998 (32,3,4,5,1,1,1,2,0)
    59        2:2        2:2       0.5 (24,4,4,1,1,1,1,4,0)
    60        2:2        3:3   +   0.999 (30,4,4,2,0,0,1,4,0)
    61        2:2        1:1   +   0.999 (42,3,3,4,1,1,2,4,0)
    62        2:2        2:2       0.998 (33,4,3,5,1,1,2,4,0)
    63        2:2        3:3   +   0.998 (32,4,4,2,0,0,1,4,0)
    64        2:2        2:2       0.857 (37,4,4,4,0,0,2,4,0)
    65        2:2        2:2       0.998 (39,4,4,3,1,1,1,4,0)
    66        2:2        2:2       0.5 (35,4,4,5,0,0,1,4,0)
    67        2:2        2:2       0.5 (24,4,4,1,1,1,3,2,0)
    68        3:3        3:3       0.999 (41,1,2,6,1,1,3,3,0)
    69        3:3        2:2   +   0.998 (20,3,4,1,0,1,2,4,0)
    70        3:3        2:2   +   0.5 (33,4,4,4,1,1,2,3,0)
    71        3:3        2:2   +   0.998 (40,3,4,6,1,1,1,3,0)
    72        3:3        3:3       0.857 (35,1,2,5,1,1,3,3,0)
    73        3:3        1:1   +   0.5 (35,2,3,6,1,1,2,3,0)
    74        3:3        3:3       0.8 (22,4,4,1,0,1,3,1,0)
    75        3:3        3:3       0.857 (21,4,4,2,1,1,3,3,0)
    76        3:3        1:1   +   0.667 (25,1,2,2,1,1,2,1,0)
    77        3:3        2:2   +   0.455 (31,4,4,3,1,1,1,4,0)
    78        3:3        2:2   +   0.667 (35,4,4,2,1,1,2,4,0)
    79        3:3        1:1   +   0.8 (36,1,2,4,1,1,3,1,1)
    80        3:3        2:2   +   0.666 (34,4,4,6,1,1,2,2,0)
    81        3:3        3:3       0.6 (23,2,3,2,1,0,3,2,0)
    82        3:3        3:3       0.999 (27,2,4,4,1,1,2,1,0)
    83        3:3        3:3       0.998 (22,4,3,1,1,1,2,2,0)
    84        3:3        3:3       0.999 (31,2,3,7,1,1,3,3,0)
    85        3:3        2:2   +   0.998 (34,2,2,4,0,1,3,2,0)
    86        3:3        1:1   +   0.998 (40,2,2,4,0,0,2,4,0)
    87        3:3        3:3       0.999 (30,3,3,4,1,0,2,2,0)
    88        3:3        2:2   +   0.998 (43,4,4,5,0,1,1,4,0)
    89        3:3        1:1   +   0.4 (25,4,4,1,0,1,1,4,0)
    90        3:3        1:1   +   0.999 (22,3,4,2,1,1,2,4,0)
    91        3:3        1:1   +   0.5 (24,2,2,2,1,1,3,4,0)
    92        3:3        3:3       0.666 (31,1,1,3,1,1,4,2,1)
    93        3:3        1:1   +   0.998 (37,3,4,5,1,0,2,4,0)
    94        3:3        1:1   +   0.5 (22,3,4,2,0,1,3,4,0)
    95        3:3        3:3       0.998 (21,3,3,2,1,1,2,3,0)
    96        3:3        1:1   +   0.666 (41,4,3,5,1,0,3,4,0)
    97        3:3        3:3       0.998 (44,3,4,5,1,0,1,4,0)
    98        3:3        3:3       0.999 (29,2,3,4,1,1,3,2,0)
    99        3:3        1:1   +   0.333 (22,3,4,3,1,1,2,3,0)
   100        3:3        3:3       0.8 (25,4,4,2,1,1,2,3,0)
   101        3:3        3:3       0.75 (32,3,2,5,1,1,3,3,0)
   102        3:3        2:2   +   0.5 (36,4,4,4,1,1,1,3,0)
   103        3:3        3:3       0.666 (25,2,2,1,1,1,3,1,0)
   104        3:3        1:1   +   0.666 (35,2,2,6,1,0,2,2,1)
   105        3:3        3:3       0.5 (22,2,2,2,1,1,2,3,0)
   106        3:3        3:3       0.998 (28,4,4,1,1,1,3,2,0)
   107        3:3        2:2   +   0.998 (19,4,4,1,1,1,2,3,0)
   108        3:3        1:1   +   0.5 (33,2,3,7,1,0,3,1,0)
   109        3:3        3:3       0.5 (23,3,2,1,1,1,3,3,0)
   110        3:3        1:1   +   0.998 (32,2,2,8,1,1,2,1,0)
   111        3:3        3:3       0.998 (40,3,4,5,1,1,1,2,0)
   112        3:3        2:2   +   0.5 (25,3,4,3,1,1,2,4,0)
   113        3:3        3:3       0.998 (32,3,4,5,0,1,1,4,0)
   114        3:3        1:1   +   0.5 (31,4,4,2,0,1,1,4,0)
   115        3:3        3:3       0.998 (35,3,4,5,1,1,1,4,0)
   116        3:3        2:2   +   0.998 (27,4,4,1,1,1,1,4,0)
   117        3:3        1:1   +   0.714 (36,2,2,7,1,0,2,2,1)
   118        3:3        3:3       0.636 (39,4,3,4,1,1,3,4,0)
     1        1:1        1:1       0.999 (39,3,4,6,1,1,1,4,0)
     2        1:1        3:3   +   0.75 (32,1,2,4,1,1,3,2,1)
     3        1:1        3:3   +   0.576 (46,3,1,5,1,1,3,2,0)
     4        1:1        1:1       0.625 (34,4,3,0,0,0,3,3,0)
     5        1:1        2:2   +   0.999 (40,2,2,8,1,1,2,2,0)
     6        1:1        2:2   +   0.5 (42,4,4,3,1,1,1,4,0)
     7        1:1        3:3   +   0.666 (49,1,3,6,1,1,2,4,0)
     8        1:1        1:1       1 (48,1,1,8,1,0,2,2,1)
     9        1:1        3:3   +   0.999 (37,2,3,5,0,0,2,4,0)
    10        1:1        1:1       0.75 (27,3,4,0,1,1,3,3,0)
    11        1:1        1:1       0.667 (40,1,2,6,1,1,3,1,1)
    12        1:1        3:3   +   0.998 (29,3,4,4,1,1,1,4,0)
    13        1:1        1:1       1 (28,1,4,0,1,0,4,1,0)
    14        1:1        2:2   +   0.75 (45,1,3,7,1,0,1,3,0)
    15        1:1        1:1       0.999 (25,4,4,0,1,0,2,4,0)
    16        1:1        3:3   +   0.471 (45,2,3,6,1,1,3,2,1)
    17        1:1        2:2   +   0.526 (44,1,4,9,1,1,1,2,0)
    18        1:1        1:1       0.998 (28,3,4,0,1,0,3,4,0)
    19        1:1        2:2   +   0.571 (28,4,4,3,0,1,1,4,0)
    20        1:1        1:1       0.998 (27,2,2,1,1,0,3,2,1)
    21        1:1        3:3   +   0.999 (25,4,4,3,1,1,1,2,0)
    22        1:1        2:2   +   0.998 (41,3,4,3,0,1,2,4,0)
    23        1:1        2:2   +   0.5 (43,3,4,2,0,1,3,4,0)
    24        1:1        1:1       0.429 (33,4,4,0,1,0,3,3,0)
    25        1:1        2:2   +   0.5 (33,4,4,3,0,0,1,3,0)
    26        1:1        1:1       0.5 (48,1,1,1,1,0,3,3,1)
    27        1:1        2:2   +   0.571 (42,4,4,1,1,0,1,4,0)
    28        1:1        2:2   +   0.455 (47,1,4,6,1,1,1,4,0)
    29        1:1        1:1       0.998 (45,4,4,1,1,1,1,4,0)
    30        1:1        2:2   +   0.439 (23,4,4,0,1,0,1,4,0)
    31        1:1        3:3   +   0.999 (38,2,4,3,1,1,1,3,0)
    32        1:1        2:2   +   0.455 (39,4,4,2,1,0,1,4,0)
    33        1:1        3:3   +   0.998 (23,3,3,2,1,1,2,2,0)
    34        2:2        1:1   +   0.998 (30,2,4,1,1,0,3,4,0)
    35        2:2        2:2       0.999 (22,4,4,1,1,1,1,2,0)
    36        2:2        1:1   +   0.998 (27,4,4,3,1,1,1,4,0)
    37        2:2        3:3   +   0.998 (36,4,4,4,0,1,1,4,0)
    38        2:2        2:2       1 (42,4,4,4,0,0,2,4,0)
    39        2:2        3:3   +   0.462 (44,1,4,2,1,1,1,3,0)
    40        2:2        1:1   +   0.5 (29,3,4,2,1,1,1,4,0)
    41        2:2        1:1   +   0.666 (23,4,4,1,1,0,3,4,0)
    42        2:2        2:2       0.999 (41,4,4,4,0,0,2,4,0)
    43        2:2        3:3   +   0.455 (35,3,4,5,1,0,1,3,1)
    44        2:2        3:3   +   0.666 (38,4,4,4,0,0,1,2,0)
    45        2:2        3:3   +   0.998 (37,4,4,3,0,1,3,4,0)
    46        2:2        3:3   +   0.833 (30,2,4,3,1,1,3,4,0)
    47        2:2        2:2       0.5 (25,3,1,2,1,0,3,4,0)
    48        2:2        3:3   +   0.666 (36,3,2,6,1,1,3,2,0)
    49        2:2        2:2       0.666 (36,4,4,3,1,1,1,4,0)
    50        2:2        2:2       0.998 (35,4,4,5,1,0,1,3,0)
    51        2:2        3:3   +   0.625 (22,3,4,1,1,1,4,4,0)
    52        2:2        2:2       0.5 (34,3,3,6,1,1,3,4,0)
    53        2:2        1:1   +   0.5 (29,3,4,3,1,1,1,3,0)
    54        2:2        2:2       0.998 (29,4,4,2,1,0,1,3,0)
    55        2:2        2:2       0.998 (43,3,4,5,1,1,3,2,1)
    56        2:2        1:1   +   0.5 (47,1,1,10,1,1,3,3,0)
    57        2:2        3:3   +   0.998 (29,4,4,3,1,1,1,4,0)
